Gene ID	Protein accession	bombyx_mori	NCBI GeneID	Symbol	Description
135076970	XP_063827580.1	XP_037867119.1	101745524.0	LOC101745524	uncharacterized LOC101745524
135076605	XP_063827132.1	XP_037866900.1	101739096.0	HisT	Histamine transporter
135074808	XP_063825261.1	XP_004926261.1	101742539.0	LOC101742539	proteasome subunit beta type-2
135076981	XP_063827586.1	XP_012545863.2	101745080.0	M7BP	Myosin-7a binding protein
135077259	XP_063827891.1	XP_004926249.2	101740727.0	uri	unconventional prefoldin RPB5 interactor
135077691	XP_063828367.1	XP_012545868.2	101742392.0	LOC101742392	queuosine 5'-phosphate N-glycosylase/hydrolase
135077600	XP_063828258.1	XP_004926259.2	101742253.0	LOC101742253	nucleoporin Nup43
135076984	XP_063827602.1	XP_004926275.1	101744937.0	conu	Rho GTPase-activating protein conundrum
135074823	XP_063825278.1	XP_004926257.1	101741766.0	Tap42	immunoglobulin binding protein Tap42
135076986	XP_063827665.1	XP_004926256.1	101741626.0	LOC101741626	carboxypeptidase N subunit 2
135076768	XP_063827303.1	XP_012545857.2	105841638.0	LOC105841638	uncharacterized LOC105841638
135074833	XP_063825286.1	XP_004926255.1	101741486.0	LOC101741486	uncharacterized protein C19orf47 homolog
135077153	XP_063827807.1	NP_001040357.1	732891.0	Dph2	Diphthamide biosynthesis 2
135077805	XP_063828445.1	XP_004926253.1	101741152.0	LOC101741152	coiled-coil domain-containing protein 124
135076846	XP_063827421.1	XP_004926250.2	101740866.0	LOC101740866	proline-rich protein PRCC
135076918	XP_063827541.1	XP_004926251.2	101741005.0	mRpS11	mitochondrial ribosomal protein S11
135076985	XP_063827618.1	XP_062524518.1	101744793.0	LOC101744793	NBAS subunit of NRZ tethering complex
135074838	XP_063825292.1	XP_004926248.1	101740588.0	mRpS29	mitochondrial ribosomal protein S29
135074847	XP_063825302.1	NP_001040398.1	732934.0	ATPsynG	ATP synthase, subunit G
135076987	XP_063827634.1	XP_004926247.1	101740455.0	OstDelta	oligosaccharide transferase delta subunit
135078273	XP_063828969.1	NP_001244266.1	100873153.0	RnrS	ribonucleoside-diphosphate reductase subunit M2
135078360	XP_063829039.1	XP_004926246.1	101740323.0	alien	COP9 signalosome complex subunit 2 alien
135074857	XP_063825312.1	XP_012545884.1	101740093.0	Vdup1	arrestin family protein Vdup1
135078472	XP_063829118.1	XP_004926240.1	101739639.0	gammaTub37C	gamma-Tubulin at 37C
135078577	XP_063829209.1	XP_004926242.1	101739874.0	endos	endosulfine alpha
135076989	XP_063827648.1	XP_021203712.2	101744650.0	SMC6	Structural maintenance of chromosomes 6
135078819	XP_063829484.1	NP_001188506.1	100216493.0	Cyce	cyclin E
135074866	XP_063825321.1				
135078911	XP_063829599.1	XP_037867051.1	101744506.0	LOC101744506	protein pigeon
135078989	XP_063829709.1	XP_004926239.1	101739501.0	LOC101739501	replication termination factor 2
135079086	XP_063829792.1	NP_001037600.1	733051.0	LOC733051	CG10993-like protein
135079198	XP_063829890.1	XP_004926237.1	101739222.0	LOC101739222	uncharacterized LOC101739222
135079998	XP_063830767.1	NP_001127715.1	100174928.0	NGR-A17	neuropeptide receptor A17
135074903	XP_063825349.1	XP_037867218.1	101735764.0	Cib2	Calcium and integrin binding family member 2
135079423	XP_063830186.1	NP_001040393.1	732928.0	Ubc13	ubiquitin conjugating enzyme E2
135079591	XP_063830322.1	XP_062524522.1	105842463.0	LOC105842463	uncharacterized LOC105842463
135079698	XP_063830407.1				
135079913	XP_063830654.1				
135074937	XP_063825373.1	NP_001040522.1	733110.0	LOC733110	epidermal retinal dehydrogenase
135074951	XP_063825390.1	XP_004932424.1	101735624.0	LOC101735624	BLOC-1-related complex subunit 8 homolog
135076998	XP_063827658.1	XP_012551102.2	105842460.0	LOC105842460	cholesterol transporter ABCA5
135074968	XP_063825407.1				
135074978	XP_063825421.1	XP_004932421.4	101747144.0	LOC101747144	spidroin-1
135074986	XP_063825429.1				
135074995	XP_063825437.1				
135075005	XP_063825449.1	XP_004932419.1	101746872.0	LOC101746872	uncharacterized LOC101746872
135075020	XP_063825465.1				
135075041	XP_063825484.1	XP_004932415.1	101746215.0	LOC101746215	uncharacterized LOC101746215
135076682	XP_063827175.1				
135076691	XP_063827184.1				
135076702	XP_063827195.1				
135080398	XP_063831135.1				
135080092	XP_063830878.1				
135075052	XP_063825493.1	XP_004932412.2	101745841.0	LOC101745841	uncharacterized LOC101745841
135075064	XP_063825498.1				
135081929	XP_063832789.1	XP_004932455.2	101741547.0	LOC101741547	solute carrier organic anion transporter family member 74D
135075078	XP_063825499.1	NP_001037019.1	692569.0	LOC692569	deoxynucleoside kinase-like
135081031	XP_063831856.1	XP_004932411.1	101745692.0	CaBP1	Protein disulfide-isomerase A6 homolog CaBP1
135081211	XP_063832060.1	XP_004932409.1	101745402.0	LOC101745402	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
135081119	XP_063831959.1	XP_037867267.1	101745260.0	eIF2Bdelta	eukaryotic translation initiation factor 2B subunit delta
135081314	XP_063832139.1	XP_004932407.1	101745110.0	LOC101745110	N-acetylgalactosamine kinase
135081435	XP_063832226.1	XP_004932405.1	101744816.0	LOC101744816	gastrula zinc finger protein XlCGF52.1
135077007	XP_063827670.1				
135081736	XP_063832627.1	XP_004932404.1	101744675.0	LOC101744675	probable peroxisomal acyl-coenzyme A oxidase 1
135081831	XP_063832718.1	NP_001037221.1	692696.0	RpL19	ribosomal protein L19
135083197	XP_063834031.1				
135084365	XP_063835242.1	XP_004932403.1	101744530.0	LOC101744530	probable peroxisomal acyl-coenzyme A oxidase 1
135082408	XP_063833308.1				
135082506	XP_063833408.1				
135082615	XP_063833506.1	XP_004932400.1	101744100.0	LOC101744100	probable peroxisomal acyl-coenzyme A oxidase 1
135082716	XP_063833587.1	XP_004932399.1	101743952.0	LOC101743952	uncharacterized LOC101743952
135084163	XP_063835006.1	XP_004932396.1	101743475.0	LOC101743475	syndecan
135083287	XP_063834129.1				
135082821	XP_063833685.1	NP_001091821.1	778527.0	LOC778527	ATPase inhibitor-like protein
135076711	XP_063827205.1				
135083086	XP_063833955.1	XP_004932395.2	101743333.0	LOC101743333	protein scarlet
135082986	XP_063833851.1	NP_001296549.1	101741267.0	LOC101741267	protein white-like
135083387	XP_063834233.1	NP_001040211.1	692903.0	Rab32	RAS oncogene family member Rab32
135084066	XP_063834912.1	XP_004932393.1	101743093.0	LOC101743093	solute carrier family 25 member 32
135084522	XP_063835391.1	XP_012551174.3	101742956.0	UQCR-C1	Ubiquinol-cytochrome c reductase core protein 1
135084619	XP_063835494.1	XP_037866759.1	101740983.0	Cog3	conserved oligomeric Golgi complex subunit 3
135084943	XP_063835805.1	XP_004932392.2	101742811.0	LOC101742811	protein bunched, class 2/F/G isoform
135085178	XP_063836037.1	XP_004932391.1	101742662.0	LOC101742662	uncharacterized LOC101742662
135075106	XP_063825519.1	XP_004932389.1	101742419.0	LOC101742419	apolipoprotein D
135084855	XP_063835695.1	NP_001140192.1	100286767.0	LOC100286767	32 kDa apolipoprotein
135085275	XP_063836147.1	NP_001243927.1	100862771.0	ken	ken and barbie
135077026	XP_063827690.1	XP_004932451.1	101740697.0	LOC101740697	tyrosine-protein kinase Dnt
135077044	XP_063827711.1				
135085421	XP_063836317.1	XP_004932388.1	101742277.0	LOC101742277	peptidylglycine alpha-hydroxylating monooxygenase
135075122	XP_063825538.1	NP_001121786.1	100169706.0	ae3	alpha-esterase 3
135075130	XP_063825549.1				
135086014	XP_063836890.1	NP_001036905.1	692449.0	Mef2	myocyte enhancer factor 2
135075139	XP_063825560.1	XP_062524468.1	101740564.0	Ir21a	Ionotropic receptor 21a
135085521	XP_063836404.1	XP_037866854.1	101740429.0	Cda5	Chitin deacetylase-like 5
135077053	XP_063827723.1	XP_037867078.1	101742125.0	LOC101742125	PAS domain-containing serine/threonine-protein kinase
135087638	XP_063838450.1	XP_037867277.1	101740301.0	LOC101740301	prolyl endopeptidase
135077064	XP_063827731.1	XP_037867270.2	101740158.0	stau	double-stranded RNA-binding protein Staufen
135077077	XP_063827735.1	XP_004932447.2	101740026.0	Nup188	nuclear pore complex protein Nup188
135087629	XP_063838439.1	NP_001165387.1	100329147.0	Ak2	Adenylate kinase 2
135087591	XP_063838389.1	XP_004932446.2	101739892.0	LOC101739892	guanine nucleotide exchange factor DBS
135087618	XP_063838430.1	XP_021207764.1	101739757.0	LOC101739757	uncharacterized LOC101739757
135087330	XP_063838210.1	XP_021207763.2	101741984.0	LOC101741984	glycogenin-2
135086433	XP_063837253.1	XP_062524557.1	101741833.0	dnt	tyrosine-protein kinase Dnt
135075146	XP_063825572.1				
135075158	XP_063825580.1	XP_004932385.1	101741688.0	LOC101741688	uncharacterized LOC101741688
135086519	XP_063837350.1	XP_004932380.2	101741178.0	LOC101741178	uncharacterized LOC101741178
135086714	XP_063837599.1	XP_004932379.1	101741030.0	LOC101741030	uncharacterized LOC101741030
135086881	XP_063837809.1				
135086804	XP_063837707.1	NP_001037046.2	105842464.0	LOC105842464	seroin-like
135086965	XP_063837916.1	XP_004932378.1	101740747.0	LOC101740747	uncharacterized PE-PGRS family protein PE_PGRS20
135075165	XP_063825593.1				
135075174	XP_063825605.1				
135075181	XP_063825618.1				
135075191	XP_063825628.1				
135075202	XP_063825639.1				
135075210	XP_063825651.1				
135075220	XP_063825663.1				
135075230	XP_063825672.1				
135087065	XP_063838008.1	NP_001166792.1	100379512.0	CPG10	cuticular protein glycine-rich 10
135087248	XP_063838161.1	XP_037867028.2	101740300.0	LOC101740300	uncharacterized LOC101740300
135087152	XP_063838099.1	XP_004932373.2	101740073.0	MED30	Mediator complex subunit 30
135087672	XP_063838489.1	NP_001040531.1	733119.0	LOC733119	RNA binding region containing protein 1
135087680	XP_063838499.1				
135087689	XP_063838511.1	XP_004932371.1	101739845.0	LOC101739845	uncharacterized LOC101739845
135087703	XP_063838531.1	XP_004932370.1	101739704.0	LOC101739704	uncharacterized LOC101739704
135087710	XP_063838546.1	XP_037867023.1	101739477.0	LOC101739477	uncharacterized LOC101739477
135077090	XP_063827741.1	XP_037866952.1	101739332.0	LOC101739332	uncharacterized LOC101739332
135087717	XP_063838558.1				
135077103	XP_063827746.1	XP_037867043.1	101739478.0	LOC101739478	uncharacterized phosphotransferase YvkC
135087727	XP_063838569.1	XP_004932365.2	101739094.0	LOC101739094	lipid scramblase CLPTM1L
135087763	XP_063838622.1	XP_004932363.1	101738766.0	Rcd5	microspherule protein Rcd5
135087771	XP_063838633.1				
135087742	XP_063838589.1	XP_004932361.1	101738231.0	LOC101738231	dual specificity protein phosphatase 13B
135087755	XP_063838609.1	XP_004932357.2	101738100.0	Utx	Utx histone demethylase
135087780	XP_063838645.1	XP_004932442.1	101739196.0	LOC101739196	SHC-transforming protein 1
135087791	XP_063838657.1				
135075272	XP_063825726.1	XP_004932356.1	101737970.0	LOC101737970	mid1-interacting protein 1A
135087816	XP_063838691.1	XP_004932440.1	101738767.0	dve	SATB1_N and homeodomain domain-containing protein dve
135087834	XP_063838725.1				
135087826	XP_063838703.1	XP_062524470.1	101737747.0	LOC101737747	uncharacterized LOC101737747
135087957	XP_063838897.1	XP_004932353.1	101737461.0	wdp	Leucine rich repeat protein windpipe
135087839	XP_063838738.1	XP_037867203.1	119628334.0	LOC119628334	uncharacterized LOC119628334
135087864	XP_063838774.1	XP_037867206.1	101738633.0	T3dh	Type III alcohol dehydrogenase
135076721	XP_063827215.1	XP_037866795.1	101737319.0	Asap	ArfGAP domain of ASAP
135087884	XP_063838797.1				
135087875	XP_063838786.1				
135075300	XP_063825765.1	XP_062524566.1	101737171.0	Muted	biogenesis of lysosome-related organelles complex 1 subunit 5
135075292	XP_063825755.1	XP_062524565.1	134198645.0	LOC134198645	transmembrane protein 199
135087966	XP_063838907.1	XP_004932348.1	101736823.0	LOC101736823	sequestosome-1
135075304	XP_063825790.1	NP_001040497.1	733040.0	Rrp42	exosome complex component Rrp42
135075314	XP_063825802.1	XP_037867226.1	101738232.0	LOC101738232	sodium-coupled monocarboxylate transporter 1
135075324	XP_063825810.1	XP_037867207.1	101736295.0	LOC101736295	pancreatic triacylglycerol lipase
135087900	XP_063838822.1				
135087891	XP_063838809.1				
135077117	XP_063827753.1	XP_062532919.1	134201693.0	LOC134201693	uncharacterized LOC134201693
135088068	XP_063839024.1				
135077129	XP_063827762.1				
135075332	XP_063825823.1				
135075338	XP_063825838.1				
135075343	XP_063825850.1				
135075352	XP_063825862.1	XP_004932346.1	101736550.0	LOC101736550	lipase member H-A
135075360	XP_063825873.1				
135088009	XP_063838961.1				
135077149	XP_063827776.1				
135077161	XP_063827786.1				
135077172	XP_063827794.1				
135077182	XP_063827804.1				
135077192	XP_063827815.1				
135088017	XP_063838972.1				
135087986	XP_063838933.1	XP_004932347.1	101736690.0	LOC101736690	sodium-coupled monocarboxylate transporter 1
135088028	XP_063838982.1				
135088050	XP_063839004.1	XP_004932345.1	101736422.0	LOC101736422	uncharacterized LOC101736422
135087907	XP_063838833.1	XP_037867045.1	101736159.0	LOC101736159	uncharacterized LOC101736159
135075365	XP_063825884.1	XP_062524578.1	101737971.0	LOC101737971	uncharacterized LOC101737971
135088038	XP_063838991.1	XP_021207709.1	110386264.0	LOC110386264	uncharacterized LOC110386264
135088057	XP_063839016.1	XP_012551180.1	105842467.0	LOC105842467	uncharacterized LOC105842467
135076730	XP_063827224.1	XP_012551178.1	101737838.0	LOC101737838	N-alpha-acetyltransferase 35, NatC auxiliary subunit
135088077	XP_063839036.1	XP_037867046.1	105842451.0	LOC105842451	uncharacterized LOC105842451
135088097	XP_063839057.1	NP_001106744.1	100134928.0	LOC100134928	antennal binding protein
135077203	XP_063827822.1	XP_004932340.1	101735763.0	LOC101735763	general odorant-binding protein 83a
135088086	XP_063839047.1				
135087934	XP_063838867.1	XP_037867055.1	101737125.0	LOC101737125	adenylate cyclase type 7
135087917	XP_063838845.1	XP_004932339.2	101735623.0	LOC101735623	SLIT and NTRK-like protein 4
135087925	XP_063838854.1	NP_001040112.1	692800.0	CPR1	cuticular protein RR-1 motif 1
135077224	XP_063827838.1				
135087999	XP_063838951.1				
135077235	XP_063827848.1				
135075386	XP_063825902.1				
135075377	XP_063825895.1	NP_001091789.1	778494.0	Or-15	olfactory receptor 15
135088170	XP_063839132.1	XP_004932338.1	101735398.0	LOC101735398	queuine tRNA-ribosyltransferase accessory subunit 2
135088130	XP_063839085.1	NP_001104808.1	692500.0	Lpr	lipophorin receptor
135088190	XP_063839154.1	XP_004932337.1	101747092.0	LOC101747092	facilitated trehalose transporter Tret1
135088220	XP_063839175.1	XP_004932335.1	101746819.0	LOC101746819	facilitated trehalose transporter Tret1
135088207	XP_063839166.1	XP_004932336.1	101746960.0	LOC101746960	myrosinase 1
135088241	XP_063839195.1	XP_062524588.1	101746680.0	Nhe3	Na[+]/H[+] hydrogen exchanger 3
135088231	XP_063839183.1	XP_012551182.2	101736732.0	LOC101736732	metallo-beta-lactamase domain-containing protein 1
135088253	XP_063839203.1	XP_004932332.1	101746449.0	LOC101746449	aspartyl/asparaginyl beta-hydroxylase
135088271	XP_063839221.1	XP_004932331.1	101746312.0	NKAIN	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein
135075393	XP_063825911.1	XP_004932329.1	101746072.0	Uch	Ubiquitin carboxyl-terminal hydrolase
135088290	XP_063839231.1	XP_037867108.1	101745925.0	LOC101745925	major facilitator superfamily domain-containing protein 12
135088302	XP_063839239.1	XP_004932327.1	101745780.0	PIG-T	phosphatidylinositol glycan anchor biosynthesis class T
135077245	XP_063827856.1	XP_021207714.1	110384712.0	LOC110384712	uncharacterized LOC110384712
135077255	XP_063827864.1				
135077263	XP_063827870.1				
135075408	XP_063825924.1	NP_001166196.1	100379191.0	RagC-D	Ras-related GTP binding C/D
135088314	XP_063839243.1				
135088326	XP_063839250.1				
135075421	XP_063825936.1	XP_037867106.1	101736590.0	RpLP0-like	ribosomal protein LP0-like
135088360	XP_063839282.1	NP_001040164.1	692854.0	14-3-3zeta	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
135088403	XP_063839316.1	XP_004932324.1	101745350.0	LOC101745350	uncharacterized LOC101745350
135077271	XP_063827880.1	XP_012551184.1	101736461.0	LOC101736461	A disintegrin and metalloproteinase with thrombospondin motifs adt-2
135075430	XP_063825943.1				
135088458	XP_063839347.1	NP_001040186.1	692876.0	LOC692876	erythrocyte carbonic anhydrase
135088419	XP_063839317.1				
135088442	XP_063839327.1	XP_004932323.1	101745200.0	LOC101745200	uncharacterized LOC101745200
135071060	XP_063824351.1	XP_037867231.1	101736339.0	gpp	DOT1 like histone lysine methyltransferase grappa
135088466	XP_063839364.1	XP_004932317.2	101744529.0	LOC101744529	uncharacterized LOC101744529
135088476	XP_063839374.1	XP_062524625.1	101744674.0	LOC101744674	ankyrin repeat domain-containing protein 49
135088487	XP_063839385.1	XP_004932316.1	101744385.0	Dbp73D	putative ATP-dependent RNA helicase Dbp73D
135080218	XP_063834231.1	XP_012551133.2	101744241.0	Cand1	Cullin-associated and neddylation-dissociated 1
135088497	XP_063839395.1	XP_062524628.1	101736069.0	LOC101736069	myosin-2 heavy chain
135088530	XP_063839444.1	XP_004932314.1	101744099.0	NANS	N-acetylneuraminic acid synthase
135088543	XP_063839453.1	NP_001040133.1	692821.0	Hmgc	hydroxymethylglutaryl-CoA lyase
135088553	XP_063839464.1	NP_001040196.1	692887.0	LOC692887	keratinocyte-associated protein 2
135088523	XP_063839432.1	XP_037866845.1	101743041.0	Rip11	Rab11 interacting protein
135075443	XP_063825956.1				
135071076	XP_063820902.1	XP_021206322.1	101742900.0	dcma	decima
135075458	XP_063825971.1				
135088566	XP_063839484.1	XP_004930244.1	101741777.0	LOC101741777	snurportin-1
135088645	XP_063839642.1	XP_004930243.1	101741639.0	IntS6	integrator complex subunit 6
135075476	XP_063825988.1				
135088652	XP_063820882.1	XP_012549186.1	101742463.0	LOC101742463	lachesin
135088572	XP_063839497.1	XP_004930242.1	101741498.0	LOC101741498	monocarboxylate transporter 5
135087761	XP_063838997.1				
135088583	XP_063839530.1	XP_012549346.1	101742310.0	LOC101742310	lachesin
135075507	XP_063826013.1	XP_004930241.3	101741361.0	LOC101741361	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial
135075522	XP_063826019.1	XP_012549132.1	101742169.0	DIP-beta	Dpr-interacting protein beta
135071061	XP_063821234.1	NP_001124372.2	101741078.0	LOC101741078	C-type mannose receptor 2
135088588	XP_063839555.1	NP_001037343.1	692763.0	LOC692763	cyclin B homolog
135088592	XP_063839568.1	NP_001040302.1	693084.0	LOC693084	guanylate kinase
135075554	XP_063826048.1	XP_004930238.1	101740936.0	LOC101740936	retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 4
135075565	XP_063826058.1	XP_021206262.1	101740198.0	LOC101740198	uncharacterized LOC101740198
135071094	XP_063820925.1				
135075575	XP_063826069.1	XP_004930236.1	101740649.0	LOC101740649	small proline-rich protein 2H
135075584	XP_063826078.1	XP_062524643.1	134198911.0	LOC134198911	sperm mitochondrial-associated cysteine-rich protein-like
135071086	XP_063820911.1	XP_004930231.1	101739749.0	LOC101739749	uncharacterized LOC101739749
135075608	XP_063826096.1	XP_012549341.1	101742027.0	LOC101742027	uncharacterized LOC101742027
135088607	XP_063839587.1	XP_062524634.1	101739468.0	LOC101739468	myosin-IIIb
135071970	XP_063822275.1	XP_062524639.1	101741878.0	LOC101741878	alpha-catulin
135071113	XP_063820956.1	XP_037866997.1	101739326.0	pnut	septin 7-like protein pnut
135071137	XP_063820979.1	XP_004930225.1	101738989.0	LOC101738989	regulator of microtubule dynamics protein 1
135075620	XP_063826103.1				
135071147	XP_063820991.1	XP_004930221.1	101738538.0	LOC101738538	phospholipid scramblase 1
135071159	XP_063821002.1	NP_001040327.1	693109.0	Rap2l	Ras-associated protein 2-like
135072850	XP_063823273.1				
135071177	XP_063821018.1	XP_004930220.1	101738403.0	LOC101738403	GILT-like protein 1
135071204	XP_063821053.1				
135071187	XP_063821029.1				
135073730	XP_063824352.1	XP_004930219.1	101738266.0	LOC101738266	gamma-interferon-inducible lysosomal thiol reductase
135075631	XP_063826110.1				
135071196	XP_063821041.1				
135074602	XP_063825356.1				
135075640	XP_063826119.1				
135071214	XP_063821062.1	XP_004930218.1	101738136.0	LOC101738136	uncharacterized LOC101738136
135071328	XP_063821194.1	XP_037866891.1	105842683.0	Roc2	Regulator of cullins 2
135075648	XP_063826132.1	XP_037866889.1	101738007.0	LOC101738007	facilitated trehalose transporter Tret1
135071246	XP_063821104.1	NP_001108344.1	100141437.0	Tret1	trehalose transporter BmTRET1
135071274	XP_063821138.1				
135075520	XP_063826348.1				
135071258	XP_063821116.1	XP_037867186.1	101741587.0	LOC101741587	uncharacterized LOC101741587
135071263	XP_063821128.1	XP_037867021.1	101741445.0	PIG-U	phosphatidylinositol glycan anchor biosynthesis class U
135075656	XP_063826145.1	NP_001036947.1	692493.0	an-0147	juvenile hormone binding protein an-0147
135071318	XP_063821183.1	XP_021206214.2	101737872.0	LOC101737872	proclotting enzyme
135071291	XP_063821154.1	XP_037866974.1	101741312.0	gwl	serine/threonine-protein kinase greatwall
135071364	XP_063821226.1	NP_001040441.1	732979.0	Spf45	splicing factor 45
135071374	XP_063821239.1	NP_001040501.1	733044.0	LOC733044	legumaturain
135075667	XP_063826155.1	XP_037867017.1	101741168.0	LOC101741168	general odorant-binding protein 83a
135075671	XP_063826181.1	XP_037867072.1	101741021.0	LOC101741021	lachesin
135071346	XP_063821210.1	XP_004930214.1	101737594.0	LOC101737594	solute carrier family 12 member 8
135075672	XP_063826196.1	XP_004930208.1	101736899.0	Spf30	Splicing factor 30
135076457	XP_063827302.1	XP_012549173.1	101740880.0	KCNQ	KCNQ potassium channel
135071385	XP_063821250.1	XP_004930209.1	101737028.0	TH1	negative elongation factor complex member TH1
135071396	XP_063821260.1	XP_004930212.1	101737367.0	LOC101737367	nuclear speckle splicing regulatory protein 1
135071428	XP_063821289.1	XP_004930205.1	101736581.0	LOC101736581	FUN14 domain-containing protein 1A
135071403	XP_063821268.1	XP_004930204.1	101736452.0	LOC101736452	uncharacterized LOC101736452
135071444	XP_063821308.1	XP_004930202.2	101736198.0	LeuRS-m	Leucyl-tRNA synthetase, mitochondrial
135071455	XP_063821312.1	XP_004930203.1	101736330.0	LOC101736330	uncharacterized LOC101736330
135077383	XP_063828331.1	XP_004930201.1	101736061.0	ttv	exostosin glycosyltransferase 1 ttv
135071525	XP_063821380.1	XP_004930200.1	101735936.0	LOC101735936	zinc finger protein on ecdysone puffs
135071465	XP_063821321.1	NP_001037153.1	692667.0	RpL13	ribosomal protein L13
135071477	XP_063821329.1	XP_037876930.1	119630694.0	LOC119630694	polyadenylate-binding protein 1
135071488	XP_063821337.1	XP_004930199.1	101735807.0	LOC101735807	glycylpeptide N-tetradecanoyltransferase 2
135071497	XP_063821348.1	XP_012549270.1	101740741.0	LOC101740741	tudor domain-containing protein 7
135075696	XP_063826222.1	NP_001037588.1	732980.0	Sf3b6	splicing factor 3b subunit 6
135071617	XP_063821453.1	XP_021206187.1	101740604.0	LOC101740604	acetylcholinesterase
135075704	XP_063826232.1	XP_004930196.1	101735431.0	Parp16	Poly(ADP-ribose) polymerase 16
135071545	XP_063821389.1	XP_004930197.1	101735564.0	tgo	Aryl hydrocarbon receptor nuclear translocator homolog tgo
135078332	XP_063829278.1	XP_037866902.1	101740466.0	l(3)76BDm	trafficking protein particle complex subunit 8 homolog l(3)76BDm
135071634	XP_063821471.1	NP_001036956.1	692502.0	CkIIalpha	casein kinase II subunit alpha
135071658	XP_063821498.1	XP_004930195.2	101747220.0	Ctu2	Cytosolic thiouridylase subunit 2
135071668	XP_063821508.1	NP_001036853.1	692393.0	eEF1delta	elongation factor 1-delta
135071681	XP_063821530.1	XP_012549305.2	101740332.0	LOC101740332	protein grainyhead
135079281	XP_063830301.1	XP_062524674.1	101747084.0	LOC101747084	delta and Notch-like epidermal growth factor-related receptor
135075722	XP_063826247.1	XP_004930192.1	101746862.0	LOC101746862	zinc finger protein 660
135071777	XP_063821659.1	XP_004930190.1	101746583.0	LOC101746583	sphingomyelin phosphodiesterase
135071796	XP_063821697.1	XP_037866867.1	119628505.0	LOC119628505	uncharacterized LOC119628505
135071696	XP_063821546.1	XP_037867011.2	101746441.0	Ars2	arsenic resistance protein 2
135071705	XP_063821558.1				
