Gene ID	Protein accession	bombyx_mori	NCBI GeneID	Symbol	Description
135071215	XP_063821059.1	NP_001040169.1	692859	VhaPPA1-1	Vacuolar H[+] ATPase PPA1 subunit 1
135071216	XP_063821060.1	XP_004932062.1	101746020	disp	RND transporter family member dispatched
135071217	XP_063821061.1	XP_021207464.2	110386198	jv	javelin
135071214	XP_063821062.1	XP_004930218.1	101738136	LOC101738136	uncharacterized LOC101738136
135071218	XP_063821063.1	NP_001182385.1	100500753	ST5	putative sugar transporter protein 5
135071219	XP_063821065.1	XP_004931991.2	101747090	LOC101747090	facilitated trehalose transporter Tret1-2 homolog
135071220	XP_063821066.1	XP_004931993.1	101747227	Ctns	lysosomal cystine transporter cystinosin
135071222	XP_063821067.1	XP_004931989.1	101746817	MCU	mitochondrial calcium uniporter
135071223	XP_063821070.1	XP_004931988.1	101746678	LOC101746678	IST1 homolog
135071224	XP_063821071.1	XP_004931996.1	101735668	LOC101735668	spermatogenesis-associated protein 6
135071225	XP_063821073.1	NP_001040396.1	732931	LOC732931	calcyphosphine
135071226	XP_063821078.1	XP_004931986.1	101746309	LOC101746309	18S rRNA aminocarboxypropyltransferase
135071228	XP_063821081.1	XP_004931990.1	101746958	Obp73a	Odorant-binding protein 73a
135071229	XP_063821082.1	XP_012550828.1	101746447	LOC101746447	ATP-binding cassette sub-family G member 8
135071230	XP_063821083.1	XP_004931987.1	101746543	Plap	phospholipase A2 activator protein
135071232	XP_063821084.1	NP_001037075.1	692629	Crt	calreticulin
135071233	XP_063821086.1	XP_004932003.1	101736688	LOC101736688	guanine nucleotide-binding protein-like 3 homolog
135071235	XP_063821087.1	XP_004932005.1	101737035	LOC101737035	uncharacterized LOC101737035
135071236	XP_063821088.1	NP_001243928.1	100862772	LOC100862772	heat shock protein 68
135071237	XP_063821089.1	XP_004924785.1	101740495	stx	ubiquitin-like domain-containing protein stuxnet
135071238	XP_063821090.1	NP_001037628.1	733068	Sec61alpha	SEC61 translocon subunit alpha
135071239	XP_063821091.1	NP_001296557.1	101740775	LOC101740775	dnaJ homolog dnj-5
135071240	XP_063821093.1	XP_021202702.2	101743969	Tet	Ten-Eleven Translocation (TET) family protein
135071241	XP_063821097.1	XP_004924809.1	101743821	knockout	Stork-head domain-containing protein knockout
135071242	XP_063821098.1	XP_004924786.1	101740635	Tsr1	Tsr1 ribosome assembly factor
135071244	XP_063821100.1	XP_004931999.1	101736158	Nf-YB	nuclear factor Y-box B
135071248	XP_063821102.1	NP_001041678.1	751838	Gogat	glutamate synthase
135071249	XP_063821103.1	XP_037874940.1	101743534	Pmp70	ATP binding cassette subfamily D member Pmp70
135071246	XP_063821104.1	NP_001108344.1	100141437	Tret1	trehalose transporter BmTRET1
135071250	XP_063821105.1	XP_004931997.1	101735894	LOC101735894	ATP-binding cassette sub-family G member 5
135071252	XP_063821107.1	XP_012550791.2	101746591	pcm	5'-3' exoribonuclease pacman
135071253	XP_063821108.1	XP_037874788.1	101741056	LOC101741056	phosphatidate cytidylyltransferase, photoreceptor-specific
135071254	XP_063821109.1	XP_004924791.1	101741344	Pdss2	Decaprenyl diphosphate synthase subunit 2
135071256	XP_063821110.1	XP_004924792.1	101741480	Baldspot	elongation of very long chain fatty acids protein baldspot
135071257	XP_063821111.1	NP_001040379.1	732913	LOC732913	mRNA cap-binding protein eIF4E
135071259	XP_063821112.1	XP_004924794.2	101741761	Lmpt	four and a half LIM domains protein limpet
135071258	XP_063821116.1	XP_037867186.1	101741587	LOC101741587	uncharacterized LOC101741587
135071260	XP_063821118.1	XP_004924799.1	101742338	LOC101742338	uncharacterized LOC101742338
135071261	XP_063821120.1	XP_062530853.1	134200940	LOC134200940	uncharacterized LOC134200940
135071262	XP_063821124.1	XP_004924801.2	101742636	LOC101742636	spermine synthase
135071264	XP_063821125.1	XP_004924802.1	101742780	LOC101742780	nucleoporin Nup35
135071265	XP_063821126.1	NP_001040311.1	693093	Hou	GID complex subunit 8 homolog protein Houki
135071266	XP_063821127.1	XP_004924798.1	101742199	kri	uracil phosphoribosyltransferase krishah
135071263	XP_063821128.1	XP_037867021.1	101741445	PIG-U	phosphatidylinositol glycan anchor biosynthesis class U
135071267	XP_063821129.1	NP_001040238.1	692931	Chmp1	charged multivesicular body protein 1
135071268	XP_063821130.1	NP_001243977.1	100862827	LOC100862827	akirin protein
135071269	XP_063821131.1	XP_004924800.1	101742490	LOC101742490	X-linked retinitis pigmentosa GTPase regulator
135071273	XP_063821134.1	XP_004924806.1	101743390	LOC101743390	netrin receptor UNC5C
135071275	XP_063821137.1	XP_037874807.1	105841428	LOC105841428	uncharacterized LOC105841428
135071277	XP_063821140.1	XP_037874811.1	101744697	Ifrd1	Interferon-related developmental regulator 1
135071278	XP_063821141.1	XP_004924804.2	101743019	LOC101743019	ubiquitin-like protein 4A
135071284	XP_063821142.1	NP_001116814.1	100144550	ae40	alpha-esterase 40
135071285	XP_063821144.1	XP_004925916.1	101742446	LOC101742446	lebercilin-like protein
135071286	XP_063821145.1	NP_001127709.1	100174916	NGR-A12	neuropeptide receptor A12
135071287	XP_063821146.1	XP_004925912.2	101741910	LOC101741910	protein vein
135071288	XP_063821148.1	XP_004925914.2	101742204	ABCB7	ATP binding cassette subfamily B member 7
135071289	XP_063821149.1	NP_001127751.1	100187575	NGR-A35	neuropeptide receptor A35
135071290	XP_063821150.1	XP_012545610.1	101744934	LOC101744934	lachesin
135071293	XP_063821151.1	NP_001266403.1	101743498	Gp93	heat shock protein 90 Gp93
135071294	XP_063821152.1	NP_001182384.1	100500752	TPT	triose-phosphate transporter-like protein
135071291	XP_063821154.1	XP_037866974.1	101741312	gwl	serine/threonine-protein kinase greatwall
135071296	XP_063821156.1	XP_012544617.2	101736263	vimar	visceral mesodermal armadillo-repeats
135071297	XP_063821157.1	XP_037874882.1	101739257	LOC101739257	exocyst complex component 4
135071298	XP_063821158.1	XP_004924761.1	101735867	LOC101735867	uncharacterized LOC101735867
135071299	XP_063821159.1	XP_037874998.1	110386854	LOC110386854	uncharacterized LOC110386854
135071301	XP_063821162.1	XP_004924752.1	101746799	LOC101746799	uncharacterized LOC101746799
135071302	XP_063821163.1	XP_037874888.1	101737192	LOC101737192	dual specificity testis-specific protein kinase 2
135071304	XP_063821165.1	XP_062531008.1	105841761	LOC105841761	uncharacterized LOC105841761
135071305	XP_063821166.1	XP_021203889.1	101742158	LOC101742158	probable tubulin polyglutamylase TTLL2
135071306	XP_063821168.1	XP_004926431.1	101737058	LOC101737058	carbohydrate sulfotransferase 11
135071312	XP_063821175.1	XP_004924322.3	101746608	Prdm13	PR/SET domain 13
135071313	XP_063821176.1	XP_004924321.2	101746463	Rsph3	Radial spoke head protein 3
135071316	XP_063821179.1	NP_001153667.1	100301499	H2ax-l	histone H2AX-like protein
135071317	XP_063821180.1	XP_037874706.1	101745605	LOC101745605	mucin-4
135071320	XP_063821182.1	XP_004921763.2	101742184	LOC101742184	uncharacterized LOC101742184
135071318	XP_063821183.1	XP_021206214.2	101737872	LOC101737872	proclotting enzyme
135071322	XP_063821185.1	XP_037874911.1	101737053	upSET	upSET
135071325	XP_063821188.1	XP_021204578.3	105841854	LOC105841854	leucine-rich repeat-containing protein 74B
135071326	XP_063821189.1	XP_037874906.1	101744312	omd	integrator complex subunit 5 omd
135071329	XP_063821191.1	XP_004924304.1	101743583	LOC101743583	MAP kinase-interacting serine/threonine-protein kinase 1
135071330	XP_063821192.1	XP_062531038.1	101736173	LOC101736173	netrin receptor UNC5C
135071331	XP_063821193.1	XP_004924295.1	101742196	LOC101742196	peroxisomal targeting signal 2 receptor
135071328	XP_063821194.1	XP_037866891.1	105842683	Roc2	Regulator of cullins 2
135071333	XP_063821196.1	XP_004924286.2	101741241	MFS9	major facilitator superfamily transporter 9
135071334	XP_063821197.1	XP_037874946.1	101744844	LOC101744844	proteasome adapter and scaffold protein ECM29
135071335	XP_063821198.1	XP_037874991.1	110384721	LOC110384721	cyclin-G-associated kinase
135071337	XP_063821200.1	XP_012546118.2	101740325	LOC101740325	dual specificity protein phosphatase Mpk3
135071338	XP_063821201.1	XP_012546115.2	101740457	LOC101740457	afadin
135071343	XP_063821204.1	XP_037874690.1	101738845	LOC101738845	Golgi-associated PDZ and coiled-coil motif-containing protein
135071344	XP_063821205.1	XP_004926531.3	101741155	cdm	importin-13-like protein cdm
135071347	XP_063821207.1	XP_021203890.2	101741298	Nuak1	Nuak family kinase 1
135071348	XP_063821208.1	XP_037874751.1	101741434	RhoGAP93B	MyTH4 and RhoGAP_KIAA1688 domain-containing protein RhoGAP93B
135071349	XP_063821209.1	XP_037874997.2	119630266	LOC119630266	putative gustatory receptor 28a
135071346	XP_063821210.1	XP_004930214.1	101737594	LOC101737594	solute carrier family 12 member 8
135071351	XP_063821212.1	XP_062530992.1	101740593	LOC101740593	zonadhesin
135071354	XP_063821215.1	XP_037871602.1	119629550	LOC119629550	uncharacterized LOC119629550
135071355	XP_063821216.1	XP_004926441.1	101739024	Paip1	Poly(A) binding protein interacting protein 1
135071358	XP_063821218.1	XP_037874800.1	101737267	rictor	rapamycin-insensitive companion of Tor
135071359	XP_063821219.1	XP_037874970.1	101738040	LOC101738040	blood vessel epicardial substance
135071362	XP_063821222.1	XP_021207501.2	101740838	LOC101740838	constitutive coactivator of PPAR-gamma-like protein 1
135071363	XP_063821223.1	XP_062531075.1	101740156	LOC101740156	synapsin
135071366	XP_063821225.1	XP_062527216.1	134199722	LOC134199722	uncharacterized LOC134199722
135071364	XP_063821226.1	NP_001040441.1	732979	Spf45	splicing factor 45
135071368	XP_063821228.1	NP_001036869.1	692411	CPR45	cuticular protein RR-1 motif 45
135071369	XP_063821229.1	XP_004931955.2	101741595	LOC101741595	tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
135071370	XP_063821230.1	NP_001166675.1	100379387	CPR87	cuticular protein RR-2 motif 87
135071371	XP_063821231.1	NP_001166625.1	100379326	CPR92	cuticular protein RR-2 motif 92
135071372	XP_063821232.1	NP_001166668.1	100379379	CPR97	cuticular protein RR-2 motif 97
135071061	XP_063821234.1	NP_001124372.2	101741078	LOC101741078	C-type mannose receptor 2
135071342	XP_063821235.1	XP_062524477.1	101743793	Dhc93AB	Dynein heavy chain at 93AB
135071374	XP_063821239.1	NP_001040501.1	733044	LOC733044	legumaturain
135071378	XP_063821240.1	NP_001166647.1	100379357	CPR121	cuticular protein RR-2 motif 121
135071379	XP_063821241.1	XP_004931961.1	101742416	LOC101742416	cuticle protein 8
135071381	XP_063821243.1	XP_062524480.1	134198856	LOC134198856	uncharacterized LOC134198856
135071384	XP_063821246.1	XP_004931968.1	101743561	LOC101743561	calcium homeostasis endoplasmic reticulum protein
135071387	XP_063821248.1	XP_012550805.2	101744721	LOC101744721	protein qui-1
135071385	XP_063821250.1	XP_004930209.1	101737028	TH1	negative elongation factor complex member TH1
135071389	XP_063821251.1	XP_037874979.1	101745154	LOC101745154	protein FAM13A
135071390	XP_063821252.1	XP_037874977.1	101745302	LOC101745302	27 kDa glycoprotein-like
135071393	XP_063821255.1	XP_037874856.1	101745884	stan	protocadherin-like wing polarity protein stan
135071395	XP_063821257.1	XP_037874799.1	101746732	LOC101746732	uncharacterized LOC101746732
135071396	XP_063821260.1	XP_004930212.1	101737367	LOC101737367	nuclear speckle splicing regulatory protein 1
135071399	XP_063821261.1	XP_037874775.1	101744551	Rfx	regulatory transcription factor Rfx
135071400	XP_063821262.1	XP_012545601.1	101744504	LOC101744504	uncharacterized LOC101744504
135071402	XP_063821264.1	XP_021203492.3	101744791	LOC101744791	sodium channel protein Nach
135071405	XP_063821266.1	XP_062531064.1	101745077	LOC101745077	ionotropic receptor 75a
135071406	XP_063821267.1	XP_037874715.1	101745226	cnk	connector enhancer of ksr
135071403	XP_063821268.1	XP_004930204.1	101736452	LOC101736452	uncharacterized LOC101736452
135071409	XP_063821271.1	XP_012545611.1	101742732	vg	transcription factor vestigial
135071412	XP_063821272.1	XP_004924279.1	101740360	LOC101740360	THAP domain-containing protein 1
135071414	XP_063821274.1	XP_004924313.2	101745178	LOC101745178	uncharacterized LOC101745178
135071416	XP_063821276.1	XP_004927170.1	101744123	tap	basic helix-loop-helix neural transcription factor TAP
135071418	XP_063821277.1	XP_004924763.1	101736131	LOC101736131	E3 SUMO-protein ligase NSE2
135071420	XP_063821278.1	XP_004924762.1	101735996	Spindly	spindle apparatus coiled-coil protein 1 spindly
135071421	XP_063821280.1	NP_001166291.1	100379331	Cpr67B	Cuticular protein 67B
135071422	XP_063821281.1	XP_062531084.1	119630276	LOC119630276	uncharacterized LOC119630276
135071424	XP_063821282.1	XP_004933775.2	101743614	LOC101743614	elongation of very long chain fatty acids protein 4
135071425	XP_063821283.1	NP_001040242.1	692935	LOC692935	rRNA processing protein Ebp2
135071426	XP_063821284.1	XP_004924748.1	101746098	LOC101746098	proton-coupled folate transporter
135071427	XP_063821285.1	XP_004924743.1	101745323	LOC101745323	proton-coupled folate transporter
135071429	XP_063821286.1	XP_004924336.2	101736836	LOC101736836	zinc finger and BTB domain-containing protein 42
135071428	XP_063821289.1	XP_004930205.1	101736581	LOC101736581	FUN14 domain-containing protein 1A
135071431	XP_063821291.1	XP_004924303.1	101743446	LOC101743446	UPF0728 protein v1g117062
135071432	XP_063821292.1	XP_004924301.1	101743164	LOC101743164	dual specificity protein phosphatase 14
135071433	XP_063821294.1	XP_012544221.3	105841350	LOC105841350	uncharacterized LOC105841350
135071435	XP_063821297.1	XP_004924288.2	101741380	LOC101741380	uncharacterized LOC101741380
135071442	XP_063821304.1	XP_021204310.2	101744556	LOC101744556	uncharacterized LOC101744556
135071444	XP_063821308.1	XP_004930202.2	101736198	LeuRS-m	Leucyl-tRNA synthetase, mitochondrial
135071450	XP_063821309.1	XP_021204320.3	101745135	LOC101745135	odorant receptor Or1-like
135071453	XP_063821310.1	XP_004926514.1	101738706	LOC101738706	uncharacterized LOC101738706
135071455	XP_063821312.1	XP_004930203.1	101736330	LOC101736330	uncharacterized LOC101736330
135071461	XP_063821314.1	XP_004926440.1	101738886	MagR	Iron-sulfur cluster assembly 1 homolog MagR
135071464	XP_063821317.1	XP_004926447.1	101739783	mRpL55	mitochondrial ribosomal protein L55
135071465	XP_063821321.1	NP_001037153.1	692667	RpL13	ribosomal protein L13
135071475	XP_063821325.1	XP_004931870.1	101742122	LOC101742122	zinc finger matrin-type protein 2
135071478	XP_063821326.1	XP_037874949.1	101737698	LOC101737698	popeye domain-containing protein 3
135071479	XP_063821327.1	XP_037874750.1	101737967	LOC101737967	sodium channel protein Nach
135071480	XP_063821328.1	XP_021207440.1	110386194	LOC110386194	uncharacterized LOC110386194
135071477	XP_063821329.1	XP_037876930.1	119630694	LOC119630694	polyadenylate-binding protein 1
135071481	XP_063821330.1	XP_012550748.2	101743800	l(3)mbn	lethal (3) malignant blood neoplasm
135071482	XP_063821331.1	NP_001166727.1	100379444	CPR23	cuticular protein RR-1 motif 23
135071483	XP_063821332.1	NP_001166726.1	100379443	CPR24	cuticular protein RR-1 motif 24
135071484	XP_063821333.1	NP_001166725.1	100379442	CPR25	cuticular protein RR-1 motif 25
135071485	XP_063821334.1	XP_037874973.1	101738507	LOC101738507	larval cuticle protein 65Ab1
135071489	XP_063821335.1	NP_001037247.1	692709	RpL37a	ribosomal protein L37a
135071490	XP_063821336.1	XP_012550842.1	101736687	LOC101736687	integrator complex subunit 12
135071488	XP_063821337.1	XP_004930199.1	101735807	LOC101735807	glycylpeptide N-tetradecanoyltransferase 2
135071491	XP_063821338.1	XP_004932028.3	101740696	dmrt93B	doublesex-Mab related 93B
135071494	XP_063821340.1	XP_004931913.1	101736203	LOC101736203	piercer of microtubule wall 1 protein
135071495	XP_063821342.1	XP_012550787.2	101739755	LOC101739755	carboxypeptidase N subunit 2
135071496	XP_063821343.1	XP_021207495.1	101747142	LOC101747142	uncharacterized LOC101747142
135071498	XP_063821345.1	XP_004931899.3	101746159	lin-28	protein lin-28 homolog
135071499	XP_063821346.1	XP_004931889.1	101744866	Orc3	origin recognition complex subunit 3
135071500	XP_063821347.1	NP_001166710.1	100379425	CPR44	cuticular protein RR-1 motif 44
135071497	XP_063821348.1	XP_012549270.1	101740741	LOC101740741	tudor domain-containing protein 7
135071501	XP_063821349.1	NP_001166711.1	100379426	CPR43	cuticular protein RR-1 motif 43
135071502	XP_063821350.1	NP_001166712.1	100379427	CPR42	cuticular protein RR-1 motif 42
135071503	XP_063821351.1	NP_001037490.1	693048	CPR41	cuticular protein RR-1 motif 41
135071504	XP_063821352.1	NP_001128676.2	100188971	CPG21	cuticular protein glycine-rich 21
135071506	XP_063821356.1	NP_001040151.1	692841	mRpL20	mitochondrial ribosomal protein L20
135071508	XP_063821358.1	NP_001037654.1	733084	eIF2Bgamma	eukaryotic translation initiation factor 2B subunit gamma
135071509	XP_063821360.1	XP_037874790.1	101737966	LOC101737966	uncharacterized LOC101737966
135071510	XP_063821362.1	XP_004931927.1	101738228	LOC101738228	multiple inositol polyphosphate phosphatase 1
135071513	XP_063821365.1	XP_004931936.2	101739330	LOC101739330	THUMP domain-containing protein 1 homolog
135071515	XP_063821366.1	XP_004931939.2	101739754	LOC101739754	histone-lysine N-methyltransferase 2D
135071516	XP_063821368.1	XP_004931941.1	101740023	Had1	beta Hydroxy acid dehydrogenase 1
135071517	XP_063821369.1	XP_021207502.1	101742994	LOC101742994	traB domain-containing protein
135071521	XP_063821374.1	NP_001166657.1	100379367	CPR111	cuticular protein RR-2 motif 111
135071526	XP_063821378.1	NP_001166629.1	100379332	CPR147	cuticular protein RR-3 motif 147
135071529	XP_063821379.1	XP_004931972.1	101744098	LOC101744098	transcription elongation factor 1 homolog
135071525	XP_063821380.1	XP_004930200.1	101735936	LOC101735936	zinc finger protein on ecdysone puffs
135071538	XP_063821385.1	NP_001166709.1	100379424	Cpr73D	Cuticular protein 73D
135071539	XP_063821386.1	XP_037874830.1	101735529	LOC101735529	cryptochrome-1
135071544	XP_063821388.1	XP_004932002.1	101736457	PolE4	DNA polymerase epsilon subunit 4
135071545	XP_063821389.1	XP_004930197.1	101735564	tgo	Aryl hydrocarbon receptor nuclear translocator homolog tgo
135071548	XP_063821391.1	XP_037874844.1	101741329	LOC101741329	catalase
135071549	XP_063821392.1	XP_004924788.2	101740914	LOC101740914	uncharacterized LOC101740914
135071550	XP_063821393.1	XP_004924790.1	101741202	LOC101741202	protein spaetzle 5
135071555	XP_063821398.1	XP_012544643.1	101744833	LOC101744833	uncharacterized LOC101744833
135071559	XP_063821402.1	XP_004924805.1	101743254	Amnionless	amnion associated transmembrane protein
