Gene ID	Protein accession	drosophila_melanogaster	NCBI GeneID	Symbol	Description
135077805	XP_063828445.1	NP_650777.1	42286.0	CG6013	uncharacterized protein
135076846	XP_063827421.1	NP_647638.1	38201.0	CG17249	uncharacterized protein
135076918	XP_063827541.1	NP_524382.1	42061.0	mRpS11	mitochondrial ribosomal protein S11
135076985	XP_063827618.1				
135074838	XP_063825292.1	NP_523811.1	37563.0	mRpS29	mitochondrial ribosomal protein S29
135074847	XP_063825302.1	NP_652035.1	46069.0	ATPsynG	ATP synthase, subunit G
135076987	XP_063827634.1	NP_611265.1	37029.0	OstDelta	Oligosaccharide transferase Delta subunit
135078273	XP_063828969.1	NP_525111.1	36280.0	RnrS	Ribonucleoside diphosphate reductase small subunit
135078360	XP_063829039.1	NP_523517.1	34225.0	alien	alien
135074857	XP_063825312.1	NP_612004.2	38023.0	Vdup1	Vitamin D[[3]] up-regulated protein 1
135078472	XP_063829118.1	NP_476804.1	33501.0	gammaTub23C	gamma-Tubulin at 23C
135078577	XP_063829209.1	NP_648684.1	39554.0	endos	endosulfine
135076989	XP_063827648.1	NP_651228.1	42876.0	SMC6	Structural maintenance of chromosomes 6
135078819	XP_063829484.1	NP_476959.1	34924.0	CycE	Cyclin E
135074866	XP_063825321.1				
135078911	XP_063829599.1	NP_476946.1	35200.0	pigeon	pigeon
135078989	XP_063829709.1	NP_609443.1	34477.0	CG6443	uncharacterized protein
135079086	XP_063829792.1	NP_727306.1	318161.0	CG32708	uncharacterized protein
135079198	XP_063829890.1	NP_651838.1	43672.0	Chchd3	Coiled-coil-helix-coiled-coil-helix domain containing 3
135079998	XP_063830767.1	NP_608986.1	33851.0	CG13995	uncharacterized protein
135074903	XP_063825349.1	NP_611523.3	37363.0	Cib2	Calcium and integrin binding family member 2
135079423	XP_063830186.1	NP_511150.1	32358.0	ben	bendless
135079591	XP_063830322.1	NP_727440.3	31997.0	X11Lbeta	X11Lbeta
135079698	XP_063830407.1				
135079913	XP_063830654.1				
135074937	XP_063825373.1				
135074951	XP_063825390.1	NP_727796.1	318103.0	CG32590	uncharacterized protein
135076998	XP_063827658.1				
135074968	XP_063825407.1				
135074978	XP_063825421.1				
135074986	XP_063825429.1				
135074995	XP_063825437.1				
135075005	XP_063825449.1				
135075020	XP_063825465.1				
135075041	XP_063825484.1	NP_649408.1	40486.0	CG11370	uncharacterized protein
135076682	XP_063827175.1				
135076691	XP_063827184.1				
135076702	XP_063827195.1				
135080398	XP_063831135.1				
135080092	XP_063830878.1				
135075052	XP_063825493.1				
135075064	XP_063825498.1				
135081929	XP_063832789.1	NP_648989.1	39954.0	Oatp74D	Organic anion transporting polypeptide 74D
135075078	XP_063825499.1	NP_524399.1	42273.0	dnk	deoxyribonucleoside kinase
135081031	XP_063831856.1	NP_609792.1	34976.0	CaBP1	calcium-binding protein 1
135081211	XP_063832060.1	NP_995680.1	2768916.0	CG33303	uncharacterized protein
135081119	XP_063831959.1	NP_611790.1	37706.0	eIF2Bdelta	eukaryotic translation initiation factor 2B subunit delta
135081314	XP_063832139.1	NP_648276.1	39031.0	Galk	Galactokinase
135081435	XP_063832226.1				
135077007	XP_063827670.1				
135081736	XP_063832627.1	NP_611264.2	37028.0	ACOX1	acyl-CoA oxidase 1
135081831	XP_063832718.1	NP_476631.1	37995.0	RpL19	Ribosomal protein L19
135083197	XP_063834031.1				
135084365	XP_063835242.1				
135082408	XP_063833308.1				
135082506	XP_063833408.1				
135082615	XP_063833506.1				
135082716	XP_063833587.1				
135084163	XP_063835006.1	NP_476965.1	37447.0	Sdc	Syndecan
135083287	XP_063834129.1				
135082821	XP_063833685.1	NP_652302.1	50133.0	CG13551	uncharacterized protein
135076711	XP_063827205.1				
135083086	XP_063833955.1				
135082986	XP_063833851.1				
135083387	XP_063834233.1	NP_525109.1	35940.0	Rab32	Rab32
135084066	XP_063834912.1	NP_610468.1	35941.0	CG8026	uncharacterized protein
135084522	XP_063835391.1	NP_650401.1	41800.0	UQCR-C1	Ubiquinol-cytochrome c reductase core protein 1
135084619	XP_063835494.1	NP_608779.1	33562.0	Cog3	Component of oligomeric golgi complex 3
135084943	XP_063835805.1	NP_525103.2	34665.0	bun	bunched
135085178	XP_063836037.1	NP_722738.1	33363.0	CG31663	uncharacterized protein
135075106	XP_063825519.1	NP_787960.1	33324.0	NLaz	Neural Lazarillo
135084855	XP_063835695.1				
135085275	XP_063836147.1	NP_523833.1	37785.0	ken	ken and barbie
135077026	XP_063827690.1	NP_610835.2	36436.0	Drl-2	Derailed 2
135077044	XP_063827711.1				
135085421	XP_063836317.1	NP_477225.1	37823.0	Phm	Peptidylglycine-alpha-hydroxylating monooxygenase
135075122	XP_063825538.1				
135075130	XP_063825549.1				
135086014	XP_063836890.1	NP_477018.1	36032.0	Mef2	Myocyte enhancer factor 2
135075139	XP_063825560.1	NP_001097043.1	33157.0	Ir21a	Ionotropic receptor 21a
135085521	XP_063836404.1	NP_722589.1	33158.0	Cda5	Chitin deacetylase-like 5
135077053	XP_063827723.1	NP_611864.1	37824.0	Pask	PAS kinase
135087638	XP_063838450.1	NP_609397.2	34421.0	CG5355	uncharacterized protein
135077064	XP_063827731.1	NP_476751.1	37065.0	stau	staufen
135077077	XP_063827735.1	NP_610810.2	36397.0	Nup188	Nucleoporin 188kDa
135087629	XP_063838439.1	NP_523836.2	37834.0	Ak2	Adenylate kinase 2
135087591	XP_063838389.1	NP_610172.1	35496.0	CG30440	uncharacterized protein
135087618	XP_063838430.1				
135087330	XP_063838210.1	NP_726040.1	37419.0	Gyg	Glycogenin
135086433	XP_063837253.1	NP_477341.2	35207.0	dnt	doughnut on 2
135075146	XP_063825572.1				
135075158	XP_063825580.1				
135086519	XP_063837350.1				
135086714	XP_063837599.1				
135086881	XP_063837809.1				
135086804	XP_063837707.1				
135086965	XP_063837916.1				
135075165	XP_063825593.1				
135075174	XP_063825605.1				
135075181	XP_063825618.1				
135075191	XP_063825628.1				
135075202	XP_063825639.1				
135075210	XP_063825651.1				
135075220	XP_063825663.1				
135075230	XP_063825672.1				
135087065	XP_063838008.1				
135087248	XP_063838161.1	NP_647844.2	38467.0	CG14984	uncharacterized protein
135087152	XP_063838099.1	NP_612046.1	38078.0	MED30	Mediator complex subunit 30
135087672	XP_063838489.1				
135087680	XP_063838499.1				
135087689	XP_063838511.1	NP_611544.1	37393.0	CG10527	uncharacterized protein
135087703	XP_063838531.1				
135087710	XP_063838546.1				
135077090	XP_063827741.1				
135087717	XP_063838558.1				
135077103	XP_063827746.1				
135087727	XP_063838569.1	NP_572861.1	32267.0	CG4332	uncharacterized protein
135087763	XP_063838622.1	NP_647852.1	38478.0	Rcd5	Reduction in Cnn dots 5
135087771	XP_063838633.1	NP_523673.1	36050.0	mRpL42	mitochondrial ribosomal protein L42
135087742	XP_063838589.1	NP_573341.1	32888.0	CG7378	uncharacterized protein
135087755	XP_063838609.1	NP_609368.3	34377.0	Utx	Utx histone demethylase
135087780	XP_063838645.1	NP_524683.2	44052.0	Shc	SHC-adaptor protein
135087791	XP_063838657.1				
135075272	XP_063825726.1	NP_611988.2	37994.0	CG2765	uncharacterized protein
135087816	XP_063838691.1	NP_477241.2	37546.0	dve	defective proventriculus
135087834	XP_063838725.1				
135087826	XP_063838703.1	NP_611660.1	37547.0	CG5819	uncharacterized protein
135087957	XP_063838897.1	NP_611661.1	37548.0	wdp	windpipe
135087839	XP_063838738.1	NP_477049.2	37549.0	Gp150	Gp150
135087864	XP_063838774.1	NP_477209.2	37551.0	T3dh	Type III alcohol dehydrogenase
135076721	XP_063827215.1	NP_001014504.1	35783.0	Asap	ArfGAP with SH3 domain, ankyrin repeat and PH domain
135087884	XP_063838797.1				
135087875	XP_063838786.1				
135075300	XP_063825765.1	NP_001036744.1	4379860.0	Muted	muted
135075292	XP_063825755.1	NP_651027.1	42617.0	CG7071	uncharacterized protein
135087966	XP_063838907.1	NP_476700.1	35246.0	ref(2)P	refractory to sigma P
135075304	XP_063825790.1	NP_725517.2	36766.0	Rrp42	Rrp42
135075314	XP_063825802.1	NP_650069.2	41368.0	bumpel	brother of rumpel
135075324	XP_063825810.1				
135087900	XP_063838822.1				
135087891	XP_063838809.1				
135077117	XP_063827753.1				
135088068	XP_063839024.1				
135077129	XP_063827762.1				
135075332	XP_063825823.1				
135075338	XP_063825838.1				
135075343	XP_063825850.1				
135075352	XP_063825862.1				
135075360	XP_063825873.1				
135088009	XP_063838961.1				
135077149	XP_063827776.1				
135077161	XP_063827786.1				
135077172	XP_063827794.1				
135077182	XP_063827804.1				
135077192	XP_063827815.1				
135088017	XP_063838972.1				
135087986	XP_063838933.1				
135088028	XP_063838982.1				
135088050	XP_063839004.1				
135087907	XP_063838833.1	NP_570081.2	31343.0	CG15239	uncharacterized protein
135075365	XP_063825884.1				
135088038	XP_063838991.1	NP_001033975.2	3885596.0	CG34038	uncharacterized protein
135088057	XP_063839016.1	NP_573217.1	32728.0	CG8568	uncharacterized protein
135076730	XP_063827224.1	NP_611891.1	37866.0	Naa35	N(alpha)-acetyltransferase 35
135088077	XP_063839036.1				
135088097	XP_063839057.1				
135077203	XP_063827822.1				
135088086	XP_063839047.1	NP_611447.1	37270.0	Obp56g	Odorant-binding protein 56g
135087934	XP_063838867.1	NP_620469.2	38284.0	ACXD	Adenylyl cyclase X D
135087917	XP_063838845.1	NP_611619.2	5740472.0	Fili	Fish-lips
135087925	XP_063838854.1				
135077224	XP_063827838.1				
135087999	XP_063838951.1				
135077235	XP_063827848.1				
135075386	XP_063825902.1				
135075377	XP_063825895.1	NP_525046.1	31207.0	Or2a	Odorant receptor 2a
135088170	XP_063839132.1	NP_648320.1	39098.0	CG3434	uncharacterized protein
135088130	XP_063839085.1	NP_733119.2	2768687.0	LpR1	Lipophorin receptor 1
135088190	XP_063839154.1				
135088220	XP_063839175.1				
135088207	XP_063839166.1				
135088241	XP_063839195.1	NP_609064.3	33939.0	Nhe3	Na[+]/H[+] hydrogen exchanger 3
135088231	XP_063839183.1	NP_608983.2	33846.0	CG9117	uncharacterized protein
135088253	XP_063839203.1	NP_523757.1	36778.0	Asph	Aspartyl beta-hydroxylase
135088271	XP_063839221.1	NP_611975.3	37979.0	NKAIN	Na,K-ATPase Interacting
135075393	XP_063825911.1	NP_476940.1	33397.0	Uch	Ubiquitin carboxy-terminal hydrolase
135088290	XP_063839231.1				
135088302	XP_063839239.1	NP_572475.1	31772.0	PIG-T	Phosphatidylinositol glycan anchor biosynthesis class T
135077245	XP_063827856.1				
135077255	XP_063827864.1				
135077263	XP_063827870.1				
135075408	XP_063825924.1	NP_610361.1	35793.0	RagC-D	Ras-related GTP binding C/D
135088314	XP_063839243.1				
135088326	XP_063839250.1	NP_610359.2	35790.0	Lpin	Lipin
135075421	XP_063825936.1	NP_610554.1	36058.0	RpLP0-like	Ribosomal protein LP0-like
135088360	XP_063839282.1	NP_476885.2	36059.0	14-3-3zeta	14-3-3zeta
135088403	XP_063839316.1				
135077271	XP_063827880.1				
135075430	XP_063825943.1				
135088458	XP_063839347.1	NP_523561.1	34786.0	CAH1	Carbonic anhydrase 1
135088419	XP_063839317.1				
135088442	XP_063839327.1				
135071060	XP_063824351.1	NP_649655.1	40793.0	gpp	grappa
135088466	XP_063839364.1	NP_476705.1	43719.0	rod	rough deal
135088476	XP_063839374.1	NP_609735.1	34874.0	Ankrd49	Ankrd49
135088487	XP_063839385.1	NP_476833.1	39871.0	Dbp73D	Dead box protein 73D
135080218	XP_063834231.1	NP_609389.1	34403.0	Cand1	Cullin-associated and neddylation-dissociated 1
135088497	XP_063839395.1	NP_609083.2	33969.0	CG18304	uncharacterized protein
135088530	XP_063839444.1	NP_650195.1	41528.0	NANS	N-acetylneuraminic acid synthase
135088543	XP_063839453.1	NP_609089.1	33978.0	Hmgcl	3-Hydroxymethyl-3-methylglutaryl-CoA lyase
135088553	XP_063839464.1	NP_731253.1	318747.0	CG31460	uncharacterized protein
135088523	XP_063839432.1	NP_573313.2	32850.0	Rip11	Rab11 interacting protein
135075443	XP_063825956.1				
135071076	XP_063820902.1	NP_001097085.1	5740672.0	dcma	decima
135075458	XP_063825971.1				
135088566	XP_063839484.1	NP_001137877.1	7354429.0	Snup	Snurportin
135088645	XP_063839642.1	NP_572253.2	31496.0	IntS6	Integrator 6
135075476	XP_063825988.1				
135088652	XP_063820882.1				
135088572	XP_063839497.1	NP_611076.2	36764.0	CG8389	uncharacterized protein
135087761	XP_063838997.1				
135088583	XP_063839530.1	NP_726871.1	31322.0	DIP-alpha	Dpr-interacting protein alpha
135075507	XP_063826013.1				
135075522	XP_063826019.1				
135071061	XP_063821234.1				
135088588	XP_063839555.1	NP_726244.1	37618.0	CycB	Cyclin B
135088592	XP_063839568.1	NP_648408.1	39213.0	CG11811	uncharacterized protein
135075554	XP_063826048.1				
135075565	XP_063826058.1				
135071094	XP_063820925.1				
135075575	XP_063826069.1				
135075584	XP_063826078.1				
135071086	XP_063820911.1	NP_609074.3	33954.0	CG17377	uncharacterized protein
135075608	XP_063826096.1				
135088607	XP_063839587.1				
135071970	XP_063822275.1	NP_652073.2	49713.0	alpha-Catr	alpha-catenin related
135071113	XP_063820956.1	NP_477064.1	35801.0	pnut	peanut
135071137	XP_063820979.1				
135075620	XP_063826103.1	NP_609090.2	33979.0	sip2	septin interacting protein 2
135071147	XP_063820991.1	NP_648389.3	326186.0	scramb1	scramblase 1
135071159	XP_063821002.1	NP_477402.1	37850.0	Rap2l	Ras-associated protein 2-like
135072850	XP_063823273.1				
135071177	XP_063821018.1				
135071204	XP_063821053.1				
135071187	XP_063821029.1				
135073730	XP_063824352.1				
135075631	XP_063826110.1				
135071196	XP_063821041.1				
135074602	XP_063825356.1				
135075640	XP_063826119.1				
135071214	XP_063821062.1	NP_726511.2	38011.0	CG9380	uncharacterized protein
135071328	XP_063821194.1	NP_610691.1	36246.0	Roc2	Regulator of cullins 2
135075648	XP_063826132.1	NP_610694.1	36249.0	Tret1-2	Trehalose transporter 1-2
135071246	XP_063821104.1	NP_610693.1	36248.0	Tret1-1	Trehalose transporter 1-1
135071274	XP_063821138.1				
135075520	XP_063826348.1				
135071258	XP_063821116.1				
135071263	XP_063821128.1	NP_609238.1	34185.0	PIG-U	Phosphatidylinositol glycan anchor biosynthesis class U
135075656	XP_063826145.1	NP_609625.2	34728.0	Jhbp14	Juvenile hormone binding protein 14
135071318	XP_063821183.1	NP_723797.3	34731.0	l(2)k05911	lethal (2) k05911
135071291	XP_063821154.1	NP_524860.2	45969.0	gwl	greatwall
135071364	XP_063821226.1	NP_001036424.1	3355114.0	Spf45	Spf45
135071374	XP_063821239.1	NP_001104369.2	5740475.0	CG41378	uncharacterized protein
135075667	XP_063826155.1	NP_524241.1	40737.0	Obp83a	Odorant-binding protein 83a
135075671	XP_063826181.1	NP_723441.2	34231.0	DIP-zeta	Dpr-interacting protein zeta
135071346	XP_063821210.1	NP_569905.1	31082.0	CG12773	uncharacterized protein
135075672	XP_063826196.1	NP_001138001.1	7354399.0	Spf30	Splicing factor 30
135076457	XP_063827302.1	NP_788299.3	36071.0	KCNQ	KCNQ potassium channel
135071385	XP_063821250.1	NP_573123.1	32607.0	TH1	TH1
135071396	XP_063821260.1	NP_727694.1	32288.0	CG15747	uncharacterized protein
135071428	XP_063821289.1	NP_609362.1	34368.0	CG5676	uncharacterized protein
135071403	XP_063821268.1				
135071444	XP_063821308.1	NP_647932.1	38581.0	LeuRS-m	Leucyl-tRNA synthetase, mitochondrial
135071455	XP_063821312.1	NP_001096928.1	31924.0	CG15249	uncharacterized protein
135077383	XP_063828331.1	NP_477231.1	36614.0	ttv	tout-velu
135071525	XP_063821380.1	NP_648367.1	39161.0	Ciz1	Ciz1 zinc finger protein
135071465	XP_063821321.1	NP_523530.1	34329.0	RpL13	Ribosomal protein L13
135071477	XP_063821329.1	NP_476667.1	37070.0	pAbp	poly(A) binding protein
135071488	XP_063821337.1	NP_523969.1	38909.0	Nmt	N-myristoyl transferase
135071497	XP_063821348.1	NP_611474.1	37304.0	tapas	tapas
135075696	XP_063826222.1	NP_648037.1	38720.0	Sf3b6	Splicing factor 3b subunit 6
135071617	XP_063821453.1	NP_610969.1	36616.0	CG12869	uncharacterized protein
135075704	XP_063826232.1	NP_725583.1	36841.0	Parp16	Poly(ADP-ribose) polymerase 16
135071545	XP_063821389.1	NP_731308.1	41084.0	tgo	tango
135078332	XP_063829278.1	NP_649135.2	40140.0	l(3)76BDm	lethal (3) 76BDm
135071634	XP_063821471.1	NP_524918.1	48448.0	CkIIalpha	casein kinase IIalpha
135071658	XP_063821498.1	NP_609975.1	35234.0	Ctu2	Cytosolic thiouridylase subunit 2
135071668	XP_063821508.1	NP_609361.1	34363.0	eEF1delta	eukaryotic translation elongation factor 1 delta
135071681	XP_063821530.1	NP_476842.2	37038.0	grh	grainy head
135079281	XP_063830301.1	NP_722737.3	33361.0	wry	weary
135075722	XP_063826247.1	NP_609995.1	35258.0	CG10366	uncharacterized protein
135071777	XP_063821659.1	NP_611904.1	37884.0	CG3376	uncharacterized protein
135071796	XP_063821697.1				
135071696	XP_063821546.1	NP_610203.2	35539.0	Ars2	Arsenic resistance protein 2
135071705	XP_063821558.1				
135071840	XP_063821747.1				
135071850	XP_063821758.1	NP_610991.1	36648.0	hui	hase und igel
135071714	XP_063821569.1	NP_726710.1	31042.0	TRAM	TRAM
135071725	XP_063821578.1	NP_523676.1	36060.0	Pfk	Phosphofructokinase
135071751	XP_063821613.1	NP_477374.1	37542.0	ari-2	ariadne 2
135071760	XP_063821623.1	NP_511124.1	32100.0	Polr2A	RNA polymerase II subunit A
135071767	XP_063821637.1	NP_523927.2	38545.0	nAChRbeta1	nicotinic Acetylcholine Receptor beta1
135071820	XP_063821720.1	NP_995707.2	34826.0	nAChRalpha5	nicotinic Acetylcholine Receptor alpha5
135071858	XP_063821769.1	NP_648704.2	39583.0	bbg	big bang
135071863	XP_063821781.1	NP_524641.1	43852.0	a	arc
135081156	XP_063832269.1	NP_001368952.1	5740668.0	CG34347	uncharacterized protein
135075735	XP_063826268.1				
135075740	XP_063826281.1	NP_001097339.1	5740661.0	CG34457	uncharacterized protein
135071873	XP_063821792.1				
135071892	XP_063821824.1				
135071880	XP_063821804.1	NP_524698.1	44117.0	bgm	bubblegum
135071910	XP_063821849.1	NP_608658.1	33402.0	sau	sauron
135071901	XP_063821837.1				
135082103	XP_063833273.1				
135075749	XP_063826293.1	NP_649831.1	41048.0	CG13318	uncharacterized protein
135083085	XP_063834232.1	NP_001097315.1	36609.0	L	Lobe
135084065	XP_063835212.1				
135072122	XP_063822148.1	NP_610413.1	35875.0	CG8272	uncharacterized protein
135072064	XP_063822081.1	NP_476575.1	37068.0	Hsf	Heat shock factor
135071937	XP_063821899.1	NP_647836.2	38457.0	Sc2	Sc2
135071917	XP_063821862.1	NP_611687.1	37582.0	tous	testes of unusual size
135072178	XP_063822207.1	NP_609379.1	34389.0	CG5381	uncharacterized protein
135072132	XP_063822156.1	NP_649649.1	40786.0	CG10286	uncharacterized protein
135071943	XP_063821912.1	NP_524788.2	44843.0	nkd	naked cuticle
135071952	XP_063821921.1				
135071958	XP_063821935.1	NP_610549.1	36049.0	PIG-N	Phosphatidylinositol glycan anchor biosynthesis class N
135075768	XP_063826322.1	NP_652562.2	50438.0	CG18661	uncharacterized protein
135072198	XP_063822224.1				
135072048	XP_063822055.1				
135072141	XP_063822163.1				
135071966	XP_063821945.1				
135085002	XP_063836177.1				
135072035	XP_063822033.1				
135072009	XP_063822002.1				
135071999	XP_063821991.1				
135076741	XP_063827235.1				
135075830	XP_063826364.1				
135072018	XP_063822015.1				
135072227	XP_063822245.1				
135072216	XP_063822236.1	NP_001104482.3	26067053.0	kl-3	male fertility factor kl3
135072323	XP_063822316.1	NP_732072.1	49241.0	rec	recombination-defective
135075846	XP_063826382.1	NP_523898.1	44098.0	rasp	rasp
135072239	XP_063822255.1	NP_572668.1	32027.0	CG2145	uncharacterized protein
135072250	XP_063822262.1	NP_610499.2	35984.0	Nt5c	5' nucleotidase C
135072263	XP_063822277.1				
135075856	XP_063826388.1				
135072274	XP_063822286.1	NP_647890.2	38531.0	dyl	dusky-like
135076751	XP_063827246.1				
135072299	XP_063822306.1	NP_523467.1	33565.0	msl-2	male-specific lethal 2
135072355	XP_063822321.1	NP_611561.1	37418.0	Lapsyn	Leucine-rich repeat activity-regulated protein at synapses
135072339	XP_063822317.1	NP_611844.3	37792.0	Upf3	Upf3
135072397	XP_063822380.1	NP_523785.2	37136.0	mRpS28	mitochondrial ribosomal protein S28
135072363	XP_063822334.1	NP_610809.3	36396.0	GLS	Glutaminase
135085979	XP_063837143.1				
135075890	XP_063826422.1	NP_610275.2	35663.0	CG11145	uncharacterized protein
135072534	XP_063822550.1				
135072551	XP_063822580.1	NP_611879.4	37851.0	yki	yorkie
135076761	XP_063827257.1				
135072510	XP_063822524.1	NP_608818.4	33626.0	Naprt	Nicotinate phosphoribosyltransferase
135072613	XP_063822681.1	NP_001033869.1	45233.0	capt	capulet
135072575	XP_063822613.1				
135072415	XP_063822389.1				
135072599	XP_063822656.1	NP_609538.2	34620.0	CG6785	uncharacterized protein
135072436	XP_063822408.1				
135076771	XP_063827270.1				
135072446	XP_063822420.1	NP_649926.2	41174.0	nmdyn-D7	nmdyn-D7
135072588	XP_063822634.1				
135072626	XP_063822702.1	NP_001036466.2	3355132.0	CG14464	uncharacterized protein
135072604	XP_063822669.1	NP_001097319.1	5740790.0	Polr2K	RNA polymerase II, I and III subunit K
135072453	XP_063822433.1	NP_476723.1	36171.0	shn	schnurri
135072477	XP_063822471.1	NP_610917.1	36545.0	Rpn13	Regulatory particle non-ATPase 13
135072619	XP_063822691.1	NP_611331.2	37117.0	CG5174	uncharacterized protein
135072482	XP_063822483.1	NP_523734.1	36544.0	AGO1	Argonaute-1
135075916	XP_063826442.1	NP_725343.1	3772367.0	mRpL53	mitochondrial ribosomal protein L53
135075908	XP_063826436.1	NP_001027417.1	3772655.0	CG33155	uncharacterized protein
135072652	XP_063822737.1	NP_477385.1	39877.0	eIF3e	eukaryotic translation initiation factor 3 subunit e
135072769	XP_063822879.1	NP_650193.1	41524.0	pps	protein partner of snf
135072802	XP_063822912.1	NP_611335.1	37124.0	rswl	roswell
135072861	XP_063822971.1				
135072881	XP_063822984.1	NP_609293.2	34268.0	Oatp30B	Organic anion transporting polypeptide 30B
135072685	XP_063822766.1				
135075929	XP_063826449.1				
135075938	XP_063826459.1				
135075952	XP_063826472.1				
135075963	XP_063826483.1				
135076779	XP_063827281.1				
135075971	XP_063826491.1				
135072818	XP_063822929.1				
135076786	XP_063827293.1				
135075987	XP_063826505.1	NP_651525.1	43251.0	CG6277	uncharacterized protein
135072852	XP_063822964.1	NP_609052.1	33924.0	CG11050	uncharacterized protein
135072871	XP_063822979.1	NP_732133.1	8674030.0	CG17931	uncharacterized protein
135072743	XP_063822852.1	NP_611061.1	36743.0	tun	tungus
135072702	XP_063822796.1	NP_609401.2	34428.0	CG5188	uncharacterized protein
135072750	XP_063822860.1	NP_523674.1	36051.0	Cdc2rk	Cdc2-related kinase
135086830	XP_063838032.1				
135072794	XP_063822904.1				
135072785	XP_063822895.1	NP_650641.2	42123.0	CG14325	uncharacterized protein
135075997	XP_063826515.1	NP_651714.1	43498.0	CG15506	uncharacterized protein
135072911	XP_063823008.1				
135072901	XP_063822999.1	NP_651842.3	43678.0	Mayo	mayo
135072923	XP_063823013.1				
135072931	XP_063823020.1				
135076007	XP_063826525.1				
135072942	XP_063823026.1				
135073029	XP_063823104.1	NP_001027435.2	3772015.0	nw	narrow
135073085	XP_063823193.1	NP_476573.1	35169.0	hook	hook
135072992	XP_063823064.1	NP_647816.2	38427.0	armi	armitage
135073076	XP_063823165.1	NP_649092.1	40087.0	Gem2	Gemin 2
135073052	XP_063823137.1	NP_608675.1	33421.0	CG3609	uncharacterized protein
135073024	XP_063823092.1	NP_611352.1	37143.0	Cth	Cystathionine gamma-lyase
135073002	XP_063823072.1	NP_610921.1	36551.0	Ctf4	Chromosome transmission fidelity 4
135073011	XP_063823082.1				
135073066	XP_063823154.1	NP_573394.1	44339.0	imd	immune deficiency
135087590	XP_063838425.1				
135087679	XP_063838536.1	NP_001097140.1	5740879.0	CG34367	uncharacterized protein
135076031	XP_063826553.1	NP_650398.3	41797.0	CG3631	uncharacterized protein
135076053	XP_063826579.1				
135073079	XP_063823180.1	NP_730334.2	317908.0	CG32196	uncharacterized protein
