ostrinia_nubilalis	drosophila_melanogaster	NCBI GeneID	Symbol	Description
XP_063820956.1	NP_477064.1	35801	pnut	peanut
XP_063820958.1	NP_648419.1	39224	Cpr67Fa2	Cuticular protein 67Fa2
XP_063820961.1	NP_610774.3	36351	Cpr49Ae	Cuticular protein 49Ae
XP_063820966.1	NP_647809.3	38415	CG14969	uncharacterized protein
XP_063820967.1	NP_647981.1	38637	Eaf6	Esa1-associated factor 6
XP_063820968.1	NP_648210.1	38941	Pex2	Peroxin 2
XP_063820970.1	NP_996512.1	2768889	CG33253	uncharacterized protein
XP_063820976.1	NP_001097645.1	40123	Cpr76Bd	Cuticular protein 76Bd
XP_063820988.1	NP_647665.2	38238	GV1	GV1
XP_063820991.1	NP_648389.3	326186	scramb1	scramblase 1
XP_063821002.1	NP_477402.1	37850	Rap2l	Ras-associated protein 2-like
XP_063821011.1	NP_001097547.1	5740547	CG34461	uncharacterized protein
XP_063821012.1	NP_648209.1	38940	Cpr66Cb	Cuticular protein 66Cb
XP_063821013.1	NP_647668.1	38241	Cpr62Bc	Cuticular protein 62Bc
XP_063821019.1	NP_647667.1	38240	Cpr62Bb	Cuticular protein 62Bb
XP_063821021.1	NP_788610.1	41141	mRpL47	mitochondrial ribosomal protein L47
XP_063821022.1	NP_523946.1	38736	sfl	sulfateless
XP_063821026.1	NP_731472.1	41262	sle	slender lobes
XP_063821028.1	NP_523435.1	33119	mst	misato
XP_063821030.1	NP_651182.2	42809	udt	undicht
XP_063821031.1	NP_608832.1	33647	CG15432	uncharacterized protein
XP_063821032.1	NP_524730.1	44266	Inx3	Innexin 3
XP_063821033.1	NP_648943.2	39902	CG3764	uncharacterized protein
XP_063821035.1	NP_651902.2	43758	RhoGAP100F	Rho GTPase activating protein at 100F
XP_063821036.1	NP_524877.1	47091	comt	comatose
XP_063821037.1	NP_524302.1	41265	jumu	jumeau
XP_063821038.1	NP_731211.1	40962	grn	grain
XP_063821043.1	NP_648239.1	38979	CG6638	uncharacterized protein
XP_063821044.1	NP_612063.2	38097	JMJD5	Jumonji domain containing 5
XP_063821045.1	NP_610253.1	35610	CG17002	uncharacterized protein
XP_063821051.1	NP_573117.2	32596	CG9917	uncharacterized protein
XP_063821052.1	NP_733258.4	43404	spg	sponge
XP_063821054.1	NP_524171.2	40167	Papss	PAPS synthetase
XP_063821059.1	NP_652010.1	45247	VhaPPA1-1	Vacuolar H[+] ATPase PPA1 subunit 1
XP_063821060.1	NP_524734.2	44274	disp	dispatched
XP_063821061.1	NP_729175.3	318008	jv	javelin
XP_063821062.1	NP_726511.2	38011	CG9380	uncharacterized protein
XP_063821066.1	NP_651116.1	42723	Ctns	Cystinosin
XP_063821067.1	NP_652706.3	59223	MCU	Mitochondrial calcium uniporter
XP_063821070.1	NP_648058.1	38750	Ist1	Ist1
XP_063821071.1	NP_649091.1	40086	CG14079	uncharacterized protein
XP_063821073.1	NP_650234.3	41579	CG10126	uncharacterized protein
XP_063821078.1	NP_650441.1	41849	CG4338	uncharacterized protein
XP_063821081.1	NP_001097628.1	2768955	Obp73a	Odorant-binding protein 73a
XP_063821082.1	NP_733058.1	42975	CG31121	uncharacterized protein
XP_063821083.1	NP_524666.2	43978	Plap	Phospholipase A2 activator protein
XP_063821084.1	NP_524293.2	41166	Calr	Calreticulin
XP_063821086.1	NP_732199.2	42060	Ns1	Nucleostemin 1
XP_063821088.1	NP_524474.1	42852	Hsp68	Heat shock protein 68
XP_063821089.1	NP_572648.1	32005	stx	stuxnet
XP_063821090.1	NP_609034.1	33905	Sec61alpha	Sec61 alpha subunit
XP_063821093.1	NP_647750.4	38347	Tet	Ten-Eleven Translocation (TET) family protein
XP_063821097.1	NP_524193.2	40330	ko	knockout
XP_063821098.1	NP_649304.1	40360	Tsr1	Tsr1 ribosome assembly factor
XP_063821099.1	NP_523885.2	38194	GC	gamma-glutamyl carboxylase
XP_063821100.1	NP_609997.1	35261	Nf-YB	Nuclear factor Y-box B
XP_063821102.1	NP_648922.1	39878	CG9674	uncharacterized protein
XP_063821103.1	NP_608354.1	32992	Abcd3	ATP binding cassette subfamily D member 3
XP_063821104.1	NP_610693.1	36248	Tret1-1	Trehalose transporter 1-1
XP_063821105.1	NP_651307.2	42976	CG11069	uncharacterized protein
XP_063821106.1	NP_476627.3	35824	Mal-A1	Maltase A1
XP_063821107.1	NP_523408.2	32935	pcm	pacman
XP_063821108.1	NP_524661.1	43950	Cds	CDP-diacylglycerol synthase
XP_063821109.1	NP_649277.1	40323	Pdss2	Decaprenyl diphosphate synthase subunit 2
XP_063821110.1	NP_648909.1	39860	Baldspot	baldspot
XP_063821111.1	NP_524829.1	45525	eIF4E1	eukaryotic translation initiation factor 4E1
XP_063821112.1	NP_648930.1	39889	Lmpt	Limpet
XP_063821118.1	NP_649312.1	40368	rgn	regeneration
XP_063821124.1	NP_648565.1	39403	Sms	Spermine synthase
XP_063821125.1	NP_573314.1	32851	Nup35	Nucleoporin 35kDa
XP_063821126.1	NP_573315.1	32852	Hou	Houki
XP_063821127.1	NP_647990.1	38655	kri	krishah
XP_063821128.1	NP_609238.1	34185	PIG-U	Phosphatidylinositol glycan anchor biosynthesis class U
XP_063821129.1	NP_649051.3	40036	Chmp1	Charged multivesicular body protein 1
XP_063821130.1	NP_648113.1	38821	akirin	akirin
XP_063821134.1	NP_611033.2	36703	unc-5	unc-5
XP_063821137.1	NP_650000.1	41268	CG6325	uncharacterized protein
XP_063821140.1	NP_722858.1	33489	Ifrd1	Interferon-related developmental regulator 1
XP_063821141.1	NP_650680.1	3772662	CG7215	uncharacterized protein
XP_063821144.1	NP_648946.3	39905	CG6652	uncharacterized protein
XP_063821146.1	NP_523942.2	38657	vn	vein
XP_063821148.1	NP_728642.2	38193	ABCB7	ATP binding cassette subfamily B member 7
XP_063821150.1	NP_001097508.2	5740816	DIP-delta	Dpr-interacting protein delta
XP_063821151.1	NP_651601.1	43354	Gp93	Glycoprotein 93
XP_063821152.1	NP_608458.1	33128	CG14621	uncharacterized protein
XP_063821154.1	NP_524860.2	45969	gwl	greatwall
XP_063821156.1	NP_477305.1	35609	vimar	visceral mesodermal armadillo-repeats
XP_063821157.1	NP_730996.2	40712	Sec8	Secretory 8
XP_063821162.1	NP_650967.2	42531	aus	argus
XP_063821163.1	NP_524401.2	42289	cdi	center divider
XP_063821168.1	NP_608920.1	33760	CG14024	uncharacterized protein
XP_063821175.1	NP_648032.1	38713	Prdm13	PR/SET domain 13
XP_063821176.1	NP_648059.1	38751	Rsph3	Radial spoke head protein 3
XP_063821178.1	NP_648231.1	38969	Pus7	Pseudouridine synthase 7
XP_063821183.1	NP_723797.3	34731	l(2)k05911	lethal (2) k05911
XP_063821185.1	NP_648681.1	39551	upSET	upSET
XP_063821189.1	NP_650303.1	41674	omd	oocyte maintenance defects
XP_063821191.1	NP_651986.2	44672	Lk6	Lk6 kinase
XP_063821193.1	NP_648251.1	38994	Pex7	Peroxin 7
XP_063821194.1	NP_610691.1	36246	Roc2	Regulator of cullins 2
XP_063821196.1	NP_650889.1	42426	MFS9	Major Facilitator Superfamily Transporter 9
XP_063821197.1	NP_610746.1	36319	CG8858	uncharacterized protein
XP_063821198.1	NP_649438.1	40527	aux	auxilin
XP_063821200.1	NP_649087.1	40081	Mkp3	Mitogen-activated protein kinase phosphatase 3
XP_063821201.1	NP_524232.2	40620	cno	canoe
XP_063821206.1	NP_650682.1	42171	cdm	cadmus
XP_063821207.1	NP_649991.2	41256	Nuak	Nuak family kinase
XP_063821208.1	NP_650939.2	42496	RhoGAP93B	Rho GTPase activating protein at 93B
XP_063821210.1	NP_569905.1	31082	CG12773	uncharacterized protein
XP_063821216.1	NP_611180.1	36913	Paip1	Poly(A) binding protein interacting protein 1
XP_063821218.1	NP_573371.1	32919	rictor	rapamycin-insensitive companion of Tor
XP_063821223.1	NP_731457.2	41247	Syn	Synapsin
XP_063821226.1	NP_001036424.1	3355114	Spf45	Spf45
XP_063821235.1	NP_524424.2	42485	Dhc93AB	Dynein heavy chain at 93AB
XP_063821239.1	NP_001104369.2	5740475	CG41378	uncharacterized protein
XP_063821241.1	NP_649121.1	40121	Cpr76Bb	Cuticular protein 76Bb
XP_063821246.1	NP_001014589.1	3346235	scaf6	SR-related CTD associated factor 6
XP_063821248.1	NP_611337.2	37126	CG30116	uncharacterized protein
XP_063821250.1	NP_573123.1	32607	TH1	TH1
XP_063821251.1	NP_611249.2	37012	CG6424	uncharacterized protein
XP_063821255.1	NP_724962.3	36125	stan	starry night
XP_063821257.1	NP_001036266.1	31945	RhoU	RhoU
XP_063821260.1	NP_727694.1	32288	CG15747	uncharacterized protein
XP_063821261.1	NP_649999.2	41266	Rfx	Rfx
XP_063821262.1	NP_647994.1	38660	CG13287	uncharacterized protein
XP_063821270.1	NP_725671.1	36952	cnk	connector enhancer of ksr
XP_063821271.1	NP_523723.1	36421	vg	vestigial
XP_063821276.1	NP_524124.1	39935	tap	target of Poxn
XP_063821277.1	NP_648987.1	39952	qjt	quijote
XP_063821278.1	NP_608791.2	33578	Spindly	spindly
XP_063821280.1	NP_648306.1	39081	Cpr67B	Cuticular protein 67B
XP_063821283.1	NP_651850.1	43691	CG1542	uncharacterized protein
XP_063821286.1	NP_648233.1	38971	CG6765	uncharacterized protein
XP_063821289.1	NP_609362.1	34368	CG5676	uncharacterized protein
XP_063821292.1	NP_651767.2	43575	CG15528	uncharacterized protein
XP_063821308.1	NP_647932.1	38581	LeuRS-m	Leucyl-tRNA synthetase, mitochondrial
XP_063821309.1	NP_995793.1	2768728	Or46a	Odorant receptor 46a
XP_063821312.1	NP_001096928.1	31924	CG15249	uncharacterized protein
XP_063821314.1	NP_573062.1	32513	MagR	Magnetic receptor
XP_063821317.1	NP_650780.1	42290	mRpL55	mitochondrial ribosomal protein L55
XP_063821321.1	NP_523530.1	34329	RpL13	Ribosomal protein L13
XP_063821325.1	NP_647881.1	38520	CG11586	uncharacterized protein
XP_063821327.1	NP_573220.2	32731	ppk23	pickpocket 23
XP_063821329.1	NP_476667.1	37070	pAbp	poly(A) binding protein
XP_063821330.1	NP_729143.2	38701	l(3)mbn	lethal (3) malignant blood neoplasm
XP_063821335.1	NP_573005.1	32446	RpL37-1	Ribosomal protein L37-1
XP_063821336.1	NP_651507.1	43227	IntS12	Integrator 12
XP_063821337.1	NP_523969.1	38909	Nmt	N-myristoyl transferase
XP_063821338.1	NP_524428.1	42494	dmrt93B	doublesex-Mab related 93B
XP_063821340.1	NP_001036703.1	4379852	CG34107	uncharacterized protein
XP_063821342.1	NP_647931.1	38579	CG7509	uncharacterized protein
XP_063821345.1	NP_647983.1	38639	lin-28	lin-28
XP_063821346.1	NP_476904.1	36454	Orc3	Origin recognition complex subunit 3
XP_063821348.1	NP_611474.1	37304	tapas	tapas
XP_063821351.1	NP_610769.1	36345	Cpr49Ab	Cuticular protein 49Ab
XP_063821354.1	NP_523552.1	34590	Tsp33B	Tetraspanin 33B
XP_063821356.1	NP_524051.1	39477	mRpL20	mitochondrial ribosomal protein L20
XP_063821358.1	NP_611046.2	36722	eIF2Bgamma	eukaryotic translation initiation factor 2B subunit gamma
XP_063821363.1	NP_650403.2	41803	CG14860	uncharacterized protein
XP_063821365.1	NP_647892.1	38533	CG15014	uncharacterized protein
XP_063821366.1	NP_570018.1	31254	Lint-O	L(3)mbt interactor in ovarian somatic cells
XP_063821368.1	NP_573114.2	32592	Had1	beta Hydroxy acid dehydrogenase 1
XP_063821378.1	NP_001097548.1	5740319	CG34462	uncharacterized protein
XP_063821379.1	NP_996099.1	2768962	CG6244	uncharacterized protein
XP_063821380.1	NP_648367.1	39161	Ciz1	Ciz1 zinc finger protein
XP_063821385.1	NP_001097627.1	39897	Cpr73D	Cuticular protein 73D
XP_063821386.1	NP_477188.1	35322	phr6-4	(6-4)-photolyase
XP_063821388.1	NP_611669.1	37560	PolE4	DNA polymerase epsilon subunit 4
XP_063821389.1	NP_731308.1	41084	tgo	tango
XP_063821392.1	NP_729797.1	39400	CG32100	uncharacterized protein
XP_063821393.1	NP_647753.1	38350	spz5	spatzle 5
XP_063821402.1	NP_608515.1	33199	Amnionless	amnionless
XP_063821412.1	NP_647991.1	38656	mad2	mad2
XP_063821413.1	NP_995955.1	2768998	CG33230	uncharacterized protein
XP_063821415.1	NP_726308.1	246601	CG30413	uncharacterized protein
XP_063821416.1	NP_610640.2	36172	CG9084	uncharacterized protein
XP_063821418.1	NP_648561.2	39399	app	approximated
XP_063821421.1	NP_723619.1	34490	CG31869	uncharacterized protein
XP_063821422.1	NP_612081.1	38124	CG9119	uncharacterized protein
XP_063821423.1	NP_610827.2	36425	CG17019	uncharacterized protein
XP_063821425.1	NP_001036407.1	3355129	CG17715	uncharacterized protein
XP_063821427.1	NP_788283.1	35749	CG14764	uncharacterized protein
XP_063821428.1	NP_524017.1	39173	Dronc	Death regulator Nedd2-like caspase
XP_063821430.1	NP_523783.1	37123	Prp19	Pre-RNA processing factor 19
XP_063821431.1	NP_573076.1	32532	sordd1	suppression of retinal degeneration disease 1 upon overexpression 1
XP_063821432.1	NP_609999.2	35263	CG10628	uncharacterized protein
XP_063821434.1	NP_572649.1	32000	BTBD9	BTB (POZ) domain containing 9
XP_063821436.1	NP_610223.1	35570	PGAP3	Post-GPI attachment to proteins 3
XP_063821438.1	NP_572254.1	31497	Rtel1	Regulator of telomere elongation helicase 1
XP_063821441.1	NP_649095.2	40091	mRpL21	mitochondrial ribosomal protein L21
XP_063821442.1	NP_610600.1	36123	Elp2	Elongator complex protein 2
XP_063821447.1	NP_001097155.2	34702	Ttc30	Tetratricopeptide repeat domain 30
XP_063821450.1	NP_610479.1	35956	Myd88	Myd88
XP_063821451.1	NP_476725.1	39884	sina	seven in absentia
XP_063821453.1	NP_610969.1	36616	CG12869	uncharacterized protein
XP_063821454.1	NP_569956.1	31148	Coa8	Cytochrome c oxidase assembly factor 8
XP_063821456.1	NP_001015187.2	3354941	l(3)80Fg	lethal (3) 80Fg
XP_063821457.1	NP_612093.1	38144	Rabex-5	Rabaptin-5-associated exchange factor for Rab5
XP_063821459.1	NP_648768.1	39670	CG7272	uncharacterized protein
XP_063821461.1	NP_648318.2	39096	CG3437	uncharacterized protein
XP_063821462.1	NP_572320.2	31581	Marf	Mitochondrial assembly regulatory factor
XP_063821463.1	NP_572562.1	31890	BCL7-like	BCL7-like
XP_063821465.1	NP_511082.2	31760	Trxr1	Thioredoxin reductase 1
XP_063821469.1	NP_572466.1	31761	sni	sniffer
XP_063821470.1	NP_523775.2	36986	MESR4	Misexpression suppressor of ras 4
XP_063821471.1	NP_524918.1	48448	CkIIalpha	casein kinase IIalpha
XP_063821472.1	NP_511096.2	31849	Ost48	Oligosaccharyltransferase 48kD subunit
XP_063821473.1	NP_610734.1	36303	CG8407	uncharacterized protein
XP_063821474.1	NP_001036427.1	3355011	CG17683	uncharacterized protein
XP_063821475.1	NP_523727.2	36447	GLaz	Glial Lazarillo
XP_063821476.1	NP_649371.2	40438	PolH	DNA polymerase eta
XP_063821477.1	NP_608763.2	33544	Fign	Fidgetin
XP_063821480.1	NP_651954.3	43864	RpL10	Ribosomal protein L10
XP_063821481.1	NP_610928.1	36561	pea	peanuts
XP_063821482.1	NP_610451.1	35920	Ctu1	Cytosolic thiouridylase subunit 1
XP_063821483.1	NP_647847.1	38472	Mul1	Mitochondrial E3 ubiquitin protein ligase 1
XP_063821484.1	NP_001036574.1	4379908	CG34140	uncharacterized protein
XP_063821487.1	NP_788400.1	37079	MED9	Mediator complex subunit 9
XP_063821488.1	NP_611302.1	37080	Dgp-1	Dgp-1
XP_063821489.1	NP_648027.3	38698	loj	logjam
XP_063821490.1	NP_648942.1	39900	Exn	Ephexin
XP_063821493.1	NP_609187.1	34111	Acbp1	Acyl-CoA binding protein 1
XP_063821495.1	NP_648082.1	38782	Acbp6	Acyl-CoA binding protein 6
XP_063821496.1	NP_610682.2	36232	Sod3	Superoxide dismutase 3
XP_063821498.1	NP_609975.1	35234	Ctu2	Cytosolic thiouridylase subunit 2
XP_063821500.1	NP_647865.2	38500	Ero1L	Endoplasmic reticulum oxidoreductin-1-like
XP_063821502.1	NP_523631.1	35614	Tsp42Ee	Tetraspanin 42Ee
XP_063821503.1	NP_524722.2	44226	Xbp1	X box binding protein-1
XP_063821504.1	NP_611113.1	36820	CG7747	uncharacterized protein
XP_063821505.1	NP_651330.1	43003	veli	veli
XP_063821506.1	NP_609314.1	34302	CG4036	uncharacterized protein
XP_063821508.1	NP_609361.1	34363	eEF1delta	eukaryotic translation elongation factor 1 delta
XP_063821510.1	NP_524108.1	39836	st	scarlet
XP_063821513.1	NP_650787.1	7354421	Nsun5	Nop2/Sun-like domain containing protein 5
XP_063821514.1	NP_477442.1	42000	CSN5	COP9 signalosome subunit 5
XP_063821515.1	NP_477248.1	37786	TM4SF	Transmembrane 4 superfamily
XP_063821518.1	NP_523515.1	34211	Tsp29Fa	Tetraspanin 29Fa
XP_063821520.1	NP_523612.3	35405	Tsp39D	Tetraspanin 39D
XP_063821521.1	NP_572526.1	31841	Arfrp1	ADP-ribosylation factor related protein 1
XP_063821522.1	NP_477137.1	34487	Ubc2	Ubiquitin conjugating enzyme 2
XP_063821530.1	NP_476842.2	37038	grh	grainy head
XP_063821531.1	NP_523601.2	35215	Pax	Paxillin
XP_063821532.1	NP_572527.2	31842	AP-1gamma	Adaptor Protein complex 1, gamma subunit
XP_063821533.1	NP_650902.1	42446	Pi3K92E	Phosphatidylinositol 3-kinase 92E
XP_063821534.1	NP_476787.1	31271	w	white
XP_063821537.1	NP_609382.1	34394	Cox10	Cytochrome c oxidase assembly factor 10
XP_063821539.1	NP_476610.2	38248	dre4	dre4
XP_063821540.1	NP_611333.1	37119	Ttd14	TRPL translocation defect 14
XP_063821544.1	NP_649531.1	40642	hd	humpty dumpty
XP_063821545.1	NP_523541.2	34495	Nos	Nitric oxide synthase
XP_063821546.1	NP_610203.2	35539	Ars2	Arsenic resistance protein 2
XP_063821549.1	NP_650260.1	41619	CG8138	uncharacterized protein
XP_063821555.1	NP_610049.1	35330	Cen	Centrocortin
XP_063821559.1	NP_649129.1	40131	CG9330	uncharacterized protein
XP_063821562.1	NP_648756.1	39655	Prp31	Pre-mRNA processing factor 31
XP_063821563.1	NP_523651.4	35724	cn	cinnabar
XP_063821564.1	NP_524191.1	40314	fng	fringe
XP_063821566.1	NP_608422.1	33078	Ntf-2	Nuclear transport factor-2
XP_063821569.1	NP_726710.1	31042	TRAM	TRAM
XP_063821570.1	NP_649154.2	40170	Mi-2	Mi-2
XP_063821571.1	NP_729571.1	39164	Taf2	TBP-associated factor 2
XP_063821572.1	NP_649266.1	40310	CG32432	uncharacterized protein
XP_063821574.1	NP_572441.1	31732	CG2260	uncharacterized protein
XP_063821576.1	NP_476665.2	31151	arm	armadillo
XP_063821578.1	NP_523676.1	36060	Pfk	Phosphofructokinase
XP_063821579.1	NP_652044.1	44291	Idh	Isocitrate dehydrogenase
XP_063821582.1	NP_524849.2	45879	ImpE1	Ecdysone-inducible gene E1
XP_063821584.1	NP_648472.1	3772574	Fuca	alpha-L-fucosidase
XP_063821587.1	NP_730245.2	39919	Rbp6	RNA-binding protein 6
XP_063821591.1	NP_524199.1	40358	Pc	Polycomb
XP_063821593.1	NP_648956.1	39917	rogdi	rogdi
XP_063821594.1	NP_649303.2	40359	Rab26	Rab26
XP_063821596.1	NP_573104.1	32574	Tob	Transducer of ERBB2
XP_063821600.1	NP_524551.2	43514	Drice	Death related ICE-like caspase
XP_063821601.1	NP_647618.1	38176	Iml1	Increased minichromosome loss 1
XP_063821602.1	NP_572580.1	31914	CG1354	uncharacterized protein
XP_063821603.1	NP_001137727.2	37439	BBS9	Bardet-Biedl syndrome 9
XP_063821604.1	NP_523403.2	32858	Cyp18a1	Cytochrome P450 18a1
XP_063821605.1	NP_573319.1	32857	phtm	phantom
XP_063821609.1	NP_573026.1	32474	CG6294	uncharacterized protein
XP_063821610.1	NP_788905.1	32475	CG6299	uncharacterized protein
XP_063821612.1	NP_610324.2	35730	Nop17l	Nop17 like
XP_063821613.1	NP_477374.1	37542	ari-2	ariadne 2
XP_063821614.1	NP_996490.1	2768881	CG9132	uncharacterized protein
XP_063821616.1	NP_731269.2	41033	CG8112	uncharacterized protein
XP_063821619.1	NP_648776.1	39684	CG7739	uncharacterized protein
XP_063821620.1	NP_610229.1	35576	Mob4	MOB kinase activator 4
XP_063821621.1	NP_610227.2	35574	Rpp25	Ribonuclease P/MRP subunit p25
XP_063821622.1	NP_001097127.1	5740462	CG34398	uncharacterized protein
XP_063821623.1	NP_511124.1	32100	Polr2A	RNA polymerase II subunit A
XP_063821629.1	NP_610996.1	36655	Ciao1	Ciao1
XP_063821630.1	NP_609790.1	34970	CG4278	uncharacterized protein
XP_063821633.1	NP_001163473.1	8674026	Gyc76C	Guanylyl cyclase at 76C
XP_063821635.1	NP_648653.2	39516	CG10738	uncharacterized protein
XP_063821637.1	NP_523927.2	38545	nAChRbeta1	nicotinic Acetylcholine Receptor beta1
XP_063821640.1	NP_524099.2	39746	PolD1	DNA polymerase delta subunit 1
XP_063821641.1	NP_477009.1	37047	Elk	Eag-like K[+] channel
XP_063821650.1	NP_611091.2	36788	lbk	lambik
XP_063821651.1	NP_477499.1	32855	fu	fused
XP_063821652.1	NP_524809.2	45280	cv-2	crossveinless 2
XP_063821653.1	NP_542943.2	45683	milt	milton
XP_063821659.1	NP_611904.1	37884	CG3376	uncharacterized protein
XP_063821668.1	NP_724489.1	246620	Tdc2	Tyrosine decarboxylase 2
XP_063821672.1	NP_572579.3	31913	Sp1	Sp1
XP_063821676.1	NP_573111.1	32588	ERp44	Endoplasmic reticulum protein 44
XP_063821677.1	NP_523972.2	38942	Prim1	DNA primase subunit 1
XP_063821681.1	NP_525041.1	31150	mRpL16	mitochondrial ribosomal protein L16
XP_063821682.1	NP_610592.1	36111	Pef	Peflin
XP_063821684.1	NP_524122.2	39916	TpnC73F	Troponin C at 73F
XP_063821691.1	NP_572300.2	31555	dtn	detonator
XP_063821692.1	NP_728896.1	38438	CG32264	uncharacterized protein
XP_063821693.1	NP_610105.2	35402	Mondo	mondo
XP_063821696.1	NP_523941.2	38654	S6k	Ribosomal protein S6 kinase
XP_063821698.1	NP_001334732.1	34350	Sur	Sulfonylurea receptor
XP_063821699.1	NP_524793.2	44885	mys	myospheroid
XP_063821701.1	NP_572467.1	31763	CG1632	uncharacterized protein
XP_063821702.1	NP_477213.1	33253	Pkg21D	Protein kinase, cGMP-dependent at 21D
XP_063821704.1	NP_476590.1	36810	Khc	Kinesin heavy chain
XP_063821705.1	NP_609607.1	34710	CG5439	uncharacterized protein
XP_063821706.1	NP_001036422.1	3355116	Cht10	Chitinase 10
XP_063821708.1	NP_649251.2	40292	Pitslre	pitslre
XP_063821709.1	NP_649302.1	40357	CG7632	uncharacterized protein
XP_063821710.1	NP_608464.1	33134	CG14618	uncharacterized protein
XP_063821712.1	NP_609257.3	3771738	Argl	Argininosuccinate lyase
XP_063821713.1	NP_573287.1	32816	CG6106	uncharacterized protein
XP_063821715.1	NP_573190.1	32693	CG8945	uncharacterized protein
XP_063821717.1	NP_523377.1	32640	r	rudimentary
XP_063821719.1	NP_573143.1	32641	CG15865	uncharacterized protein
XP_063821720.1	NP_995707.2	34826	nAChRalpha5	nicotinic Acetylcholine Receptor alpha5
XP_063821722.1	NP_573146.1	32644	sing	singles bar
XP_063821723.1	NP_572726.1	32098	CG1572	uncharacterized protein
XP_063821724.1	NP_572653.1	32006	CG15211	uncharacterized protein
XP_063821725.1	NP_524709.1	44150	RpS15Aa	Ribosomal protein S15Aa
XP_063821726.1	NP_477289.5	31017	sdk	sidekick
XP_063821728.1	NP_728505.1	44811	E(bx)	Enhancer of bithorax
XP_063821729.1	NP_648782.2	39690	AIMP2	aaRS-interacting multifunctional protein 2
XP_063821732.1	NP_996504.1	32817	CrebB	Cyclic-AMP response element binding protein B
XP_063821740.1	NP_609616.1	34719	CG9426	uncharacterized protein
XP_063821741.1	NP_649160.1	40177	Grasp65	Grasp65
XP_063821742.1	NP_647678.3	38255	CG5687	uncharacterized protein
XP_063821743.1	NP_609157.3	34075	TwdlE	TweedleE
XP_063821745.1	NP_609965.1	35220	RtcB	RtcB RNA ligase
XP_063821746.1	NP_610537.2	36033	Pal1	Peptidyl-alpha-hydroxyglycine-alpha-amidating lyase 1
XP_063821748.1	NP_650773.1	42281	CG14285	uncharacterized protein
XP_063821749.1	NP_650774.1	42282	NP15.6	NP15.6
XP_063821750.1	NP_651717.1	43502	CG7601	uncharacterized protein
XP_063821751.1	NP_001027109.2	3772100	Pmi	Pmi
XP_063821752.1	NP_649826.3	41043	CG8202	uncharacterized protein
XP_063821754.1	NP_569918.1	31100	CG14778	uncharacterized protein
XP_063821755.1	NP_730508.1	40229	Pex23	Peroxin 23
XP_063821756.1	NP_001245875.1	318824	dpy	dumpy
XP_063821757.1	NP_608534.2	33235	Sf3b1	Splicing factor 3b subunit 1
XP_063821758.1	NP_610991.1	36648	hui	hase und igel
XP_063821759.1	NP_477012.1	33659	ine	inebriated
XP_063821763.1	NP_611256.1	37019	Hyccin	hyccin
