NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method
135071113	pnut	septin 7-like protein pnut	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	35801	NCBI Ortholog
135071114	Cpr49Ah	cuticular protein 49Ah	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	36354	NCBI Ortholog
135071115	gdl	gonadal protein gdl	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	3772583	NCBI Ortholog
135071116	LOC135071116	protein FAM107B	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2	35344	NCBI Ortholog
135071117	LOC135071117	larval cuticle protein LCP-22-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071118	LOC135071118	larval cuticle protein LCP-22-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071119	LOC135071119	larval cuticle protein 65Ag1-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071120	LOC135071120	endocuticle structural glycoprotein ABD-4-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071121	LOC135071121	endocuticle structural protein SgAbd-6-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071122	LOC135071122	endocuticle structural glycoprotein ABD-5-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071123	LOC135071123	uncharacterized LOC135071123	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071124	LOC135071124	endocuticle structural protein SgAbd-6-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071125	LOC135071125	uncharacterized LOC135071125	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071126	LOC135071126	uncharacterized LOC135071126	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071127	LOC135071127	uncharacterized LOC135071127	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071128	LOC135071128	uncharacterized LOC135071128	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071129	LOC135071129	uncharacterized LOC135071129	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071130	LOC135071130	uncharacterized LOC135071130	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071131	LOC135071131	osteopetrosis-associated transmembrane protein 1	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38415	NCBI Ortholog
135071132	Eaf6	chromatin modification-related protein EAF6/MEAF6	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38637	NCBI Ortholog
135071133	LOC135071133	uncharacterized LOC135071133	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071134	LOC135071134	peroxisome biogenesis factor 2	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38941	NCBI Ortholog
135071135	LOC135071135	uncharacterized LOC135071135	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071136	LOC135071136	band 7 protein AGAP004871-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	6		
135071137	LOC135071137	regulator of microtubule dynamics protein 1-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071138	LOC135071138	uncharacterized LOC135071138	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071139	LOC135071139	uncharacterized histidine-rich protein DDB_G0274557-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071140	LOC135071140	uncharacterized LOC135071140	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071141	LOC135071141	uncharacterized LOC135071141	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071142	LOC135071142	protein unc-1-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071143	LOC135071143	histidine-rich protein PFHRP-II-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071144	LOC135071144	cuticle protein 18.6-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071145	LOC135071145	cuticle protein 8-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071146	LOC135071146	cuticle protein 8-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071147	LOC135071147	phospholipid scramblase 2-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071148	LOC135071148	uncharacterized LOC135071148	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38238	NCBI Ortholog
135071149	LOC135071149	pupal cuticle protein Edg-84A-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071150	LOC135071150	cuticle protein 18.6-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071151	LOC135071151	putative serine protease K12H4.7	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071152	LOC135071152	cuticle protein 7-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071153	LOC135071153	cuticle protein 8-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071154	LOC135071154	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071155	LOC135071155	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071156	LOC135071156	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071157	LOC135071157	cuticle protein 19-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071158	LOC135071158	cuticle protein 21-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071159	Rap2l	Ras-associated protein 2-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	37850	NCBI Ortholog
135071160	LOC135071160	cuticle protein 7-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071161	LOC135071161	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071162	LOC135071162	cuticle protein 21-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071163	LOC135071163	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071164	LOC135071164	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071165	LOC135071165	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071166	LOC135071166	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071167	LOC135071167	cuticle protein 7-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071168	LOC135071168	uncharacterized histidine-rich protein DDB_G0274557-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071169	LOC135071169	cuticle protein 19-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071170	LOC135071170	uncharacterized LOC135071170	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071171	LOC135071171	adult-specific cuticular protein ACP-20-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071172	LOC135071172	cuticle protein 8-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071173	LOC135071173	cuticle protein 19-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071174	LOC135071174	cuticle protein 7-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071175	LOC135071175	cuticle protein 8-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071176	LOC135071176	cuticle protein-like	Ostrinia nubilalis	European corn borer	PSEUDO			
135071177	LOC135071177	gamma-interferon-inducible lysosomal thiol reductase-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071178	LOC135071178	cuticle protein 7-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071179	LOC135071179	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071180	LOC135071180	histidine-rich glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071181	Cpr62Bb	Cuticular protein 62Bb	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38240	NCBI Ortholog
135071182	LOC135071182	uncharacterized LOC135071182	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071183	LOC135071183	uncharacterized LOC135071183	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071184	LOC135071184	uncharacterized LOC135071184	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071185	mRpL47	mitochondrial ribosomal protein L47	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	41141	NCBI Ortholog
135071186	sfl	N-deacetylase and N-sulfotransferase sfl	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	3	38736	NCBI Ortholog
135071187	LOC135071187	GILT-like protein 2	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071188	LOC135071188	microtubule-associated protein futsch-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071189	mst	misato mitochondrial distribution and morphology regulator	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	33119	NCBI Ortholog
135071190	LOC135071190	uncharacterized LOC135071190	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	42809	NCBI Ortholog
135071191	LOC135071191	protein FAM32A	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	33647	NCBI Ortholog
135071192	LOC135071192	innexin inx3	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	44266	NCBI Ortholog
135071193	LOC135071193	folliculin-interacting protein 2	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2	39902	NCBI Ortholog
135071194	RhoGAP100F	Rho GTPase activating protein at 100F	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	43758	NCBI Ortholog
135071195	LOC135071195	vesicle-fusing ATPase 1-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071196	LOC135071196	GILT-like protein 2	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071197	LOC135071197	uncharacterized LOC135071197	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	41265	NCBI Ortholog
135071198	LOC135071198	GATA-binding factor C-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	4		
135071199	LOC135071199	isovaleryl-CoA dehydrogenase, mitochondrial	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38979	NCBI Ortholog
135071200	JMJD5	Jumonji domain containing 5	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38097	NCBI Ortholog
135071201	LOC135071201	putative uncharacterized protein DDB_G0291608	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	3	35610	NCBI Ortholog
135071202	LOC135071202	uncharacterized LOC135071202	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071203	LOC135071203	uncharacterized LOC135071203	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071204	LOC135071204	gamma-interferon-inducible lysosomal thiol reductase-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071205	LOC135071205	27 kDa glycoprotein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071206	LOC135071206	27 kDa hemolymph protein-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071207	spg	dedicator of cytokinesis spg	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	43404	NCBI Ortholog
135071208	LOC135071208	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	40167	NCBI Ortholog
135071209	LOC135071209	uncharacterized LOC135071209	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071210	LOC135071210	uncharacterized LOC135071210	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071211	LOC135071211	uncharacterized LOC135071211	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	3		
135071212	LOC135071212	uncharacterized LOC135071212	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071213	LOC135071213	uncharacterized LOC135071213	Ostrinia nubilalis	European corn borer	ncRNA	3		
135071214	LOC135071214	uncharacterized LOC135071214	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	5		
135071215	VhaPPA1-1	Vacuolar H[+] ATPase PPA1 subunit 1	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	45247	NCBI Ortholog
135071216	disp	RND transporter family member dispatched	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	44274	NCBI Ortholog
135071217	LOC135071217	protein javelin	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	318008	NCBI Ortholog
135071218	LOC135071218	facilitated trehalose transporter Tret1-2 homolog	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071219	LOC135071219	facilitated trehalose transporter Tret1-2 homolog	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071220	Ctns	lysosomal cystine transporter cystinosin	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	42723	NCBI Ortholog
135071221	LOC135071221	aminoacylase-1-like	Ostrinia nubilalis	European corn borer	PSEUDO			
135071222	MCU	mitochondrial calcium uniporter	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2	59223	NCBI Ortholog
135071223	LOC135071223	IST1 homolog	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38750	NCBI Ortholog
135071224	LOC135071224	spermatogenesis-associated protein 6	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2	40086	NCBI Ortholog
135071225	LOC135071225	calcyphosin-like protein	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	5		
135071226	LOC135071226	18S rRNA aminocarboxypropyltransferase	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2	41849	NCBI Ortholog
135071227	LOC135071227	calcyphosin-like protein	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071228	Obp73a	Odorant-binding protein 73a	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	2768955	NCBI Ortholog
135071229	LOC135071229	ATP-binding cassette sub-family G member 8	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	42975	NCBI Ortholog
135071230	Plap	phospholipase A2 activator protein	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	43978	NCBI Ortholog
135071231	LOC135071231	uncharacterized LOC135071231	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071232	LOC135071232	calreticulin	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	41166	NCBI Ortholog
135071233	LOC135071233	guanine nucleotide-binding protein-like 3 homolog	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	42060	NCBI Ortholog
135071234	LOC135071234	uncharacterized LOC135071234	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071235	LOC135071235	uncharacterized LOC135071235	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071236	LOC135071236	heat shock protein 68-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071237	stx	ubiquitin-like domain-containing protein stuxnet	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	32005	NCBI Ortholog
135071238	Sec61alpha	SEC61 translocon subunit alpha	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	33905	NCBI Ortholog
135071239	LOC135071239	dnaJ homolog dnj-5	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	40566	NCBI Ortholog
135071240	Tet	Ten-Eleven Translocation (TET) family protein	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	4	38347	NCBI Ortholog
135071241	knockout	Stork-head domain-containing protein knockout	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	40330	NCBI Ortholog
135071242	Tsr1	Tsr1 ribosome assembly factor	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	40360	NCBI Ortholog
135071243	LOC135071243	vitamin K-dependent gamma-carboxylase	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38194	NCBI Ortholog
135071244	Nf-YB	nuclear factor Y-box B	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	35261	NCBI Ortholog
135071245	LOC135071245	putative serine protease K12H4.7	Ostrinia nubilalis	European corn borer	PSEUDO			
135071246	LOC135071246	facilitated trehalose transporter Tret1-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071247	LOC135071247	DNA polymerase epsilon subunit 4-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071248	LOC135071248	uncharacterized LOC135071248	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	39878	NCBI Ortholog
135071249	Pmp70	ATP binding cassette subfamily D member Pmp70	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	32992	NCBI Ortholog
135071250	LOC135071250	ATP-binding cassette sub-family G member 5	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	42976	NCBI Ortholog
135071251	LOC135071251	maltase A1-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071252	pcm	5'-3' exoribonuclease pacman	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	32935	NCBI Ortholog
135071253	LOC135071253	phosphatidate cytidylyltransferase, photoreceptor-specific	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	43950	NCBI Ortholog
135071254	Pdss2	Decaprenyl diphosphate synthase subunit 2	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	40323	NCBI Ortholog
135071255	LOC135071255	uncharacterized LOC135071255	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071256	Baldspot	elongation of very long chain fatty acids protein baldspot	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	39860	NCBI Ortholog
135071257	LOC135071257	eukaryotic translation initiation factor 4E-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071258	LOC135071258	uncharacterized LOC135071258	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071259	Lmpt	four and a half LIM domains protein limpet	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	5	39889	NCBI Ortholog
135071260	LOC135071260	uncharacterized LOC135071260	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	2		
135071261	LOC135071261	uncharacterized LOC135071261	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	4		
135071262	LOC135071262	spermine synthase	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	39403	NCBI Ortholog
135071263	PIG-U	phosphatidylinositol glycan anchor biosynthesis class U	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	34185	NCBI Ortholog
135071264	LOC135071264	nucleoporin Nup35	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	32851	NCBI Ortholog
135071265	Hou	GID complex subunit 8 homolog protein Houki	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	32852	NCBI Ortholog
135071266	kri	uracil phosphoribosyltransferase krishah	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	38655	NCBI Ortholog
135071267	Chmp1	charged multivesicular body protein 1	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1	40036	NCBI Ortholog
135071268	LOC135071268	akirin-like	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071269	LOC135071269	uncharacterized LOC135071269	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071270	LOC135071270	uncharacterized LOC135071270	Ostrinia nubilalis	European corn borer	ncRNA	1		
135071271	LOC135071271	uncharacterized LOC135071271	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
135071272	LOC135071272	uncharacterized LOC135071272	Ostrinia nubilalis	European corn borer	PROTEIN_CODING	1		
