Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_085107.1	499867	548099	1	plus	tan protein	tan	100384889	protein-coding	NM_001177411.1	NP_001170882.1	395	
NC_085107.1	549813	552778	1	minus	selenoprotein K	LOC101742318	101742318	protein-coding	XM_004932726.3	XP_004932783.1	89	
NC_085107.1	554096	555744	1	plus	haloacid dehalogenase	LOC732936	732936	protein-coding	NM_001046935.1	NP_001040400.1	243	
NC_085107.1	565942	577108	1	plus	ephrin type-B receptor 1-B	LOC101742469	101742469	protein-coding	XM_038011403.2	XP_037867331.1	1006	
NC_085107.1	595843	608165	1	minus	UDP-sugar transporter UST74c-like	LOC119628632	119628632	protein-coding	XM_062671377.1	XP_062527361.1	330	
NC_085107.1	609083	635727	1	plus	protein tramtrack, beta isoform	LOC101740159	101740159	protein-coding	XM_012696017.4	XP_012551471.1	408	
NC_085107.1	637404	638939	1	minus	cytochrome b-c1 complex subunit 1, mitochondrial	LOC101742610	101742610	protein-coding	XM_021352278.3	XP_021207953.1	466	
NC_085107.1	643074	645053	1	plus	cytochrome b-c1 complex subunit 1, mitochondrial	LOC101742756	101742756	protein-coding	XM_038014315.2	XP_037870243.1	464	
NC_085107.1	654416	850773	1	minus	dipeptidase 1	LOC101740430	101740430	protein-coding	XM_021352297.2	XP_021207972.2	406	
NC_085107.1	704408	715220	1	plus	uncharacterized LOC101743052	LOC101743052	101743052	protein-coding	XM_004932731.1	XP_004932788.1	376	
NC_085107.1	716285	720738	1	plus	uncharacterized LOC101742910	LOC101742910	101742910	protein-coding	XM_004932730.5	XP_004932787.1	369	
NC_085107.1	875338	1024715	1	minus	Krueppel-like factor luna	LOC101740565	101740565	protein-coding	XM_004932798.5	XP_004932855.1	272	
NC_085107.1	1056034	1071182	1	plus	probable cytochrome P450 303a1	LOC101743283	101743283	protein-coding	XM_004932732.5	XP_004932789.1	498	
NC_085107.1	1074284	1076636	1	minus	uncharacterized LOC119629035	LOC119629035	119629035	protein-coding	XM_038013481.2	XP_037869409.1	610	
NC_085107.1	1077714	1114716	1	minus	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	LOC101740839	101740839	protein-coding	XM_062671088.1	XP_062527072.1	552	
NC_085107.1	1119140	1152735	1	minus	uncharacterized LOC134199679	LOC134199679	134199679	protein-coding	XM_062671098.1	XP_062527082.1	171	
NC_085107.1	1205700	1210011	1	minus	antigen LPMC-61	LOC101743424	101743424	protein-coding	XM_004932733.4	XP_004932790.2	319	
NC_085107.1	1255487	1257667	1	minus	serine/arginine repetitive matrix protein 1-like	LOC119628895	119628895	protein-coding	XM_062671108.1	XP_062527092.1	567	
NC_085107.1	1258032	1265579	1	plus	uncharacterized LOC134199822	LOC134199822	134199822	protein-coding	XM_062671394.1	XP_062527378.1	585	
NC_085107.1	1285420	1288261	1	plus	MIF-like protein mif-2	LOC101743564	101743564	protein-coding	XM_004932734.4	XP_004932791.1	120	
NC_085107.1	1288251	1306810	1	minus	probable 3',5'-cyclic phosphodiesterase pde-5	LOC101741126	101741126	protein-coding	XM_004932802.4	XP_004932859.3	951	
NC_085107.1	1308934	1318728	1	plus	mitochondrial thiamine pyrophosphate carrier	LOC101743705	101743705	protein-coding	XM_004932735.4	XP_004932792.1	317	
NC_085107.1	1320716	1344217	1	minus	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4	LOC101743858	101743858	protein-coding	XM_021352320.3	XP_021207995.2	381	
NC_085107.1	1346319	1350790	1	plus	uncharacterized LOC101744149	LOC101744149	101744149	protein-coding	XM_004932738.5	XP_004932795.1	181	
NC_085107.1	1353458	1394859	1	minus	gamma-soluble NSF attachment protein	LOC101744289	101744289	protein-coding	XM_004932739.5	XP_004932796.1	337	
NC_085107.1	1432201	1456444	1	plus	zinc finger protein 135	LOC101741268	101741268	protein-coding	XM_012696084.4	XP_012551538.1	232	
NC_085107.1	1462163	1487437	1	plus	transcriptional repressor CTCF	LOC101744433	101744433	protein-coding	XM_004932740.5	XP_004932797.1	649	
NC_085107.1	1499633	1531522	1	plus	solute carrier family 35 member C2	LOC101744817	101744817	protein-coding	XM_012696076.4	XP_012551530.1	400	
NC_085107.1	1533206	1534382	1	minus	uncharacterized 100270783	L130	100270783	protein-coding	NM_001145331.1	NP_001138803.1	322	
NC_085107.1	1667222	1761119	1	minus	uncharacterized LOC105842498	LOC105842498	105842498	protein-coding	XM_038018695.2	XP_037874623.1	8354	
NC_085107.1	1777420	1788743	1	minus	mitogen-activated protein kinase kinase kinase 12	LOC101741691	101741691	protein-coding	XM_038013651.2	XP_037869579.1	525	
NC_085107.1	1798888	1847178	1	minus	ADP-ribosylation factor GTPase-activating protein 1	LOC101741838	101741838	protein-coding	XM_038011125.2	XP_037867053.1	346	
NC_085107.1	1848255	1911494	1	plus	protein tyrosine phosphatase	Bmptp-Z	100579140	protein-coding	NM_001246003.1	NP_001232932.1	449	
NC_085107.1	1912398	1915764	1	minus	peroxisomal membrane protein PEX16	LOC105842517	105842517	protein-coding	XM_012696074.4	XP_012551528.3	329	
NC_085107.1	1919869	1959147	1	plus	uncharacterized LOC105841232	LOC105841232	105841232	protein-coding	XM_012696003.4	XP_012551457.3	3028	
NC_085107.1	1960734	1992198	1	minus	protein jim lovell	LOC101745111	101745111	protein-coding	XM_012696058.4	XP_012551512.1	445	
NC_085107.1	1997710	2011711	1	plus	quinone oxidoreductase	LOC101745262	101745262	protein-coding	XM_062675689.1	XP_062531673.1	380	
NC_085107.1	2012872	2068904	1	minus	plexin domain-containing protein 2	LOC101745405	101745405	protein-coding	XM_012696055.4	XP_012551509.3	533	
NC_085107.1	2071388	2083002	1	plus	biogenesis of lysosome-related organelles complex 1 subunit 2	BLOS2	100328579	protein-coding	NM_001170997.1	NP_001164468.1	145	
NC_085107.1	2089256	2283971	1	minus	glucose transporter type 1	LOC101742128	101742128	protein-coding	XM_062676493.1	XP_062532477.1	711	
NC_085107.1	2295589	2297204	1	plus	tubulin alpha-1 chain	LOC101745545	101745545	protein-coding	XM_021352353.1	XP_021208028.1	450	
NC_085107.1	2297901	2301075	1	minus	uncharacterized LOC101745693	LOC101745693	101745693	protein-coding	XM_004932748.5	XP_004932805.1	130	
NC_085107.1	2302211	2313322	1	plus	uncharacterized LOC101742420	LOC101742420	101742420	protein-coding	XM_012695978.4	XP_012551432.3	2181	
NC_085107.1	2313667	2333213	1	plus	protein RCC2 homolog	LOC101745928	101745928	protein-coding	XM_012696066.4	XP_012551520.1	480	
NC_085107.1	2335618	2419111	1	plus	F-actin-monooxygenase Mical	LOC101742566	101742566	protein-coding	XM_021352371.3	XP_021208046.2	1879	
NC_085107.1	2422925	2497674	1	minus	CUB and sushi domain-containing protein 3	LOC101746314	101746314	protein-coding	XM_004932752.5	XP_004932809.1	827	
NC_085107.1	2477362	2480211	1	plus	uncharacterized LOC105842515	LOC105842515	105842515	protein-coding	XM_012696070.4	XP_012551524.1	151	
NC_085107.1	2503939	2528607	1	plus	SET and MYND domain-containing protein 4	LOC101746452	101746452	protein-coding	XM_038021696.2	XP_037877624.1	786	
NC_085107.1	2530583	2552112	1	minus	pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial	LOC101746594	101746594	protein-coding	XM_004932754.5	XP_004932811.2	901	
NC_085107.1	2552388	2561358	1	plus	enkurin	LOC101746820	101746820	protein-coding	XM_004932756.5	XP_004932813.2	253	
NC_085107.1	2565122	2586077	1	minus	deformed epidermal autoregulatory factor 1	LOC101742707	101742707	protein-coding	XM_004932812.5	XP_004932869.2	459	
NC_085107.1	2586869	2612046	1	plus	uncharacterized LOC105841890	LOC105841890	105841890	protein-coding	XM_038014241.2	XP_037870169.1	516	
NC_085107.1	2612124	2679442	1	minus	laminin subunit alpha	LOC101742998	101742998	protein-coding	XM_038014239.2	XP_037870167.2	3691	
NC_085107.1	2681033	2701475	1	minus	transmembrane channel-like protein	LOC101739801	101739801	protein-coding	XM_062676104.1	XP_062532088.1	1465	
NC_085107.1	2710156	2751025	1	plus	laminin subunit gamma-1	LOC101746961	101746961	protein-coding	XM_004932757.5	XP_004932814.1	1635	
NC_085107.1	2785530	2876539	1	minus	abnormal chemosensory jump 6	LOC100750224	100750224	protein-coding	XM_004932758.5	XP_004932815.3	362	
NC_085107.1	2923189	2928224	1	plus	uncharacterized protein CG1161	LOC101735670	101735670	protein-coding	XM_004932763.5	XP_004932820.1	193	
NC_085107.1	2929910	2945916	1	minus	uncharacterized protein CG1161	LOC101735897	101735897	protein-coding	XM_004932765.5	XP_004932822.1	150	
NC_085107.1	2949128	3032915	1	plus	roquin-1	LOC101736024	101736024	protein-coding	XM_038013532.2	XP_037869460.1	857	
NC_085107.1	3047972	3067392	1	plus	synaptogenesis protein syg-2	LOC101743284	101743284	protein-coding	XM_038013632.2	XP_037869560.2	650	
NC_085107.1	3068148	3150888	1	plus	calpain-C	LOC101743425	101743425	protein-coding	XM_038012012.2	XP_037867940.1	648	
NC_085107.1	3150872	3183962	1	minus	succinate dehydrogenase assembly factor 3, mitochondrial	LOC101736161	101736161	protein-coding	XM_004932767.5	XP_004932824.1	135	
NC_085107.1	3206615	3229364	1	minus	serine/threonine-protein kinase PRP4 homolog	LOC101736377	101736377	protein-coding	XM_004932769.4	XP_004932826.1	954	
NC_085107.1	3240583	3271020	1	minus	importin-7	LOC101736825	101736825	protein-coding	XM_004932773.4	XP_004932830.1	1046	
NC_085107.1	3272567	3272953	1	minus	histone-lysine N-methyltransferase SETMAR-like	LOC134199682	134199682	protein-coding	XM_062671122.1	XP_062527106.1	128	
NC_085107.1	3273671	3323620	1	plus	inositol polyphosphate-4-phosphatase type I A	LOC101743706	101743706	protein-coding	XM_038011970.2	XP_037867898.1	1156	
NC_085107.1	3324949	3334907	1	plus	probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	LOC101737036	101737036	protein-coding	XM_004932775.5	XP_004932832.1	154	
NC_085107.1	3335048	3469869	1	plus	apterous A	Bmap-A	100579139	protein-coding	NM_001246002.1	NP_001232931.1	80	
NC_085107.1	3574258	3625932	1	plus	apterous	ap	692399	protein-coding	NM_001282221.1	NP_001269150.1	349	
NC_085107.1	3627255	3650298	1	plus	otoferlin	LOC101743859	101743859	protein-coding	XM_021352372.3	XP_021208047.2	1680	
NC_085107.1	3672519	3735356	1	plus	transient receptor potential cation channel subfamily A member 1	LOC101744290	101744290	protein-coding	NM_001309596.1	NP_001296525.1	1156	
NC_085107.1	3747584	3761253	1	plus	uncharacterized LOC101744434	LOC101744434	101744434	protein-coding	XM_012695986.3	XP_012551440.3	393	
NC_085107.1	3766420	3809696	1	plus	band 7 protein AGAP004871	LOC101744584	101744584	protein-coding	XM_038013806.2	XP_037869734.2	276	
NC_085107.1	3812683	3819284	1	minus	uncharacterized LOC101737320	LOC101737320	101737320	protein-coding	XM_004932777.4	XP_004932834.1	815	
NC_085107.1	3822973	3827876	1	plus	LETM1 domain-containing protein 1	LOC101737462	101737462	protein-coding	XM_004932778.5	XP_004932835.2	358	
NC_085107.1	3832097	3840400	1	minus	solute carrier family 66 member 3	LOC101744726	101744726	protein-coding	XM_012696067.4	XP_012551521.2	237	
NC_085107.1	3851135	3867858	1	plus	melatonin receptor-like	Mtnr	100174942	protein-coding	NM_001134256.1	NP_001127728.1	369	
NC_085107.1	3873671	3990911	1	plus	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	LOC101737840	101737840	protein-coding	XM_004932780.5	XP_004932837.1	1111	
NC_085107.1	3884507	3891895	1	plus	uncharacterized LOC134201873	LOC134201873	134201873	protein-coding	XM_062677145.1	XP_062533129.1	1251	
NC_085107.1	3998467	4087097	1	minus	protein phosphatase 1 regulatory subunit 12A	LOC101737973	101737973	protein-coding	XM_004932781.5	XP_004932838.2	796	
NC_085107.1	4089574	4237528	1	plus	disco-interacting protein 2	LOC101744871	101744871	protein-coding	XM_038013678.2	XP_037869606.1	1602	
NC_085107.1	4296503	4301773	1	plus	uncharacterized LOC119628907	LOC119628907	119628907	protein-coding	XM_038012988.1	XP_037868916.1	1348	
NC_085107.1	4319648	4406095	1	plus	arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2	LOC101745159	101745159	protein-coding	XM_004932829.5	XP_004932886.2	1104	
NC_085107.1	4429851	4547499	1	plus	dynein axonemal heavy chain 5	LOC101745445	101745445	protein-coding	XM_038012234.2	XP_037868162.1	1076	
NC_085107.1	4446296	4449547	1	minus	uncharacterized LOC101738102	LOC101738102	101738102	protein-coding	XM_004932782.5	XP_004932839.1	110	
NC_085107.1	4550530	4552879	1	plus	dynein axonemal heavy chain 5	LOC119628779	119628779	protein-coding	XM_062671128.1	XP_062527112.1	166	
NC_085107.1	4675095	4701527	1	plus	dynein axonemal heavy chain 5	LOC101738460	101738460	protein-coding	XM_004932784.4	XP_004932841.1	3112	
NC_085107.1	4701877	4705752	1	minus	ADP,ATP carrier protein-like	LOC101738591	101738591	protein-coding	NM_001309570.1	NP_001296499.1	309	
NC_085107.1	4708343	4717976	1	minus	ATP-binding cassette sub-family F member 2	LOC732866	732866	protein-coding	NM_001046869.1	NP_001040334.1	622	
NC_085107.1	4722977	4780794	1	minus	calcium-binding mitochondrial carrier protein SCaMC-2	LOC101738820	101738820	protein-coding	XM_004932788.5	XP_004932845.1	389	
NC_085107.1	4784573	4789969	1	minus	nuclear receptor subfamily 2 group E member 1	LOC101739052	101739052	protein-coding	XM_021352357.3	XP_021208032.1	384	
NC_085107.1	4802063	4823126	1	minus	ras-related and estrogen-regulated growth inhibitor	LOC101739198	101739198	protein-coding	XM_004932790.5	XP_004932847.1	209	
NC_085107.1	4827052	4846153	1	minus	protein GPR107	LOC101745741	101745741	protein-coding	XM_004932833.5	XP_004932890.1	514	
NC_085107.1	4848037	4856358	1	plus	phosphatidylserine lipase ABHD16A	LOC101739335	101739335	protein-coding	XM_021352358.3	XP_021208033.1	523	
NC_085107.1	4857853	4866464	1	plus	atypical kinase COQ8B, mitochondrial	LOC101745886	101745886	protein-coding	XM_038021735.2	XP_037877663.2	640	
NC_085107.1	4866605	4964379	1	minus	nervous wreck	nwk	100616528	protein-coding	NM_001246207.1	NP_001233136.1	878	
NC_085107.1	4984681	5023401	1	minus	PHD finger protein rhinoceros	LOC101746022	101746022	protein-coding	XM_038021789.2	XP_037877717.1	2637	
NC_085107.1	5028714	5058625	1	minus	rho GTPase-activating protein 8	LOC101746164	101746164	protein-coding	XM_038010898.2	XP_037866826.1	493	
NC_085107.1	5060079	5066299	1	plus	peptidylprolyl isomerase	LOC733108	733108	protein-coding	NM_001047055.2	NP_001040520.1	171	
NC_085107.1	5070521	5091561	1	plus	nuclear pore complex protein Nup153	LOC101746595	101746595	protein-coding	XM_012696049.4	XP_012551503.2	1505	
NC_085107.1	5097491	5235526	1	plus	zinc finger protein SNAI2	LOC101738352	101738352	protein-coding	XM_038010915.2	XP_037866843.1	362	
NC_085107.1	5238968	5287587	1	plus	transcriptional repressor scratch 2	LOC101738623	101738623	protein-coding	XM_012693451.4	XP_012548905.2	422	
NC_085107.1	5300744	5342378	1	minus	JNK-interacting protein 3	LOC101738756	101738756	protein-coding	XM_012693578.4	XP_012549032.3	1219	
NC_085107.1	5343850	5348134	1	plus	dnaJ homolog subfamily C member 22-like	DnaJ-18	101741444	protein-coding	NM_001279462.1	NP_001266391.1	358	
NC_085107.1	5353947	5486022	1	minus	epidermal growth factor receptor	LOC101741679	101741679	protein-coding	XM_004929742.5	XP_004929799.3	1449	
NC_085107.1	5388563	5392035	1	plus	uncharacterized LOC119629158	LOC119629158	119629158	protein-coding	XM_038014149.2	XP_037870077.1	410	
NC_085107.1	5513266	5532120	1	plus	paramyosin	LOC100174848	100174848	protein-coding	NM_001130902.1	NP_001124374.1	878	
NC_085107.1	5538299	5636507	1	plus	uncharacterized LOC101739187	LOC101739187	101739187	protein-coding	XM_038010656.2	XP_037866584.1	1773	
NC_085107.1	5639798	5651200	1	plus	FH1/FH2 domain-containing protein 3	LOC119628461	119628461	protein-coding	XM_062668337.1	XP_062524321.1	189	
NC_085107.1	5653015	5654526	1	plus	uncharacterized LOC101741973	LOC101741973	101741973	protein-coding	XM_004929744.4	XP_004929801.1	144	
NC_085107.1	5655353	5681586	1	minus	TGF-beta receptor type-1	LOC101742113	101742113	protein-coding	XM_004929745.5	XP_004929802.2	509	
NC_085107.1	5681803	5704073	1	minus	phospholipase C gamma	PLCg	100329155	protein-coding	NM_001171923.1	NP_001165394.1	1201	
NC_085107.1	5711533	5738977	1	minus	PAN2-PAN3 deadenylation complex subunit PAN3	LOC105841231	105841231	protein-coding	XM_004929888.5	XP_004929945.2	630	
NC_085107.1	5740487	5759540	1	plus	syntaxin-7	LOC101742407	101742407	protein-coding	XM_004929746.5	XP_004929803.1	262	
NC_085107.1	5818792	5910503	1	minus	protein NDRG3	LOC101742896	101742896	protein-coding	XM_012693572.4	XP_012549026.1	360	
NC_085107.1	5955297	5995393	1	plus	FK506-binding protein	Fkbp13	100141467	protein-coding	NM_001114936.2	NP_001108408.1	216	
NC_085107.1	5999806	6001353	1	plus	heparanase-like protein	Hepa	100141461	protein-coding	NM_001114999.1	NP_001108471.1	515	
NC_085107.1	6004456	6017561	1	minus	hikaru genki	Hig	100141455	protein-coding	NM_001114996.1	NP_001108468.1	786	
NC_085107.1	6020209	6024053	1	plus	chromosome associated protein D3	Cap-d3	100141463	protein-coding	NM_001115001.1	NP_001108473.1	407	
NC_085107.1	6028724	6034735	1	minus	projectin-like protein	Projectin	100141454	protein-coding	NM_001114995.1	NP_001108467.1	1072	
NC_085107.1	6028822	6030501	1	minus	leucyl aminopeptidase-like protein	Lap	100141459	protein-coding	NM_001114998.1	NP_001108470.1	559	
NC_085107.1	6062948	6091154	1	plus	kettin protein	Kettin	692378	protein-coding	NM_001114876.1	NP_001108348.1	4816	
NC_085107.1	6106739	6128705	1	plus	Titin-like protein	Titin1	100141452	protein-coding	NM_001114933.1	NP_001108405.1	3239	
NC_085107.1	6129680	6183949	1	plus	titin-like protein	Titin2	100049060	protein-coding	NM_001098373.1	NP_001091843.1	3347	
NC_085107.1	6187567	6194536	1	minus	pleiotrophin-like protein	Miple	100141466	protein-coding	NM_001115004.2	NP_001108476.2	152	
NC_085107.1	6206334	6212669	1	plus	uncharacterized LOC101739467	LOC101739467	101739467	protein-coding	XM_021350388.3	XP_021206063.3	207	
NC_085107.1	6213313	6220267	1	minus	syntaxin 6	Syx6	100141464	protein-coding	NM_001115002.1	NP_001108474.1	261	
NC_085107.1	6231088	6244013	1	plus	PM-Scl autoantigen-like protein	Pm-scl	100141462	protein-coding	NM_001115000.1	NP_001108472.1	451	
NC_085107.1	6250704	6254770	1	minus	uncharacterized LOC101739607	LOC101739607	101739607	protein-coding	XM_012693536.4	XP_012548990.2	382	
NC_085107.1	6263599	6280806	1	minus	tyrosine kinase-like protein	Tkz	100141458	protein-coding	NM_001114997.1	NP_001108469.1	656	
NC_085107.1	6309745	6314419	1	plus	ubiquitin conjugating enzyme 4	Ubcd4	100141465	protein-coding	NM_001115003.1	NP_001108475.1	199	
NC_085107.1	6317778	6367693	1	plus	bestrophin-4	LOC101743037	101743037	protein-coding	XM_004929749.5	XP_004929806.1	670	
NC_085107.1	6377748	6398696	1	plus	cold shock domain-containing protein E1	LOC101743510	101743510	protein-coding	XM_004929753.3	XP_004929810.1	878	
NC_085107.1	6401210	6423997	1	minus	peptidoglycan recognition protein	LOC101739748	101739748	protein-coding	XM_004929891.5	XP_004929948.1	322	
NC_085107.1	6432927	6461315	1	minus	peptidoglycan-recognition protein SC2	LOC101739885	101739885	protein-coding	XM_004929757.5	XP_004929814.1	303	
NC_085107.1	6470623	6483100	1	minus	peptidoglycan-recognition protein 2	LOC101743847	101743847	protein-coding	XM_004929756.4	XP_004929813.1	304	
NC_085107.1	6487256	6584333	1	minus	UNC93-like protein	LOC101744139	101744139	protein-coding	XM_004929758.5	XP_004929815.1	548	
NC_085107.1	6599756	6611577	1	minus	dnaJ homolog subfamily C member 11-like	DnaJ-17	101744278	protein-coding	NM_001281894.1	NP_001268823.1	573	
NC_085107.1	6612448	6674911	1	plus	WD repeat-containing protein 47	LOC101744420	101744420	protein-coding	XM_004929760.3	XP_004929817.1	902	
NC_085107.1	6680993	6807046	1	minus	uncharacterized LOC105842162	LOC105842162	105842162	protein-coding	XM_012693510.4	XP_012548964.2	288	
NC_085107.1	6829300	6852991	1	minus	DENN domain-containing protein 1A	LOC101744713	101744713	protein-coding	XM_012693495.4	XP_012548949.2	757	
NC_085107.1	6859938	6886504	1	minus	major facilitator superfamily domain-containing protein 6	LOC101744860	101744860	protein-coding	XM_004929762.5	XP_004929819.2	736	
NC_085107.1	6893657	6943618	1	plus	forkhead box protein L2	LOC101740018	101740018	protein-coding	XM_004929893.5	XP_004929950.2	482	
NC_085107.1	6946069	6995341	1	minus	cyclic nucleotide-gated cation channel subunit A	LOC101740153	101740153	protein-coding	XM_012693502.4	XP_012548956.1	697	
NC_085107.1	7005608	7019563	1	minus	ankyrin repeat domain-containing protein SOWAHC	LOC105842161	105842161	protein-coding	XM_038011179.2	XP_037867107.2	222	
NC_085107.1	7019299	7057429	1	minus	uncharacterized LOC134198846	LOC134198846	134198846	protein-coding	XM_062668471.1	XP_062524455.1	317	
NC_085107.1	7064817	7197406	1	plus	homeobox protein araucan	LOC101745000	101745000	protein-coding	XM_038011140.2	XP_037867068.1	494	
NC_085107.1	7298098	7364414	1	plus	homeobox protein caupolican	LOC101740424	101740424	protein-coding	XM_012693445.4	XP_012548899.2	430	
NC_085107.1	7412484	7455935	1	plus	cytochrome P450 Cyp305B1	Cyp305b1	100127103	protein-coding	NM_001112749.1	NP_001106220.1	487	
NC_085107.1	7415959	7428893	1	minus	glycerol kinase	Gk	100141424	protein-coding	NM_001114863.1	NP_001108335.1	514	
NC_085107.1	7455970	7478719	1	plus	sodium-dependent noradrenaline transporter	LOC101745146	101745146	protein-coding	XM_038011481.2	XP_037867409.1	617	
NC_085107.1	7492597	7526691	1	plus	ionotropic GABA-aminobutyric acid receptor RDL2	RDL2	100500924	protein-coding	NM_001195700.1	NP_001182629.1	495	
NC_085107.1	7545434	7558439	1	minus	JNK-interacting protein 1	LOC101745296	101745296	protein-coding	XM_004929765.5	XP_004929822.2	450	
NC_085107.1	7565417	7576705	1	plus	tryptophan 5-hydroxylase 1	LOC101740691	101740691	protein-coding	NM_001309589.1	NP_001296518.1	543	
NC_085107.1	7582382	7590953	1	plus	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	LOC101740832	101740832	protein-coding	XM_012693631.4	XP_012549085.2	829	
NC_085107.1	7605497	7638701	1	minus	GABA-gated chlorine channel alpha subunit	rdl1	100101200	protein-coding	NM_001099824.1	NP_001093294.1	482	
NC_085107.1	7673173	7752642	1	minus	glutamate receptor 1	LOC101740977	101740977	protein-coding	XM_038013394.2	XP_037869322.1	913	
NC_085107.1	7883337	7979618	1	plus	glutamate receptor 1	LOC101741118	101741118	protein-coding	XM_062671131.1	XP_062527115.1	891	
NC_085107.1	7993529	7994140	1	plus	ATP-dependent DNA helicase pif1-like	LOC119628948	119628948	protein-coding	XM_038013091.1	XP_037869019.1	203	
NC_085107.1	8027444	8041735	1	minus	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	LOC101745683	101745683	protein-coding	XM_021350414.3	XP_021206089.2	287	
NC_085107.1	8046732	8048437	1	plus	transcription initiation factor TFIID subunit 7	LOC101745832	101745832	protein-coding	XM_004929767.5	XP_004929824.1	386	
NC_085107.1	8053740	8063240	1	plus	nucleobindin-2	LOC101746062	101746062	protein-coding	XM_004929769.4	XP_004929826.1	597	
NC_085107.1	8069452	8091820	1	plus	imaginal disk growth factor	Idgf	692387	protein-coding	NM_001043382.1	NP_001036847.1	433	
