Gene ID	Protein accession
101745886	XP_037877663.2
100616528	NP_001233136.1
101746022	XP_037877717.1
101746164	XP_037866826.1
733108	NP_001040520.1
101746595	XP_012551503.2
101738352	XP_037866843.1
101738623	XP_012548905.2
101738756	XP_012549032.3
101741444	NP_001266391.1
101741679	XP_004929799.3
119629158	XP_037870077.1
100174848	NP_001124374.1
101739187	XP_037866584.1
119628461	XP_062524321.1
101741973	XP_004929801.1
101742113	XP_004929802.2
100329155	NP_001165394.1
105841231	XP_004929945.2
101742407	XP_004929803.1
101742896	XP_012549026.1
100141467	NP_001108408.1
100141461	NP_001108471.1
100141455	NP_001108468.1
100141463	NP_001108473.1
100141454	NP_001108467.1
100141459	NP_001108470.1
692378	NP_001108348.1
100141452	NP_001108405.1
100049060	NP_001091843.1
100141466	NP_001108476.2
101739467	XP_021206063.3
100141464	NP_001108474.1
100141462	NP_001108472.1
101739607	XP_012548990.2
100141458	NP_001108469.1
100141465	NP_001108475.1
101743037	XP_004929806.1
101743510	XP_004929810.1
101739748	XP_004929948.1
101739885	XP_004929814.1
101743847	XP_004929813.1
101744139	XP_004929815.1
101744278	NP_001268823.1
101744420	XP_004929817.1
105842162	XP_012548964.2
101744713	XP_012548949.2
101744860	XP_004929819.2
101740018	XP_004929950.2
101740153	XP_012548956.1
105842161	XP_037867107.2
134198846	XP_062524455.1
101745000	XP_037867068.1
101740424	XP_012548899.2
100127103	NP_001106220.1
100141424	NP_001108335.1
101745146	XP_037867409.1
100500924	NP_001182629.1
101745296	XP_004929822.2
101740691	NP_001296518.1
101740832	XP_012549085.2
100101200	NP_001093294.1
101740977	XP_037869322.1
101741118	XP_062527115.1
119628948	XP_037869019.1
101745683	XP_021206089.2
101745832	XP_004929824.1
101746062	XP_004929826.1
692387	NP_001036847.1
101746302	XP_004929828.3
110385849	XP_062524562.1
101741260	XP_012549082.1
101742576	XP_004934307.3
101746534	XP_004929829.1
101746670	XP_012549052.2
100270767	NP_001138794.1
100141425	NP_001108457.1
101746809	XP_012548903.2
101746951	XP_021206005.2
100302628	NP_001157389.1
101741399	XP_037867813.1
101741681	XP_037867828.1
119628955	XP_037869031.1
100146104	NP_001119730.1
101747083	NP_001266404.1
101747219	XP_021206134.1
101741824	XP_037870029.1
101735522	XP_021206092.1
101735659	XP_004929837.1
119629212	XP_037870186.1
101735804	XP_004929838.1
101735933	XP_004929839.1
101736058	XP_037869889.1
105842174	XP_012549057.1
101736195	XP_004929841.1
692928	NP_001040235.1
101736368	XP_004929842.1
101736487	XP_021206106.1
100653512	NP_001233285.1
101736626	XP_004929844.1
733047	NP_001040504.1
101736769	XP_004929845.2
101736897	XP_004929846.1
101737120	XP_037867967.1
101741974	XP_004929963.2
101742114	XP_021206125.1
101737363	XP_004929849.1
101737505	XP_062524740.1
101737646	XP_004929851.1
101737871	XP_004929852.1
119628981	XP_037869058.1
101742555	XP_004929966.1
105842165	XP_021206004.1
101742700	XP_004929967.2
119628983	XP_037869066.1
100187556	NP_001127735.1
101738006	XP_004929853.1
101742848	XP_037869685.1
101738134	XP_004929854.2
692898	NP_001040206.1
101738265	XP_004929855.2
101738622	XP_004929858.1
101738493	XP_004929857.1
100379330	NP_001166628.1
101742989	XP_037867348.1
119628602	XP_037867334.1
101738899	XP_004929861.1
101739139	XP_004929862.1
101739551	XP_012549007.1
101743131	XP_012549092.1
101739695	XP_004929867.1
100101213	NP_001093306.1
101743275	XP_021206076.1
101739837	XP_004929868.2
101740106	XP_004929870.2
101739975	XP_004929869.1
101740242	XP_062524936.1
101743416	XP_037867673.1
101740377	XP_004929872.2
101740601	XP_004929874.2
101740738	XP_012549074.1
101740877	XP_012549073.1
101743556	XP_012549077.2
101741018	XP_004929877.2
101743697	XP_021206053.2
101741166	XP_004929878.1
101741311	XP_004929879.1
101743848	XP_004929974.1
101743995	XP_037869138.2
101741539	XP_062525045.1
134199699	XP_062527147.1
101744140	XP_012548900.1
101744279	XP_012549087.1
134199700	XP_062527159.1
101744421	XP_004929978.3
692506	NP_001036959.1
119629088	XP_037869670.1
101741823	XP_004929882.1
101742224	XP_012548917.2
101742068	XP_004929884.1
101742358	XP_037877656.1
101744714	XP_004929980.2
101742510	XP_004929887.1
692441	NP_001036897.1
134199067	XP_062525161.1
105842155	XP_012548919.1
692456	NP_001036912.1
100174825	NP_001124351.1
119628621	XP_037867521.1
101745147	XP_037867534.1
101743038	XP_004929891.1
101742897	XP_004929890.1
101743186	XP_012549048.2
101745297	XP_062525164.1
101743555	XP_004929895.2
101745437	XP_012549068.1
101744185	XP_037870331.1
692496	NP_001036950.1
101744037	XP_004929898.2
105842168	XP_012549004.1
119629241	XP_037870353.1
119629009	XP_037869249.2
101743792	XP_004929896.1
101744330	XP_004929900.1
101745877	XP_012549040.1
101746015	XP_037868341.1
101744665	XP_004929904.2
101745047	XP_004929905.3
101746155	XP_004929988.1
101746303	XP_012548922.2
101745488	XP_004929909.1
101745729	XP_004929911.1
101745876	XP_004929912.1
101746014	XP_004929913.1
101746723	XP_012549066.1
105842156	XP_012548923.1
101746258	XP_004929914.1
693070	NP_001037528.2
732961	NP_001040424.1
101746998	XP_021206153.2
100529124	NP_001188364.1
101747134	XP_037869059.1
101746581	XP_037866984.1
101735340	XP_037866976.1
101746722	XP_004929917.2
101746861	XP_004929918.1
693110	NP_001040328.1
101747133	XP_004929920.1
101746997	XP_012548985.2
101735479	XP_012548984.1
105842151	XP_012548904.1
101735430	XP_004929922.1
101735703	XP_004929924.1
101735840	XP_021206164.2
101735755	XP_012549064.1
101735887	XP_037869105.1
101736015	XP_012548973.1
101736151	XP_004929999.1
101736287	XP_012548928.1
692419	NP_001036875.1
101736103	XP_021206165.1
101736416	XP_037877684.1
101736542	XP_004930002.2
101736369	XP_004929927.1
101736239	XP_004929926.1
101736488	XP_004929928.1
101736677	XP_037866549.1
101736942	XP_062527177.1
101736627	XP_004929929.1
101736770	XP_037869869.1
101736898	XP_012548934.2
134199706	XP_062527183.1
119629017	XP_037869309.1
100192380	NP_001130045.1
134199714	XP_062527188.1
110385851	XP_021206152.1
101737163	XP_004929932.1
692522	NP_001036975.1
692386	NP_001036846.1
101737214	XP_012548993.2
101737506	XP_004929935.1
134199715	XP_062527189.1
119629022	XP_037869337.1
101737828	XP_004929936.1
101737959	XP_037877063.1
101737920	XP_062527201.1
101738221	XP_004929938.3
101738052	XP_012549036.2
134199213	XP_062525567.1
134199789	XP_062527290.1
101738179	XP_037868339.1
105841769	XP_062525638.1
119628780	XP_062525690.1
134199250	XP_062525694.1
134199251	XP_062525699.1
101738304	XP_012546686.2
119628784	XP_037868254.1
119628786	XP_037868280.1
105841770	XP_037868210.1
101738169	XP_021204332.2
134199257	XP_062525718.1
134198667	XP_037868218.1
134199716	XP_062527207.1
119629125	XP_037869891.1
100852390	NP_001239603.1
105841766	XP_037868811.1
101737109	XP_004927194.1
101736978	XP_062527208.1
732911	NP_001040377.1
100499531	NP_001182009.1
101736715	XP_004927192.1
101736230	XP_012546682.2
101736361	XP_004927189.1
101736095	XP_004927187.2
101735879	XP_037870313.1
101737634	XP_037869848.1
101739761	XP_037868114.1
733113	NP_001040525.1
101739895	NP_001296506.1
101740160	XP_012551807.1
119628804	XP_037868447.1
101742079	XP_004933125.1
101740302	XP_037867677.1
101742470	XP_004933127.2
101742319	XP_004933126.1
134199721	XP_062527215.1
692792	NP_001040104.1
101742858	XP_004933130.1
100146109	NP_001119733.1
100270769	NP_001138796.1
101742611	XP_037866618.1
101737612	XP_037868051.1
105841813	XP_021204434.2
101740991	XP_062525899.1
101740431	XP_012551805.2
101743000	XP_021208217.2
101743755	XP_004933138.1
101743521	XP_004933136.1
105842703	XP_037868430.1
100145904	NP_001119720.1
101744006	XP_004933139.1
101740699	XP_004933200.1
119628339	XP_012551808.1
101744245	XP_037867914.2
101744484	XP_004933141.2
101740985	XP_037868035.2
110386423	XP_062526043.1
101741127	XP_004933203.2
101744872	XP_004933143.1
101744727	XP_021208204.1
101741270	XP_037868100.1
119629049	XP_062527225.1
101741411	XP_004933205.1
119629123	XP_037869876.1
101741693	XP_037867648.1
101745203	XP_004933145.1
101745353	XP_004933146.1
692471	NP_001036926.1
100037434	NP_001116805.1
101745497	XP_062526072.1
105842568	XP_037867944.1
101745636	XP_021208211.1
101745785	XP_037868754.1
101745930	XP_004933150.1
693096	NP_001040314.1
101741990	XP_021208199.1
101742131	XP_012551789.3
101746219	XP_004933152.1
101746877	XP_004933158.1
101746737	XP_004933157.2
100174850	NP_001124376.2
101742281	XP_062526168.1
101742423	XP_004933211.2
105842565	XP_012551806.1
101742568	XP_021208242.1
101742709	XP_012551796.1
134199734	XP_062527227.1
101743001	XP_037869536.1
101743144	XP_062526269.1
134199735	XP_062527231.1
134199736	XP_062527232.1
101735439	XP_012551801.2
101735714	XP_004933163.1
101735575	XP_062526337.1
101735848	XP_021208208.1
100124423	NP_001095933.1
101743427	XP_037866904.1
101736297	XP_004933167.1
101743860	XP_037867256.1
101736424	XP_004933168.1
101743708	XP_021208190.2
101736736	XP_037866743.1
101736863	XP_004933172.1
101744007	XP_037866708.1
110386422	XP_021208284.1
101736996	XP_004933173.1
101737229	XP_062526471.1
101744151	XP_037866899.1
100187554	NP_001127733.1
101737465	XP_004933177.1
101737608	XP_004933178.2
101737749	XP_037874332.1
101737885	XP_004933180.1
101738019	XP_004933181.2
101738235	XP_004933182.1
101745161	XP_037868399.1
119629023	XP_037869341.1
101738367	XP_004933183.1
101745307	XP_004933227.2
101738771	XP_004933187.1
101738910	XP_004933188.3
101739053	XP_004933189.2
101745447	XP_012551799.1
101739199	XP_004933190.1
119629070	XP_037869586.1
100302108	NP_001155264.1
101745591	XP_037866800.1
101745743	XP_004933230.1
101739338	XP_004933191.1
110386417	XP_021208214.1
101746024	XP_062526738.1
101746166	XP_062526710.1
134199567	XP_062526735.1
101739482	XP_012551782.3
101739618	XP_004933193.1
105841445	XP_062526801.1
101745029	XP_012544805.2
119628862	XP_037868625.2
134199590	XP_062526812.1
119628845	XP_037868562.1
101744889	XP_062526784.1
101746464	XP_037868633.1
101744744	XP_037875543.1
101744602	XP_004924945.1
105841444	XP_037868871.1
101746325	XP_004924956.1
120807614	NP_001380781.1
120807615	NP_001380782.1
101744218	XP_004924943.1
101746038	XP_062526837.1
101743877	XP_004924940.1
105841453	XP_012544828.1
100379187	NP_001166610.1
101745755	XP_012544788.1
101743586	XP_004924939.1
105841451	XP_012544822.2
100174929	NP_001127716.1
100862785	NP_001243940.1
101743217	XP_004924938.1
101742678	XP_004924934.1
101742825	NP_001274766.1
100862786	NP_001243941.1
101745607	XP_037867906.1
692530	NP_001036982.1
100101168	NP_001093266.1
101742534	XP_004924933.2
101742096	XP_004924930.1
101741858	XP_004924927.1
101741710	XP_004924926.1
101741565	XP_004924925.1
101745324	XP_021202853.3
692470	NP_001036925.1
101742877	XP_062528209.1
101742726	XP_004925011.1
110385005	XP_037873339.1
119629905	XP_037873368.2
101747166	XP_037871323.1
101747027	XP_037871338.1
101742491	XP_004925009.1
101746894	XP_037872648.1
101742339	XP_021202890.2
101742200	XP_004925007.1
101746751	XP_004925035.3
101742051	XP_012544895.3
101746611	XP_004925034.4
101746465	XP_037871400.1
101741801	XP_037871411.1
101741660	XP_004925005.1
101741519	XP_004925004.1
101741243	XP_037873235.1
134200192	XP_062528542.1
101746326	XP_012544892.1
101746182	XP_037871514.1
101741103	XP_037873326.1
105841470	XP_012544897.2
101740962	XP_012544866.1
119629399	XP_037871023.1
101746039	XP_012544857.1
101740674	XP_004924999.1
134200016	XP_062527902.1
101740538	XP_004924998.1
101740401	XP_004924997.1
101745756	XP_021202883.1
110385007	XP_021202895.1
101745608	XP_012544871.2
100101204	NP_001093298.1
101740183	XP_004924995.1
101745746	XP_037872922.1
101740050	XP_037872943.2
101745466	XP_004925027.1
134200137	XP_062528228.1
101745325	XP_012544861.2
105841465	XP_012544854.1
101745030	XP_037872596.1
119629400	XP_037871039.1
105841466	XP_037873387.1
101739914	NP_001296516.1
101739777	XP_004924992.2
101739633	NP_001296503.1
100136898	NP_001108115.1
101739395	XP_004924989.2
101739259	XP_004924988.1
101739119	XP_004924987.1
101744603	XP_037871248.1
119628383	XP_037871266.1
101738971	XP_004924986.1
101738839	XP_062529080.1
100174834	NP_001124360.1
119628406	XP_037873019.1
101738566	XP_004924983.1
101738437	XP_004924982.1
101738300	XP_004924981.1
101738165	XP_037872737.1
134198707	XP_062527911.1
119629402	XP_037871048.2
101738039	XP_004924979.1
101737906	XP_004924978.1
101737624	XP_004924976.1
101737482	XP_004924975.1
101737341	XP_004924974.1
101736924	XP_004924971.1
101736796	XP_004924970.1
101736564	XP_004924968.2
101744313	XP_012544845.1
101736313	XP_004924966.1
134198674	XP_004924965.1
134200022	XP_062527924.1
101744169	XP_004925021.1
101736040	XP_004924964.1
110385001	XP_021202864.1
101744025	XP_062529284.1
101735781	XP_004924962.1
101743878	XP_004925019.1
101735638	XP_004924961.2
134200036	XP_062527942.1
101735370	XP_004924959.1
101743727	XP_004925018.1
101735500	XP_004924960.1
101743587	XP_037871849.1
101743449	XP_062527947.1
101743307	XP_004925015.2
134200042	XP_062527950.1
101743021	XP_004925013.1
134200456	XP_062529357.1
119629663	XP_037872115.1
119629645	XP_037872101.1
119629664	XP_037872117.1
119629665	XP_062527953.1
119629666	XP_037872131.1
119629662	XP_037872112.2
110386598	XP_062529340.1
101739377	XP_004933940.2
134198677	XP_037872161.1
101740755	XP_037872162.1
119629679	XP_037872270.1
134198678	XP_037872169.1
119629703	XP_062529369.1
134198694	XP_037871818.2
119629675	XP_037872249.1
110386575	XP_037871821.1
119629685	XP_037872320.1
119629605	XP_037871978.1
119629698	XP_037872395.1
101741601	XP_004933824.2
134198681	XP_037872286.1
119629681	XP_037872290.1
119629689	XP_037872356.2
119629613	XP_037872015.2
119629694	XP_037872376.1
101742258	XP_004927425.1
101740642	XP_004927414.4
101740783	XP_004927415.4
101742834	XP_037871923.1
101741014	XP_004927417.1
101742977	XP_012546877.2
101743116	XP_004927430.1
101743263	XP_004927431.1
101743400	XP_037872334.1
134198683	XP_037871894.1
119629674	XP_037872238.1
110385428	XP_037872049.1
110385429	XP_021204494.2
101743679	XP_062527975.1
101743828	XP_004927434.2
110385427	XP_021204491.1
134198684	XP_004927420.1
101741530	XP_037872134.1
101744264	XP_021204497.2
101741670	XP_004927421.1
110385430	XP_037871999.1
101741813	XP_021204499.2
101741961	XP_004927423.2
101745190	NP_001266320.1
692580	NP_001037028.1
101740257	XP_062529288.1
101740390	XP_004933648.3
101740523	XP_021208585.1
101740664	XP_004933650.1
101740807	XP_004933651.1
101742372	XP_037871975.1
101739564	XP_004933234.1
101739706	XP_004933235.1
101739848	XP_004933236.1
101739985	XP_004933237.1
101740116	XP_004933238.1
101740255	XP_004933239.2
101740388	NP_001112382.2
693017	NP_001112373.1
100141512	NP_001112381.1
100141509	NP_001112378.1
100141508	NP_001112377.1
100141511	NP_001112380.1
100141469	NP_001108477.2
100141507	NP_001112376.1
693018	NP_001112374.2
101740521	XP_004933241.2
101740806	XP_004933243.1
101740949	XP_004933244.1
100141510	NP_001112379.1
101741090	NP_001112383.2
101742521	XP_037871842.1
101742663	XP_037872211.1
101741231	XP_021208389.1
101742812	XP_004933339.1
101741367	XP_062529313.1
101741507	XP_037872065.1
101741649	XP_004933249.1
101742957	XP_062527989.1
101741785	XP_004933250.1
101743094	XP_021208315.2
100379495	NP_001166776.1
101741934	XP_037873499.1
101742080	XP_004933252.1
101743380	XP_037872748.1
101743522	XP_004933343.1
101743658	XP_037873304.1
101743808	XP_037872564.1
101742371	XP_062529016.1
105842571	XP_062529173.1
101742612	XP_004933256.1
692980	NP_001040282.1
101742758	XP_004933257.1
101743957	XP_037873380.1
100337635	NP_001165743.1
693069	NP_001037526.1
100653407	NP_001233218.1
101744106	XP_004933347.1
101743428	XP_062529433.1
101744247	XP_037871215.1
733009	NP_001040469.1
101743807	XP_004933262.1
732899	NP_001040365.1
101743956	XP_004933263.1
101744534	XP_037871083.1
101744680	XP_012551911.1
101744105	XP_004933264.1
101744246	XP_004933265.1
101744821	XP_004933352.3
119629811	XP_037872968.1
101744389	XP_062529037.1
101744533	XP_004933267.2
101744965	XP_037873225.1
101744679	XP_004933268.1
105842585	XP_037871455.2
101744820	XP_004933269.3
101745115	XP_012551886.1
101745114	XP_062529048.1
101744964	XP_012551852.2
134200075	XP_062527995.1
101745264	XP_062529172.1
101745637	XP_004933275.1
105842575	XP_062529167.1
101745786	XP_004933276.1
692562	NP_001037012.1
101745407	XP_012551865.1
101746268	XP_004933279.1
101746597	XP_012551872.2
101746822	XP_004933282.1
692699	NP_001037227.1
732878	NP_001037578.1
101745843	XP_037871612.1
101735440	XP_004933286.1
101741327	XP_037872985.1
101746269	XP_037872722.1
101735576	XP_037871362.1
101735715	XP_021208375.2
101746546	XP_062528965.1
101735849	XP_012551913.1
101735981	XP_004933289.1
101746683	XP_037873035.1
101736212	XP_037871187.1
134200377	XP_062529162.1
692893	NP_001040202.1
733129	NP_001040541.1
119629411	XP_037871097.1
119629414	XP_037871104.1
101736342	XP_004933292.1
101736464	XP_004933293.1
101736595	XP_004933294.1
692601	NP_001119717.2
100147699	NP_001119737.1
110386433	XP_021208385.1
101746964	XP_062528150.1
101736864	XP_004933296.1
119629567	XP_037871649.1
733136	NP_001040548.1
119629570	XP_037871661.1
101747094	XP_037871115.1
134200207	XP_062528588.1
101737129	XP_021208374.3
101736997	XP_004933297.1
100415789	NP_001171330.1
101737272	XP_012551894.1
101747230	XP_037873440.1
101737415	XP_004933302.2
101735441	XP_021208347.2
101737750	XP_037870983.1
101737886	XP_004933304.1
692554	NP_001037005.2
100379494	NP_001166775.1
110384750	XP_037873541.1
100302615	NP_001157379.1
100379493	NP_001166774.1
100379492	NP_001166773.1
101735850	XP_004933370.2
100852388	NP_001239601.1
101738020	XP_004933305.1
101735982	XP_062528798.1
119629365	XP_037870961.1
100174832	NP_001124358.1
100174833	NP_001124359.1
101736113	XP_037871169.1
101738281	XP_004933307.1
101738418	XP_004933308.1
101738552	XP_004933309.2
101736247	XP_021208322.1
100307015	NP_001159624.1
101738772	XP_062529380.1
101739098	XP_004933313.1
105841242	XP_012551883.1
101735384	XP_021204513.1
100862808	NP_001243961.1
119629945	XP_037873386.1
100862842	NP_001243992.1
105842582	XP_012551891.1
119629498	XP_062529425.1
692547	NP_001036998.2
692942	NP_001040247.1
101736380	XP_012551896.1
101739373	XP_004933315.1
101739619	XP_021208348.1
101736498	XP_037871505.1
101739762	XP_004933318.1
101739896	NP_001037550.2
693024	NP_001037454.1
134200224	XP_062528647.1
105842576	XP_012551853.1
101740161	XP_004933321.1
101740031	NP_001303998.1
101740752	XP_037871552.1
101740522	NP_001296559.1
101740389	XP_004933323.1
101736637	XP_012551900.1
101741035	XP_037873047.1
100174835	NP_001124361.1
105842586	XP_012551914.1
101741323	XP_004933329.1
101741550	XP_004933330.1
101741935	XP_004933333.1
101741786	XP_004933332.1
101736907	XP_012551889.1
101737039	XP_021208351.1
101737466	XP_037871418.1
101742237	XP_004933335.2
101746904	XP_062529578.1
101747037	XP_012547004.1
101746764	XP_004927589.1
101745266	XP_004933725.3
110385293	XP_021204048.2
119629946	XP_037873388.1
119629961	XP_037873551.1
101745332	XP_004926764.1
101745473	XP_012546338.1
101743716	XP_037872880.1
692689	NP_001037207.1
101736617	XP_037873315.1
101736762	XP_012546336.2
101746290	XP_004926768.1
110385294	XP_021204057.2
101746426	XP_004926769.2
101737155	XP_037871478.1
101737300	XP_004926790.1
101746566	XP_004926771.1
101746802	XP_004926772.1
101746943	XP_004926773.1
101747076	XP_004926774.1
101737442	XP_037872822.1
101735380	XP_037871626.1
101735509	XP_004926776.1
100862750	NP_001243910.1
101737583	XP_012546329.1
101735745	XP_004926778.1
101736094	XP_012546340.1
101735876	XP_004926779.1
101736228	XP_004926782.1
101737726	XP_012546334.2
100146105	NP_001139413.1
101737862	XP_004926793.2
105841715	XP_037873137.1
101736358	XP_021204043.1
101736478	XP_004926784.1
100316860	NP_001162052.1
101738867	XP_037872708.1
101738727	XP_012552185.2
101745514	XP_021202154.2
101745658	XP_062530697.1
101745807	XP_004923984.2
101745949	XP_012543958.3
101737985	NP_001266291.1
101746093	XP_037874937.1
101738199	XP_004923932.2
119630692	XP_037876915.1
119630693	XP_037876922.1
101746905	XP_037876944.1
101736238	XP_004929604.2
119630701	XP_037876964.1
101738215	XP_004927681.3
101746237	XP_012543959.1
100037437	NP_001103476.1
101738432	XP_004923933.1
101746376	XP_062530756.1
101738563	XP_012543985.1
101746514	XP_037874801.1
101746655	XP_037876266.1
101738789	XP_004923935.1
101739065	XP_062530553.1
101738925	XP_004923936.1
100500750	NP_001182382.1
101739296	XP_004923939.1
101746935	XP_004923991.2
101739441	XP_004923940.1
101739580	XP_004923941.1
101739724	XP_004923942.1
101739864	XP_004923943.1
101740129	XP_004923945.1
101739997	XP_004923944.1
101740268	XP_021202163.1
101747067	XP_021202161.2
101747202	XP_012543973.2
110384825	XP_021202165.3
101740490	XP_004923948.1
101740631	XP_004923949.1
693066	NP_001037520.1
101740771	XP_004923950.1
101740910	XP_004923951.1
732951	NP_001040414.1
100862760	NP_001243918.1
101741053	XP_037875699.1
100126162	NP_001103396.1
692732	NP_001037293.1
101741200	XP_004923953.1
100101149	NP_001093076.1
101741422	XP_004923955.1
101741560	XP_004923956.1
101735413	XP_037874703.1
101735547	XP_012543984.1
692909	NP_001040217.1
101741707	XP_004923957.1
692855	NP_001040165.1
110384829	XP_037874532.1
101742147	XP_012543943.2
100141433	NP_001108341.1
100127046	NP_001116807.1
100037439	NP_001103477.1
101742293	XP_004923960.1
101742440	XP_004923961.1
101742584	XP_021202175.1
101742723	XP_021202177.2
101735829	XP_037876774.1
101743212	XP_004923967.2
101736087	XP_037876818.2
101736475	XP_012543944.1
101743670	XP_037877257.1
101736753	XP_037876062.1
101736879	XP_012543940.1
119630624	XP_037876480.1
119630620	XP_037876474.1
101743819	XP_062531028.1
105841299	XP_021202206.1
110384836	XP_021202203.2
101737013	XP_037875962.1
101743967	XP_004923972.2
101737289	XP_062530907.1
134200792	XP_062530416.1
101737431	XP_012543983.3
101737572	XP_004924005.1
101744256	XP_004923974.1
101744452	XP_004923976.1
101744695	XP_037875274.1
105841298	XP_037874606.1
119630205	XP_037874605.1
101744830	XP_012543965.1
693082	NP_001040300.1
101737715	XP_037874609.1
101737853	XP_012543976.2
101745070	XP_004923979.1
101745220	XP_004923980.2
101745369	XP_004923981.1
692468	NP_001036923.1
101743030	XP_037875023.1
732972	NP_001040434.1
100529238	NP_001189467.1
693075	NP_001037538.1
101740728	XP_037876995.1
101736847	XP_004926291.2
101736976	XP_004926292.2
732945	NP_001040409.1
101737106	XP_012545912.1
119630430	XP_037875756.1
101741006	XP_037875301.1
101741153	XP_037875289.1
101737397	XP_004926295.1
101741433	XP_004926324.2
101737539	XP_004926296.1
101737684	NP_001036849.2
101741572	XP_004926325.1
101741718	XP_012545932.1
101737820	XP_004926298.1
692968	NP_001040272.1
100101206	NP_001093300.1
101741866	XP_062531140.1
101737952	XP_004926299.1
101738086	XP_004926300.1
101738212	XP_004926301.1
101738343	XP_004926302.1
101738481	XP_004926303.1
101738609	XP_004926304.1
110385211	XP_021203754.2
101738741	XP_004926305.2
100862838	NP_001243988.1
101738885	XP_037875320.1
101740705	XP_037875313.1
101742157	XP_021203751.2
692736	NP_001037299.1
101739170	XP_004926308.1
101739305	XP_004926309.1
101742299	XP_012545916.2
101739451	XP_012545915.2
105841646	NP_001296561.1
101739592	XP_004926311.1
101739920	XP_004926314.1
101740056	XP_004926315.1
101742449	XP_021203745.2
692786	NP_001037386.1
101740189	XP_012545929.1
101742593	XP_012545937.1
101740456	XP_004926318.1
101742735	XP_037875551.1
110385433	XP_062531240.1
101747176	XP_062531196.1
101735649	XP_004927456.1
101735791	XP_037875260.1
101742500	XP_012547045.2
101742348	XP_021204618.2
733033	NP_001040490.1
119630713	XP_062531329.1
119630714	XP_037877003.2
100174918	NP_001127711.1
101741012	XP_004927084.2
101737662	XP_037874933.1
101740617	XP_037874923.1
101741769	XP_062531345.1
101741488	XP_004927088.3
119630719	XP_037877012.1
119630887	XP_037877356.1
101739560	XP_012550570.3
101743853	XP_012550683.1
100125337	NP_001098067.2
101743701	XP_004931816.1
101743559	XP_012550687.1
101743420	XP_004931814.3
101743279	XP_037876185.1
101743136	XP_004931812.1
101742993	XP_004931811.1
101742852	XP_004931810.1
101739146	XP_004931867.1
101742703	XP_004931809.1
110386171	XP_037875519.1
101738997	XP_004931866.1
101742560	XP_012550651.2
