Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_087088.1	1381407	1391146	1	minus	ubiquitin-like modifier-activating enzyme 5	LOC135078186	135078186	protein-coding	XM_063972807.1	XP_063828877.1	392	
NC_087088.1	1392987	1408482	1	plus	peroxidase	LOC135074768	135074768	protein-coding	XM_063969154.1	XP_063825224.1	802	
NC_087088.1	1415553	1417876	1	minus	dnaJ protein homolog 1	LOC135076190	135076190	protein-coding	XM_063970699.1	XP_063826769.1	352	
NC_087088.1	1419049	1428366	1	minus	cysteine-rich protein 2-binding protein	LOC135076285	135076285	protein-coding	XM_063970800.1	XP_063826870.1	676	
NC_087088.1	1419153	1420475	1	plus	transcriptional adapter 2A	LOC135076380	135076380	protein-coding	XM_063970892.1	XP_063826962.1	431	
NC_087088.1	1429142	1438302	1	minus	lysosomal Pro-X carboxypeptidase	LOC135076493	135076493	protein-coding	XM_063970979.1	XP_063827049.1	465	
NC_087088.1	1439408	1447069	1	minus	dynein assembly factor with WD repeat domains 1	LOC135074778	135074778	protein-coding	XM_063969164.1	XP_063825234.1	419	
NC_087088.1	1472220	1518888	1	plus	solute carrier organic anion transporter family member 4A1-like	LOC135078091	135078091	protein-coding	XM_063972702.1	XP_063828772.1	611	
NC_087088.1	1518964	1521752	1	minus	vacuolar protein-sorting-associated protein 25	LOC135077909	135077909	protein-coding	XM_063972475.1	XP_063828545.1	175	
NC_087088.1	1522274	1524592	1	plus	NEDD8-conjugating enzyme UBE2F-like	LOC135074789	135074789	protein-coding	XM_063969173.1	XP_063825243.1	185	
NC_087088.1	1524680	1680121	1	minus	obscurin	LOC135076957	135076957	protein-coding	XM_063971487.1	XP_063827557.1	6264	
NC_087088.1	1608280	1610044	1	plus	putative nuclease HARBI1	LOC135077412	135077412	protein-coding	XM_063971985.1	XP_063828055.1	351	
NC_087088.1	1612241	1613990	1	plus	putative nuclease HARBI1	LOC135077502	135077502	protein-coding	XM_063972084.1	XP_063828154.1	351	
NC_087088.1	1650236	2167050	1	plus	14 kDa phosphohistidine phosphatase-like	LOC135078003	135078003	protein-coding	XM_063972585.1	XP_063828655.1	156	
NC_087088.1	1733558	1745857	1	minus	uncharacterized LOC135076964	LOC135076964	135076964	protein-coding	XM_063971498.1	XP_063827568.1	563	
NC_087088.1	1768278	1775537	1	minus	putative leucine-rich repeat-containing protein DDB_G0290503	LOC135076970	135076970	protein-coding	XM_063971510.1	XP_063827580.1	428	
NC_087088.1	1776395	1843288	1	minus	uncharacterized MFS-type transporter C09D4.1	LOC135076605	135076605	protein-coding	XM_063971062.1	XP_063827132.1	473	
NC_087088.1	1884723	1890122	1	minus	proteasome subunit beta type-2-like	LOC135074808	135074808	protein-coding	XM_063969191.1	XP_063825261.1	211	
NC_087088.1	1897143	1996562	1	plus	uncharacterized LOC135076981	LOC135076981	135076981	protein-coding	XM_063971516.1	XP_063827586.1	1266	
NC_087088.1	1975076	2225902	1	plus	unconventional prefoldin RPB5 interactor-like protein	LOC135077259	135077259	protein-coding	XM_063971821.1	XP_063827891.1	455	
NC_087088.1	1997004	1999983	1	minus	queuosine 5'-phosphate N-glycosylase/hydrolase	LOC135077691	135077691	protein-coding	XM_063972297.1	XP_063828367.1	336	
NC_087088.1	2001798	2004483	1	plus	nucleoporin Nup43	LOC135077600	135077600	protein-coding	XM_063972188.1	XP_063828258.1	347	
NC_087088.1	2005243	2132972	1	minus	rho GTPase-activating protein conundrum	LOC135076984	135076984	protein-coding	XM_063971532.1	XP_063827602.1	563	
NC_087088.1	2142963	2146792	1	minus	immunoglobulin-binding protein 1b	LOC135074823	135074823	protein-coding	XM_063969208.1	XP_063825278.1	342	
NC_087088.1	2148519	2154309	1	plus	carboxypeptidase N subunit 2-like	LOC135076986	135076986	protein-coding	XM_063971595.1	XP_063827665.1	745	
NC_087088.1	2155822	2159044	1	minus	putative uncharacterized protein DDB_G0291608	LOC135076768	135076768	protein-coding	XM_063971233.1	XP_063827303.1	995	
NC_087088.1	2161354	2164376	1	minus	uncharacterized protein C19orf47	LOC135074833	135074833	protein-coding	XM_063969216.1	XP_063825286.1	347	
NC_087088.1	2167419	2169344	1	plus	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	LOC135077153	135077153	protein-coding	XM_063971737.1	XP_063827807.1	456	
NC_087088.1	2169334	2175676	1	minus	coiled-coil domain-containing protein 124	LOC135077805	135077805	protein-coding	XM_063972375.1	XP_063828445.1	210	
NC_087088.1	2175868	2177731	1	plus	proline-rich protein PRCC	LOC135076846	135076846	protein-coding	XM_063971351.1	XP_063827421.1	404	
NC_087088.1	2177719	2178854	1	minus	small ribosomal subunit protein uS11	LOC135076918	135076918	protein-coding	XM_063971471.1	XP_063827541.1	191	
NC_087088.1	2179370	2223323	1	minus	NBAS subunit of NRZ tethering complex-like	LOC135076985	135076985	protein-coding	XM_063971548.1	XP_063827618.1	2330	
NC_087088.1	2226145	2228421	1	plus	small ribosomal subunit protein mS29	LOC135074838	135074838	protein-coding	XM_063969222.1	XP_063825292.1	371	
NC_087088.1	2228516	2229242	1	minus	ATP synthase subunit g, mitochondrial	LOC135074847	135074847	protein-coding	XM_063969232.1	XP_063825302.1	98	
NC_087088.1	2229352	2237304	1	plus	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	LOC135076987	135076987	protein-coding	XM_063971564.1	XP_063827634.1	700	
NC_087088.1	2237928	2240762	1	minus	ribonucleoside-diphosphate reductase subunit M2	LOC135078273	135078273	protein-coding	XM_063972899.1	XP_063828969.1	375	
NC_087088.1	2244351	2253480	1	plus	COP9 signalosome complex subunit 2	LOC135078360	135078360	protein-coding	XM_063972969.1	XP_063829039.1	448	
NC_087088.1	2254557	2260679	1	minus	arrestin domain-containing protein 4	LOC135074857	135074857	protein-coding	XM_063969242.1	XP_063825312.1	329	
NC_087088.1	2265979	2272568	1	plus	tubulin gamma-1 chain-like	LOC135078472	135078472	protein-coding	XM_063973048.1	XP_063829118.1	456	
NC_087088.1	2274331	2276847	1	minus	alpha-endosulfine	LOC135078577	135078577	protein-coding	XM_063973139.1	XP_063829209.1	115	
NC_087088.1	2282355	2306586	1	plus	structural maintenance of chromosomes protein 6	LOC135076989	135076989	protein-coding	XM_063971578.1	XP_063827648.1	1191	
NC_087088.1	2306681	2327585	1	minus	G1/S-specific cyclin-E1	LOC135078819	135078819	protein-coding	XM_063973414.1	XP_063829484.1	537	
NC_087088.1	2316463	2318231	1	plus	putative nuclease HARBI1	LOC135074866	135074866	protein-coding	XM_063969251.1	XP_063825321.1	351	
NC_087088.1	2328085	2347369	1	plus	protein pigeon	LOC135078911	135078911	protein-coding	XM_063973529.1	XP_063829599.1	909	
NC_087088.1	2349746	2351466	1	minus	replication termination factor 2	LOC135078989	135078989	protein-coding	XM_063973639.1	XP_063829709.1	329	
NC_087088.1	2354816	2355614	1	plus	uncharacterized LOC135079086	LOC135079086	135079086	protein-coding	XM_063973722.1	XP_063829792.1	187	
NC_087088.1	2356508	2359310	1	minus	MICOS complex subunit MIC19	LOC135079198	135079198	protein-coding	XM_063973820.1	XP_063829890.1	165	
NC_087088.1	2532196	2609019	1	plus	galanin receptor type 3	LOC135079998	135079998	protein-coding	XM_063974697.1	XP_063830767.1	373	
NC_087088.1	2624916	2629435	1	plus	calcium and integrin-binding family member 3	LOC135074903	135074903	protein-coding	XM_063969279.1	XP_063825349.1	189	
NC_087088.1	2635303	2636724	1	plus	ubiquitin-conjugating enzyme E2 N	LOC135079423	135079423	protein-coding	XM_063974116.1	XP_063830186.1	151	
NC_087088.1	2640566	2842406	1	minus	protein lin-10-like	LOC135079591	135079591	protein-coding	XM_063974252.1	XP_063830322.1	1120	
NC_087088.1	2808884	2813115	1	plus	uncharacterized LOC135079698	LOC135079698	135079698	protein-coding	XM_063974337.1	XP_063830407.1	425	
NC_087088.1	2842413	2846677	1	minus	THAP domain-containing protein 5-like	LOC135079913	135079913	protein-coding	XM_063974584.1	XP_063830654.1	255	
NC_087088.1	2847541	2850854	1	minus	epidermal retinol dehydrogenase 2-like	LOC135074937	135074937	protein-coding	XM_063969303.1	XP_063825373.1	325	
NC_087088.1	2851127	2852072	1	plus	BLOC-1-related complex subunit 8 homolog	LOC135074951	135074951	protein-coding	XM_063969320.1	XP_063825390.1	171	
NC_087088.1	2853925	2872064	1	minus	ABC transporter A family member 4-like	LOC135076998	135076998	protein-coding	XM_063971588.1	XP_063827658.1	1707	
NC_087088.1	2875555	2876473	1	plus	keratin, type II cytoskeletal 2 epidermal-like	LOC135074968	135074968	protein-coding	XM_063969337.1	XP_063825407.1	163	
NC_087088.1	2880308	2882158	1	plus	uncharacterized transmembrane protein DDB_G0289901-like	LOC135074978	135074978	protein-coding	XM_063969351.1	XP_063825421.1	482	
NC_087088.1	2885821	2886753	1	plus	uncharacterized LOC135074986	LOC135074986	135074986	protein-coding	XM_063969359.1	XP_063825429.1	155	
NC_087088.1	2891603	2892651	1	plus	uncharacterized LOC135074995	LOC135074995	135074995	protein-coding	XM_063969367.1	XP_063825437.1	261	
NC_087088.1	2909630	2911438	1	plus	spidroin-1-like	LOC135075005	135075005	protein-coding	XM_063969379.1	XP_063825449.1	276	
NC_087088.1	2911471	2912234	1	minus	uncharacterized LOC135075020	LOC135075020	135075020	protein-coding	XM_063969395.1	XP_063825465.1	175	
NC_087088.1	2934835	2936731	1	plus	uncharacterized LOC135075041	LOC135075041	135075041	protein-coding	XM_063969414.1	XP_063825484.1	242	
NC_087088.1	2941028	2942726	1	plus	uncharacterized LOC135076682	LOC135076682	135076682	protein-coding	XM_063971105.1	XP_063827175.1	459	
NC_087088.1	2946944	2948456	1	plus	uncharacterized LOC135076691	LOC135076691	135076691	protein-coding	XM_063971114.1	XP_063827184.1	398	
NC_087088.1	2955975	2957716	1	plus	uncharacterized LOC135076702	LOC135076702	135076702	protein-coding	XM_063971125.1	XP_063827195.1	182	
NC_087088.1	2962681	2970361	1	plus	uncharacterized LOC135080398	LOC135080398	135080398	protein-coding	XM_063975065.1	XP_063831135.1	309	
NC_087088.1	2970916	2981685	1	plus	serine-rich adhesin for platelets-like	LOC135080092	135080092	protein-coding	XM_063974808.1	XP_063830878.1	1342	
NC_087088.1	2986265	2987834	1	plus	keratin, type I cytoskeletal 9-like	LOC135075052	135075052	protein-coding	XM_063969423.1	XP_063825493.1	115	
NC_087088.1	2989116	2990650	1	minus	uncharacterized LOC135075064	LOC135075064	135075064	protein-coding	XM_063969428.1	XP_063825498.1	88	
NC_087088.1	2992894	3051290	1	minus	solute carrier organic anion transporter family member 74D-like	LOC135081929	135081929	protein-coding	XM_063976719.1	XP_063832789.1	688	
NC_087088.1	3054572	3060888	1	minus	deoxynucleoside kinase-like	LOC135075078	135075078	protein-coding	XM_063969429.1	XP_063825499.1	266	
NC_087088.1	3065219	3075537	1	plus	protein disulfide-isomerase A6 homolog	LOC135081031	135081031	protein-coding	XM_063975786.1	XP_063831856.1	424	
NC_087088.1	3078434	3080057	1	plus	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	LOC135081211	135081211	protein-coding	XM_063975990.1	XP_063832060.1	468	
NC_087088.1	3080054	3093981	1	minus	translation initiation factor eIF2B subunit delta	LOC135081119	135081119	protein-coding	XM_063975889.1	XP_063831959.1	673	
NC_087088.1	3097704	3100177	1	minus	N-acetylgalactosamine kinase	LOC135081314	135081314	protein-coding	XM_063976069.1	XP_063832139.1	485	
NC_087088.1	3100136	3106297	1	plus	zinc finger protein 239-like	LOC135081435	135081435	protein-coding	XM_063976156.1	XP_063832226.1	399	
NC_087088.1	3106173	3107430	1	plus	zinc finger protein 85-like	LOC135077007	135077007	protein-coding	XM_063971600.1	XP_063827670.1	282	
NC_087088.1	3114266	3135088	1	minus	probable peroxisomal acyl-coenzyme A oxidase 1	LOC135081736	135081736	protein-coding	XM_063976557.1	XP_063832627.1	670	
NC_087088.1	3136093	3140006	1	plus	large ribosomal subunit protein eL19	LOC135081831	135081831	protein-coding	XM_063976648.1	XP_063832718.1	200	
NC_087088.1	3143357	3153783	1	plus	probable peroxisomal acyl-coenzyme A oxidase 1	LOC135083197	135083197	protein-coding	XM_063977961.1	XP_063834031.1	666	
NC_087088.1	3154339	3190426	1	plus	probable peroxisomal acyl-coenzyme A oxidase 1	LOC135084365	135084365	protein-coding	XM_063979172.1	XP_063835242.1	668	
NC_087088.1	3191295	3200431	1	plus	probable peroxisomal acyl-coenzyme A oxidase 1	LOC135082408	135082408	protein-coding	XM_063977238.1	XP_063833308.1	666	
NC_087088.1	3201469	3212553	1	plus	probable peroxisomal acyl-coenzyme A oxidase 1	LOC135082506	135082506	protein-coding	XM_063977338.1	XP_063833408.1	666	
NC_087088.1	3213834	3224270	1	plus	probable peroxisomal acyl-coenzyme A oxidase 1	LOC135082615	135082615	protein-coding	XM_063977436.1	XP_063833506.1	673	
NC_087088.1	3227145	3229114	1	minus	ice nucleation protein InaA-like	LOC135082716	135082716	protein-coding	XM_063977517.1	XP_063833587.1	536	
NC_087088.1	3241040	3574503	1	minus	syndecan	LOC135084163	135084163	protein-coding	XM_063978936.1	XP_063835006.1	301	
NC_087088.1	3398620	3401775	1	plus	lipase 3-like	LOC135083287	135083287	protein-coding	XM_063978059.1	XP_063834129.1	456	
NC_087088.1	3575591	3577331	1	minus	ATPase inhibitor mai-2, mitochondrial-like	LOC135082821	135082821	protein-coding	XM_063977615.1	XP_063833685.1	104	
NC_087088.1	3580747	3582937	1	minus	uncharacterized LOC135076711	LOC135076711	135076711	protein-coding	XM_063971135.1	XP_063827205.1	317	
NC_087088.1	3584830	3605718	1	plus	protein scarlet-like	LOC135083086	135083086	protein-coding	XM_063977885.1	XP_063833955.1	644	
NC_087088.1	3606705	3621380	1	minus	protein brown-like	LOC135082986	135082986	protein-coding	XM_063977781.1	XP_063833851.1	596	
NC_087088.1	3626491	3652434	1	minus	ras-related protein Rab-32	LOC135083387	135083387	protein-coding	XM_063978163.1	XP_063834233.1	444	
NC_087088.1	3653471	3678924	1	minus	solute carrier family 25 member 32	LOC135084066	135084066	protein-coding	XM_063978842.1	XP_063834912.1	320	
NC_087088.1	3679621	3681310	1	plus	mitochondrial-processing peptidase subunit beta	LOC135084522	135084522	protein-coding	XM_063979321.1	XP_063835391.1	467	
NC_087088.1	3682306	3699400	1	minus	conserved oligomeric Golgi complex subunit 3	LOC135084619	135084619	protein-coding	XM_063979424.1	XP_063835494.1	826	
NC_087088.1	3703541	3895120	1	minus	protein bunched, class 2/F/G isoform-like	LOC135084943	135084943	protein-coding	XM_063979735.1	XP_063835805.1	1027	
NC_087088.1	3897071	3907509	1	plus	uncharacterized LOC135085178	LOC135085178	135085178	protein-coding	XM_063979967.1	XP_063836037.1	842	
NC_087088.1	3908259	3916741	1	minus	apolipoprotein D-like	LOC135075106	135075106	protein-coding	XM_063969449.1	XP_063825519.1	194	
NC_087088.1	3919999	3923708	1	minus	apolipoprotein D-like	LOC135084855	135084855	protein-coding	XM_063979625.1	XP_063835695.1	303	
NC_087088.1	3948724	3990737	1	minus	transcription factor Ken	LOC135085275	135085275	protein-coding	XM_063980077.1	XP_063836147.1	594	
NC_087088.1	4280995	4303289	1	minus	tyrosine-protein kinase RYK-like	LOC135077026	135077026	protein-coding	XM_063971620.1	XP_063827690.1	570	
NC_087088.1	4365836	4366525	1	plus	uncharacterized LOC135077044	LOC135077044	135077044	protein-coding	XM_063971641.1	XP_063827711.1	229	
NC_087088.1	4439466	4459501	1	plus	peptidylglycine alpha-hydroxylating monooxygenase	LOC135085421	135085421	protein-coding	XM_063980247.1	XP_063836317.1	336	
NC_087088.1	4559098	4561452	1	minus	carboxylic ester hydrolase-like	LOC135075122	135075122	protein-coding	XM_063969468.1	XP_063825538.1	637	
NC_087088.1	4564521	4566146	1	minus	putative nuclease HARBI1	LOC135075130	135075130	protein-coding	XM_063969479.1	XP_063825549.1	351	
NC_087088.1	4577782	4647166	1	plus	myocyte-specific enhancer factor 2	LOC135086014	135086014	protein-coding	XM_063980820.1	XP_063836890.1	408	
NC_087088.1	4647266	4650732	1	minus	ionotropic receptor 21a	LOC135075139	135075139	protein-coding	XM_063969490.1	XP_063825560.1	846	
NC_087088.1	4651021	4784306	1	minus	mucin-2	LOC135085521	135085521	protein-coding	XM_063980334.1	XP_063836404.1	2501	
NC_087088.1	4827376	4848922	1	plus	PAS domain-containing serine/threonine-protein kinase	LOC135077053	135077053	protein-coding	XM_063971653.1	XP_063827723.1	1249	
NC_087088.1	4854062	4876183	1	plus	prolyl endopeptidase	LOC135087638	135087638	protein-coding	XM_063982380.1	XP_063838450.1	767	
NC_087088.1	4879085	4914036	1	minus	uncharacterized LOC135077064	LOC135077064	135077064	protein-coding	XM_063971661.1	XP_063827731.1	1759	
NC_087088.1	4918513	4934192	1	minus	nucleoporin Nup188	LOC135077077	135077077	protein-coding	XM_063971665.1	XP_063827735.1	1992	
NC_087088.1	4940173	4941695	1	plus	adenylate kinase	LOC135087629	135087629	protein-coding	XM_063982369.1	XP_063838439.1	242	
NC_087088.1	4943976	5048914	1	minus	guanine nucleotide exchange factor DBS-like	LOC135087591	135087591	protein-coding	XM_063982319.1	XP_063838389.1	1025	
NC_087088.1	5039935	5046311	1	minus	uncharacterized LOC135087618	LOC135087618	135087618	protein-coding	XM_063982360.1	XP_063838430.1	563	
NC_087088.1	5049147	5063675	1	plus	glycogenin-2-like	LOC135087330	135087330	protein-coding	XM_063982140.1	XP_063838210.1	1204	
NC_087088.1	5074859	5118098	1	plus	tyrosine-protein kinase Drl	LOC135086433	135086433	protein-coding	XM_063981183.1	XP_063837253.1	542	
NC_087088.1	5210687	5211992	1	minus	venom protease-like	LOC135075146	135075146	protein-coding	XM_063969502.1	XP_063825572.1	385	
NC_087088.1	5281476	5283296	1	plus	uncharacterized LOC135075158	LOC135075158	135075158	protein-coding	XM_063969510.1	XP_063825580.1	232	
NC_087088.1	5284655	5308259	1	minus	uncharacterized LOC135086519	LOC135086519	135086519	protein-coding	XM_063981280.1	XP_063837350.1	261	
NC_087088.1	5311956	5317133	1	minus	uncharacterized LOC135086714	LOC135086714	135086714	protein-coding	XM_063981529.1	XP_063837599.1	118	
NC_087088.1	5320955	5323528	1	minus	uncharacterized LOC135086881	LOC135086881	135086881	protein-coding	XM_063981739.1	XP_063837809.1	110	
NC_087088.1	5326969	5331043	1	minus	seroin-like	LOC135086804	135086804	protein-coding	XM_063981637.1	XP_063837707.1	251	
NC_087088.1	5354601	5360656	1	plus	keratin, type II cytoskeletal 2 epidermal-like	LOC135086965	135086965	protein-coding	XM_063981846.1	XP_063837916.1	257	
NC_087088.1	5368338	5370086	1	plus	putative nuclease HARBI1	LOC135075165	135075165	protein-coding	XM_063969523.1	XP_063825593.1	351	
NC_087088.1	5370383	5372033	1	minus	uncharacterized LOC135075174	LOC135075174	135075174	protein-coding	XM_063969535.1	XP_063825605.1	279	
NC_087088.1	5374150	5375897	1	plus	putative nuclease HARBI1	LOC135075181	135075181	protein-coding	XM_063969548.1	XP_063825618.1	351	
NC_087088.1	5376194	5377844	1	minus	uncharacterized LOC135075191	LOC135075191	135075191	protein-coding	XM_063969558.1	XP_063825628.1	279	
NC_087088.1	5379961	5381708	1	plus	putative nuclease HARBI1	LOC135075202	135075202	protein-coding	XM_063969569.1	XP_063825639.1	351	
NC_087088.1	5382005	5383655	1	minus	uncharacterized LOC135075210	LOC135075210	135075210	protein-coding	XM_063969581.1	XP_063825651.1	279	
NC_087088.1	5385772	5387519	1	plus	putative nuclease HARBI1	LOC135075220	135075220	protein-coding	XM_063969593.1	XP_063825663.1	351	
NC_087088.1	5387816	5389466	1	minus	uncharacterized LOC135075230	LOC135075230	135075230	protein-coding	XM_063969602.1	XP_063825672.1	279	
NC_087088.1	5402638	5407472	1	plus	uncharacterized LOC135087065	LOC135087065	135087065	protein-coding	XM_063981938.1	XP_063838008.1	306	
NC_087088.1	5423593	5430915	1	plus	uncharacterized LOC135087248	LOC135087248	135087248	protein-coding	XM_063982091.1	XP_063838161.1	134	
NC_087088.1	5431170	5435324	1	minus	mediator of RNA polymerase II transcription subunit 30	LOC135087152	135087152	protein-coding	XM_063982029.1	XP_063838099.1	284	
NC_087088.1	5441517	5474943	1	minus	RNA-binding protein 38-like	LOC135087672	135087672	protein-coding	XM_063982419.1	XP_063838489.1	259	
NC_087088.1	5487307	5491087	1	plus	uncharacterized LOC135087680	LOC135087680	135087680	protein-coding	XM_063982429.1	XP_063838499.1	304	
NC_087088.1	5493592	5502080	1	plus	uncharacterized LOC135087689	LOC135087689	135087689	protein-coding	XM_063982441.1	XP_063838511.1	449	
NC_087088.1	5505717	5507774	1	plus	uncharacterized LOC135087703	LOC135087703	135087703	protein-coding	XM_063982461.1	XP_063838531.1	329	
NC_087088.1	5508859	5510924	1	minus	uncharacterized LOC135087710	LOC135087710	135087710	protein-coding	XM_063982476.1	XP_063838546.1	315	
NC_087088.1	5514621	5530582	1	plus	uncharacterized LOC135077090	LOC135077090	135077090	protein-coding	XM_063971671.1	XP_063827741.1	2184	
NC_087088.1	5531084	5535718	1	minus	uncharacterized protein Mb2073c-like	LOC135087717	135087717	protein-coding	XM_063982488.1	XP_063838558.1	392	
NC_087088.1	5535866	5551501	1	minus	uncharacterized LOC135077103	LOC135077103	135077103	protein-coding	XM_063971676.1	XP_063827746.1	1202	
NC_087088.1	5560290	5567011	1	minus	lipid scramblase CLPTM1L	LOC135087727	135087727	protein-coding	XM_063982499.1	XP_063838569.1	538	
NC_087088.1	5578358	5594664	1	minus	microspherule protein 1	LOC135087763	135087763	protein-coding	XM_063982552.1	XP_063838622.1	459	
NC_087088.1	5594822	5595321	1	plus	large ribosomal subunit protein mL42	LOC135087771	135087771	protein-coding	XM_063982563.1	XP_063838633.1	110	
NC_087088.1	5605599	5613361	1	minus	dual specificity protein phosphatase 13B-like	LOC135087742	135087742	protein-coding	XM_063982519.1	XP_063838589.1	217	
NC_087088.1	5613795	5651594	1	plus	lysine-specific demethylase 6A	LOC135087755	135087755	protein-coding	XM_063982539.1	XP_063838609.1	1077	
NC_087088.1	5655921	5669752	1	minus	SHC-transforming protein 1	LOC135087780	135087780	protein-coding	XM_063982575.1	XP_063838645.1	418	
NC_087088.1	5695448	5701693	1	minus	uncharacterized LOC135087791	LOC135087791	135087791	protein-coding	XM_063982587.1	XP_063838657.1	185	
NC_087088.1	5783454	5785672	1	minus	mid1-interacting protein 1A	LOC135075272	135075272	protein-coding	XM_063969656.1	XP_063825726.1	167	
NC_087088.1	5818391	5919654	1	plus	homeobox protein dve-1	LOC135087816	135087816	protein-coding	XM_063982621.1	XP_063838691.1	720	
NC_087088.1	5965097	5968191	1	plus	leucine-rich repeat-containing G-protein coupled receptor 5-like	LOC135087834	135087834	protein-coding	XM_063982655.1	XP_063838725.1	506	
NC_087088.1	5968726	5972440	1	plus	leucine-rich repeat-containing G-protein coupled receptor 5-like	LOC135087826	135087826	protein-coding	XM_063982633.1	XP_063838703.1	741	
NC_087088.1	5973318	6013903	1	minus	protein windpipe	LOC135087957	135087957	protein-coding	XM_063982827.1	XP_063838897.1	705	
NC_087088.1	6087922	6123585	1	plus	insulin-like growth factor-binding protein complex acid labile subunit	LOC135087839	135087839	protein-coding	XM_063982668.1	XP_063838738.1	860	
NC_087088.1	6123696	6130434	1	minus	probable hydroxyacid-oxoacid transhydrogenase, mitochondrial	LOC135087864	135087864	protein-coding	XM_063982704.1	XP_063838774.1	462	
NC_087088.1	6131780	6194985	1	minus	arfGAP with SH3 domain, ANK repeat and PH domain-containing protein	LOC135076721	135076721	protein-coding	XM_063971145.1	XP_063827215.1	1074	
NC_087088.1	6149035	6152041	1	plus	uncharacterized LOC135087884	LOC135087884	135087884	protein-coding	XM_063982727.1	XP_063838797.1	362	
NC_087088.1	6150056	6152729	1	minus	uncharacterized LOC135087875	LOC135087875	135087875	protein-coding	XM_063982716.1	XP_063838786.1	415	
