Gene ID	Protein accession
31084	NP_477492.1
31085	NP_569907.1
31086	NP_569908.1
43904	NP_477313.1
44736	NP_651990.1
31089	NP_569909.2
31090	NP_569910.1
5740544	NP_001096864.1
31093	NP_525038.3
31094	NP_569912.2
31095	NP_569913.1
31096	NP_569914.2
31097	NP_569915.1
31098	NP_569916.1
31099	NP_569917.1
31100	NP_569918.1
318221	NP_726740.1
31101	NP_569919.2
31102	NP_569920.2
31103	NP_569921.1
31104	NP_569922.1
31105	NP_569923.2
31106	NP_476750.1
31110	NP_569926.2
31107	NP_001014714.1
31109	NP_569925.2
31111	NP_569927.1
44505	NP_524759.2
31118	NP_477286.2
31119	NP_569932.1
31120	NP_569933.2
31121	NP_569934.2
31123	NP_569936.2
31124	NP_477365.1
31127	NP_477309.1
31128	NP_569939.2
31129	NP_525039.1
31136	NP_569945.1
31130	NP_569940.2
318220	NP_726762.1
31131	NP_569941.2
31132	NP_569942.2
31137	NP_569946.1
45250	NP_652012.1
31139	NP_569947.2
31140	NP_569948.3
31141	NP_569949.3
31142	NP_569950.1
31143	NP_569951.1
31144	NP_569952.2
31145	NP_569953.1
31146	NP_569954.1
31147	NP_569955.1
31148	NP_569956.1
31149	NP_525040.2
31150	NP_525041.1
31151	NP_476665.2
326240	NP_569957.2
31152	NP_726776.1
31154	NP_569959.1
31153	NP_569958.2
31155	NP_569960.2
31156	NP_569961.2
31157	NP_569962.2
31158	NP_569963.1
2768908	NP_996330.1
31160	NP_569965.1
31162	NP_001033823.1
31163	NP_569968.2
46006	NP_524864.2
31166	NP_477484.2
31165	NP_476781.1
31169	NP_569971.3
31167	NP_569969.1
31168	NP_569970.2
31170	NP_569972.1
31171	NP_569973.1
31172	NP_569974.2
31174	NP_569976.1
31173	NP_569975.1
31175	NP_569977.1
31176	NP_569978.1
31177	NP_569979.1
31178	NP_569980.1
31179	NP_569981.1
45278	NP_477130.1
44889	NP_524794.2
31181	NP_476871.2
31184	NP_569982.1
31185	NP_476860.2
31186	NP_477059.2
31187	NP_525042.2
31188	NP_476907.2
31189	NP_569983.1
31190	NP_569984.2
45706	NP_652020.1
31192	NP_525043.1
31193	NP_525044.1
31194	NP_476684.1
31195	NP_477332.1
50373	NP_652509.1
50374	NP_652510.2
31196	NP_569985.1
31198	NP_477334.2
31197	NP_569986.1
45707	NP_652021.1
31200	NP_001014717.1
31201	NP_476820.1
31203	NP_001259181.1
31204	NP_525045.3
31205	NP_476591.1
47781	NP_477491.1
31207	NP_525046.1
31208	NP_477118.1
31209	NP_726804.1
31210	NP_569990.2
31211	NP_569991.2
31212	NP_569992.1
31213	NP_569993.1
31214	NP_569994.1
31215	NP_569995.1
5740271	NP_001096866.1
31217	NP_569997.1
31221	NP_525047.1
31218	NP_569998.1
31219	NP_569999.1
31220	NP_570000.1
31222	NP_525048.1
44529	NP_524761.1
31224	NP_570001.5
31226	NP_570003.1
318215	NP_726810.1
31227	NP_525049.1
31228	NP_525050.1
31229	NP_726811.1
31230	NP_525051.1
45320	NP_001027033.3
31234	NP_570007.2
31235	NP_570008.1
31236	NP_570009.2
31237	NP_570010.3
53428	NP_524984.1
31239	NP_525052.1
31240	NP_525053.1
47874	NP_524901.2
44554	NP_524768.2
31243	NP_570011.1
31244	NP_525054.2
31245	NP_570012.1
31246	NP_570013.3
31247	NP_570014.3
31248	NP_476714.1
31249	NP_525055.1
31250	NP_570015.1
31251	NP_525056.2
31252	NP_570016.1
31253	NP_570017.1
31254	NP_570018.1
31255	NP_570019.1
31256	NP_570020.1
31257	NP_570021.2
31258	NP_570022.2
31259	NP_570023.1
31260	NP_570024.1
31261	NP_570025.1
31262	NP_477494.2
31263	NP_477493.2
31264	NP_570026.1
31265	NP_477338.3
31266	NP_570027.1
31267	NP_570028.1
31268	NP_477105.2
31269	NP_525057.2
31292	NP_525059.2
31270	NP_570029.1
31271	NP_476787.1
31272	NP_570030.1
31273	NP_570031.1
31274	NP_570032.1
31275	NP_570033.1
31276	NP_570034.1
31277	NP_726832.2
31278	NP_570036.3
31279	NP_570037.1
31280	NP_726835.1
31282	NP_570039.1
31283	NP_570040.1
31284	NP_570041.1
31285	NP_570042.1
31286	NP_570043.1
31287	NP_570044.1
31288	NP_570045.1
31289	NP_570046.1
31290	NP_525058.2
31291	NP_570047.1
31293	NP_476859.2
59253	NP_652721.1
31294	NP_477482.2
31295	NP_570048.1
31309	NP_525061.2
31297	NP_570050.1
31298	NP_476941.2
31299	NP_525060.1
31300	NP_476655.1
31301	NP_476944.1
31303	NP_476677.2
31304	NP_476717.4
31308	NP_570054.2
31310	NP_525062.2
31311	NP_570055.2
31312	NP_570056.1
31313	NP_570057.1
31314	NP_570058.1
31315	NP_570059.2
31316	NP_570060.1
31317	NP_570061.1
31318	NP_570062.1
31319	NP_570063.1
31320	NP_570064.1
31321	NP_570065.2
31322	NP_726871.1
31323	NP_570067.1
318213	NP_001036260.3
31326	NP_570069.1
44126	NP_524700.1
31328	NP_570070.1
31329	NP_477321.2
31331	NP_570071.3
31332	NP_525063.1
318206	NP_570073.3
31335	NP_726885.1
43900	NP_726887.1
318211	NP_570074.3
31336	NP_726889.3
31339	NP_570078.2
31338	NP_570077.1
31340	NP_477147.2
31341	NP_788855.1
31342	NP_570080.1
31343	NP_570081.2
31344	NP_996345.3
31347	NP_570085.1
31348	NP_570086.1
318210	NP_726900.2
318207	NP_726901.2
31349	NP_570087.1
31350	NP_525064.1
31351	NP_570088.1
31352	NP_570089.1
31353	NP_726905.2
31355	NP_572148.2
31356	NP_572149.2
31357	NP_476866.1
31358	NP_476901.1
31359	NP_525065.1
45064	NP_652007.1
31361	NP_572150.1
31362	NP_572151.1
31363	NP_572152.2
251900	NP_726910.1
31364	NP_525066.1
12798106	NP_001245522.1
31365	NP_572153.1
31366	NP_572154.1
31367	NP_525067.2
31368	NP_726915.2
12798107	NP_001245523.1
12798108	NP_001245525.1
31369	NP_572156.1
31370	NP_572157.1
31371	NP_572158.1
50378	NP_652513.1
50379	NP_652514.1
31372	NP_572159.1
50380	NP_652515.1
31373	NP_525068.1
31374	NP_572160.1
50381	NP_524981.2
31376	NP_525069.2
31375	NP_572161.1
31377	NP_572162.2
31379	NP_525070.2
31380	NP_572164.2
31381	NP_525071.2
31382	NP_572165.1
31383	NP_572166.1
31384	NP_572167.3
31385	NP_572168.1
31386	NP_572169.1
31387	NP_572170.1
31388	NP_572171.1
31389	NP_572172.1
31390	NP_572173.1
31391	NP_476674.3
31392	NP_572174.3
31393	NP_572175.3
31394	NP_525072.2
31395	NP_572176.2
31396	NP_572177.2
31397	NP_476989.2
31398	NP_525073.1
31399	NP_572178.1
44409	NP_524750.2
31401	NP_572179.1
31402	NP_572180.1
45922	NP_524852.2
31404	NP_525074.2
31405	NP_525075.1
31406	NP_572181.4
31407	NP_572182.1
31408	NP_572183.1
31409	NP_572184.1
31410	NP_572185.1
31411	NP_572186.1
31412	NP_572187.2
31413	NP_572188.1
31414	NP_572189.1
31415	NP_572190.1
8674091	NP_001162667.1
31416	NP_572191.2
31419	NP_572194.1
31420	NP_572196.3
31422	NP_572197.4
31423	NP_572198.1
31424	NP_572199.2
31425	NP_525076.2
31426	NP_572200.2
31427	NP_572201.2
31429	NP_525077.2
31430	NP_572203.2
31434	NP_572206.1
44531	NP_726978.2
31433	NP_572205.1
31435	NP_572207.1
31438	NP_572209.1
31439	NP_572210.1
31440	NP_572211.1
31441	NP_511044.1
31442	NP_511045.1
31443	NP_572212.1
31444	NP_511046.1
31445	NP_572213.1
31446	NP_572214.2
31447	NP_572215.1
31448	NP_511047.2
31449	NP_511048.2
31450	NP_572216.1
31451	NP_572217.1
44317	NP_524741.1
31456	NP_525078.3
31457	NP_572219.1
31459	NP_572221.1
31458	NP_572220.1
31460	NP_572222.2
31461	NP_572223.1
31463	NP_572225.1
31464	NP_572226.2
318198	NP_727000.1
31465	NP_572227.1
31466	NP_572228.1
31469	NP_001033832.1
31470	NP_572232.2
31471	NP_572233.2
31472	NP_001096887.1
31473	NP_572235.1
31474	NP_511049.1
31475	NP_572236.3
8674066	NP_572237.1
7354434	NP_001138160.2
31480	NP_572241.2
31481	NP_572242.1
44360	NP_524744.2
31483	NP_572243.1
140439	NP_524792.1
44873	NP_511050.1
31486	NP_572244.1
31487	NP_572245.1
44510	NP_536786.1
31489	NP_572246.1
31490	NP_572247.2
31491	NP_788858.1
31493	NP_727023.1
31494	NP_572251.1
31496	NP_572253.2
31497	NP_572254.1
31498	NP_572255.1
31499	NP_572256.1
31500	NP_572257.2
44573	NP_524769.1
31507	NP_572263.2
31503	NP_572259.1
31504	NP_572260.2
31506	NP_572262.1
31508	NP_572264.1
31509	NP_572265.1
31510	NP_572266.1
31511	NP_572267.1
19836089	NP_001284910.1
31512	NP_572268.1
31513	NP_572269.1
31515	NP_572271.1
12798119	NP_001245538.1
12798120	NP_001245539.1
31516	NP_572272.1
31517	NP_572273.2
31518	NP_511051.1
31519	NP_572274.1
31520	NP_572275.1
31521	NP_511052.1
31522	NP_572276.1
31523	NP_572277.2
31524	NP_572278.1
31525	NP_572279.1
31526	NP_572280.2
318193	NP_727053.1
31527	NP_572281.1
318192	NP_727055.1
31528	NP_572282.1
31529	NP_572283.1
45994	NP_572284.4
50391	NP_572285.2
31532	NP_572286.1
31533	NP_572287.1
44127	NP_651971.2
31535	NP_511053.2
31536	NP_572288.1
31537	NP_572289.2
31538	NP_572290.2
12798121	NP_001245542.1
31539	NP_572291.2
31540	NP_511054.4
31541	NP_572292.1
31542	NP_572293.1
31543	NP_572294.2
31544	NP_511055.1
31547	NP_511056.2
31550	NP_572296.2
326238	NP_727067.1
318189	NP_727068.1
12798122	NP_001245546.1
31551	NP_572297.1
31552	NP_572298.1
31553	NP_572299.1
31554	NP_511057.1
31555	NP_572300.2
31556	NP_572301.2
31557	NP_572302.2
31558	NP_511058.1
50392	NP_652526.1
31560	NP_572303.4
44000	NP_651962.2
31562	NP_572304.5
326237	NP_727078.1
31564	NP_572306.1
31565	NP_511059.2
31566	NP_572307.1
31567	NP_572308.3
31568	NP_572309.2
3772603	NP_001027041.1
3772383	NP_727085.2
31571	NP_572311.1
31572	NP_572312.1
31573	NP_572313.1
31574	NP_572314.1
7354471	NP_001138164.1
31576	NP_572316.1
31577	NP_572317.2
31578	NP_572318.1
31579	NP_572319.2
31580	NP_511060.2
31581	NP_572320.2
31582	NP_511061.1
3772644	NP_001027042.2
3771864	NP_001027043.2
3772084	NP_001027044.2
7354472	NP_572321.3
3772511	NP_001027045.2
3771730	NP_001027046.2
3771952	NP_001027047.2
31585	NP_572323.1
31586	NP_572324.1
31587	NP_511062.1
31588	NP_511063.1
31589	NP_511064.2
31591	NP_996359.2
31592	NP_572327.1
31593	NP_572328.1
31594	NP_572329.3
31596	NP_572331.2
31595	NP_572330.2
31597	NP_572332.1
31598	NP_727103.1
31600	NP_572335.1
31601	NP_572336.2
31602	NP_572337.1
31603	NP_511065.1
31604	NP_572338.1
31605	NP_572339.1
31606	NP_727109.2
31607	NP_572340.2
19835072	NP_001284953.1
31608	NP_572341.1
31609	NP_572342.1
31610	NP_572343.1
31611	NP_572344.2
31612	NP_572345.1
31613	NP_572346.1
31614	NP_572347.1
31615	NP_572348.1
44007	NP_651967.2
31617	NP_572349.1
31618	NP_572350.2
31620	NP_572352.1
31621	NP_572353.1
31622	NP_572354.1
31623	NP_572355.1
31624	NP_572356.1
31625	NP_727132.1
31626	NP_572358.1
31628	NP_572359.2
31629	NP_572360.1
31630	NP_572361.1
31631	NP_572362.1
31632	NP_572363.1
3771905	NP_001027058.1
31639	NP_572369.3
31638	NP_727144.1
31641	NP_572371.1
31642	NP_572372.1
45382	NP_524824.1
31644	NP_572373.1
33027	NP_788872.1
31646	NP_572375.1
31647	NP_788873.1
50395	NP_727152.1
7354414	NP_001138171.1
31648	NP_572376.1
31649	NP_572377.2
31650	NP_572378.3
31651	NP_572379.1
31652	NP_511067.3
31653	NP_572380.1
3772180	NP_524791.3
31656	NP_572382.1
31657	NP_572383.1
31658	NP_572384.1
31659	NP_511068.2
31660	NP_572385.2
31661	NP_572386.1
31662	NP_572387.1
31663	NP_572388.1
31664	NP_572389.1
31665	NP_511069.3
31666	NP_572390.1
31667	NP_572391.1
31668	NP_996360.2
10178796	NP_001188554.1
31669	NP_511070.1
31670	NP_572393.1
31671	NP_572394.2
31672	NP_572395.2
10178968	NP_001188555.1
31673	NP_572396.1
318176	NP_727185.1
7354415	NP_001138173.1
10178820	NP_001188556.1
10178898	NP_001188557.1
5740569	NP_001096901.1
31674	NP_572397.1
50396	NP_652530.1
318175	NP_727188.1
50397	NP_652531.1
12797946	NP_001245561.1
318169	NP_727190.1
12797949	NP_001245563.1
318170	NP_727191.2
31675	NP_572398.1
31676	NP_572399.1
44540	NP_524764.1
31678	NP_511071.3
31679	NP_572400.1
31680	NP_572401.2
31681	NP_572402.1
31682	NP_572403.1
31683	NP_572404.1
31684	NP_572405.2
44978	NP_652003.2
31686	NP_572406.1
5740687	NP_001096903.2
318168	NP_727197.2
31687	NP_572407.3
31688	NP_572408.2
31689	NP_572409.2
31690	NP_572410.2
31691	NP_511072.2
31692	NP_572411.1
7354416	NP_001138175.1
7354417	NP_001138176.1
7354418	NP_001138177.1
31694	NP_001368933.1
31695	NP_572414.1
31696	NP_572415.1
19835262	NP_001284989.1
31697	NP_572416.1
31698	NP_572417.1
31700	NP_511073.1
31701	NP_511074.1
31702	NP_572419.1
31703	NP_572420.1
31704	NP_572421.1
31705	NP_572422.1
31706	NP_572423.1
31707	NP_572424.1
31708	NP_572425.1
47218	NP_524884.1
47219	NP_536352.1
31713	NP_572428.3
31712	NP_572427.1
31714	NP_572429.1
31715	NP_572430.1
31716	NP_511075.3
31717	NP_511076.3
31718	NP_788884.1
31720	NP_572431.2
31721	NP_572433.1
31722	NP_511078.2
44885	NP_524793.2
31724	NP_572434.1
31725	NP_572435.1
31726	NP_572436.1
31727	NP_572437.2
31728	NP_572438.1
31729	NP_572439.1
53581	NP_525005.2
31731	NP_572440.1
31732	NP_572441.1
31733	NP_572442.1
31735	NP_572444.2
31736	NP_572445.1
31737	NP_572446.2
31738	NP_511079.1
31739	NP_572447.1
31740	NP_572448.1
31741	NP_572449.1
31742	NP_572450.4
31743	NP_572451.1
31744	NP_572452.1
31745	NP_572453.1
31746	NP_511080.2
31747	NP_572454.2
31748	NP_572455.1
31749	NP_572456.1
31750	NP_511081.1
31751	NP_572457.1
44111	NP_572458.3
44861	NP_572463.1
31759	NP_572465.1
31761	NP_572466.1
31760	NP_511082.2
31762	NP_511083.1
31763	NP_572467.1
31764	NP_572468.1
31765	NP_572469.1
31766	NP_572470.3
31767	NP_525079.3
31770	NP_572473.1
31771	NP_572474.2
31772	NP_572475.1
318164	NP_727260.1
31773	NP_511084.2
318165	NP_727262.2
31775	NP_572476.2
31776	NP_572477.1
31777	NP_572478.1
31778	NP_511085.2
318166	NP_727264.1
31779	NP_572479.1
31780	NP_572480.1
31781	NP_727265.1
2768867	NP_996378.1
31782	NP_572481.1
3885650	NP_001033837.1
31785	NP_572484.1
31786	NP_572485.1
31787	NP_511087.1
31788	NP_511088.1
31789	NP_511089.2
318916	NP_788885.1
31792	NP_511090.1
31791	NP_572487.3
31793	NP_572488.1
31794	NP_572489.2
31795	NP_572490.2
31796	NP_572491.1
31797	NP_572492.1
31798	NP_572493.1
31799	NP_572494.1
50403	NP_001259344.1
31800	NP_525080.3
31801	NP_572495.1
31802	NP_511091.4
31803	NP_572496.1
31804	NP_572497.1
31805	NP_727284.1
31806	NP_572499.2
31807	NP_572500.1
31808	NP_525081.1
31809	NP_572501.1
31810	NP_572502.1
31811	NP_572503.1
31812	NP_572504.1
31813	NP_572505.1
31815	NP_572506.2
31816	NP_525082.2
31817	NP_572507.1
31818	NP_572508.1
43951	NP_524662.1
31826	NP_511092.2
31822	NP_572511.1
12797953	NP_001245585.1
31824	NP_788887.1
31825	NP_572513.1
8673992	NP_572515.2
31829	NP_572516.1
31830	NP_572517.1
31831	NP_572518.1
31833	NP_572520.1
31834	NP_572521.2
31835	NP_572522.2
318161	NP_727306.1
318160	NP_727307.1
31837	NP_572523.1
31838	NP_572524.1
31839	NP_572525.3
31840	NP_511093.2
31841	NP_572526.1
31842	NP_572527.2
31843	NP_572528.1
31844	NP_572529.2
31845	NP_511094.1
31846	NP_572530.1
31848	NP_511095.1
31849	NP_511096.2
53580	NP_525004.2
50405	NP_652538.1
31851	NP_572532.1
19835861	NP_001285038.1
45775	NP_652022.1
31853	NP_572533.1
31854	NP_572534.1
31855	NP_572535.1
31856	NP_572536.1
31857	NP_572537.1
31858	NP_727320.1
31859	NP_572539.2
31860	NP_727322.1
31861	NP_572541.1
31862	NP_572542.1
31863	NP_572543.1
31864	NP_572544.1
31865	NP_511097.3
31866	NP_572545.1
31867	NP_727328.1
31869	NP_572548.1
44900	NP_524795.2
43869	NP_524644.1
31872	NP_511098.1
31873	NP_572549.2
31874	NP_572550.2
31877	NP_727335.1
31879	NP_572555.1
31880	NP_572556.1
31881	NP_572557.1
53436	NP_652606.1
31883	NP_511099.2
53435	NP_652605.1
53434	NP_652604.2
31887	NP_727339.3
5740775	NP_001096923.1
31890	NP_572562.1
8674055	NP_572563.3
19835594	NP_001285056.1
31896	NP_727344.1
3885648	NP_001033838.1
3885569	NP_001033839.1
326234	NP_572567.1
31897	NP_572568.1
31898	NP_572569.1
326235	NP_727348.2
31899	NP_001036265.1
7354436	NP_001138182.3
45875	NP_524848.1
31902	NP_572571.1
31903	NP_572572.1
31904	NP_572573.1
31905	NP_572574.2
31907	NP_572576.1
31909	NP_572577.1
43856	NP_524642.2
31912	NP_511100.1
31913	NP_572579.3
31914	NP_572580.1
31915	NP_572581.1
31917	NP_572582.1
19835394	NP_001285062.1
19835998	NP_001285063.1
31918	NP_727367.1
31919	NP_572584.1
31920	NP_572585.3
31921	NP_572586.2
31922	NP_572587.1
31923	NP_572588.1
31924	NP_001096928.1
31925	NP_572590.1
31926	NP_511101.2
31927	NP_572591.1
31928	NP_572592.1
31929	NP_572593.2
31931	NP_572595.2
31933	NP_727380.1
3346145	NP_001014730.1
31934	NP_727386.1
31935	NP_572598.3
31938	NP_511102.3
31939	NP_511103.1
31940	NP_572601.1
318158	NP_727392.1
31942	NP_727393.1
31943	NP_572603.1
31944	NP_572604.2
31945	NP_001036266.1
31947	NP_001096935.1
31948	NP_572608.2
31949	NP_572609.1
31950	NP_572610.1
31952	NP_572612.2
50415	NP_652546.2
31953	NP_572613.2
31954	NP_572614.1
31955	NP_511104.3
50416	NP_652547.1
31957	NP_511105.2
31958	NP_572616.1
31960	NP_511106.1
31961	NP_572618.1
31962	NP_572619.3
31964	NP_572621.1
318150	NP_727412.2
31965	NP_572622.1
318153	NP_727413.1
31966	NP_572623.1
318151	NP_727416.1
31967	NP_572624.1
44289	NP_524738.1
31970	NP_727419.1
31971	NP_572627.1
31973	NP_572629.1
31975	NP_511107.1
50417	NP_652548.1
31976	NP_572631.3
31977	NP_572632.1
31978	NP_572633.1
31979	NP_525083.2
31980	NP_727428.1
31987	NP_788896.1
31986	NP_572636.1
318149	NP_727432.1
31988	NP_572637.2
31989	NP_572638.1
31990	NP_572639.2
31991	NP_572640.2
31993	NP_572642.1
31994	NP_572643.1
31997	NP_727440.3
31995	NP_572644.1
318148	NP_727438.1
31996	NP_572645.1
32005	NP_572648.1
43873	NP_524646.5
32002	NP_572651.1
326232	NP_727444.1
32001	NP_727447.1
32000	NP_572649.1
32006	NP_572653.1
32008	NP_511110.1
32007	NP_511109.1
32009	NP_511111.1
43944	NP_524660.1
50323	NP_652465.1
32011	NP_572654.1
326229	NP_727460.1
32013	NP_572656.1
32014	NP_572657.2
32015	NP_572658.2
32016	NP_572659.2
32017	NP_572660.1
32018	NP_572661.1
32019	NP_572662.1
32020	NP_511112.1
32021	NP_572663.1
32022	NP_572664.1
32024	NP_001096948.2
32026	NP_511113.1
32027	NP_572668.1
32028	NP_572669.2
326230	NP_727471.1
32029	NP_727472.1
32032	NP_572673.1
32033	NP_572674.3
32034	NP_572675.1
32035	NP_572676.2
32036	NP_572677.2
32037	NP_572678.1
32038	NP_572679.1
32039	NP_511114.2
32040	NP_572680.1
32041	NP_572681.1
32042	NP_572682.1
32043	NP_572683.1
32045	NP_511115.2
32046	NP_572685.2
32047	NP_572686.1
47251	NP_524887.2
32049	NP_572687.1
19834720	NP_001285110.1
32050	NP_572688.2
318146	NP_727495.1
32051	NP_572689.1
32052	NP_572690.1
32053	NP_572691.1
44072	NP_651969.1
32055	NP_572692.1
32056	NP_572693.1
32057	NP_572694.1
318147	NP_727502.1
32058	NP_572695.2
32059	NP_572696.1
32060	NP_572697.1
32062	NP_572698.2
32063	NP_572699.2
32065	NP_572701.1
32067	NP_001096949.1
32068	NP_511116.2
32069	NP_511117.1
32070	NP_572704.1
32071	NP_727512.3
32072	NP_001096954.1
32073	NP_572707.4
32074	NP_572708.1
32075	NP_572709.1
32076	NP_572710.1
32077	NP_572711.2
32078	NP_511118.2
32079	NP_572712.1
32080	NP_511119.2
32081	NP_572713.1
32083	NP_511120.2
32084	NP_572715.2
32085	NP_511121.1
117501	NP_727523.1
32086	NP_511122.1
32087	NP_511123.2
32088	NP_572716.3
32089	NP_572717.1
32090	NP_572718.2
32092	NP_572720.2
32093	NP_572721.1
32094	NP_572722.2
32095	NP_572723.1
2768871	NP_996410.1
32097	NP_996411.2
32098	NP_572726.1
32099	NP_572727.1
32100	NP_511124.1
32101	NP_572728.1
32102	NP_572729.1
32103	NP_572730.1
32104	NP_572731.1
45848	NP_524846.1
32106	NP_572732.1
32107	NP_511125.2
32108	NP_996412.1
32109	NP_525084.1
32110	NP_572734.1
32111	NP_572735.1
32112	NP_572736.1
32113	NP_572737.1
32114	NP_511126.2
32115	NP_727544.2
32116	NP_572738.1
32119	NP_511128.2
32120	NP_511129.3
32121	NP_572739.1
32122	NP_572740.1
32123	NP_572741.1
32124	NP_572742.1
32125	NP_572743.1
32127	NP_001096957.1
8674114	NP_001162726.1
32126	NP_001096958.1
5740676	NP_001096960.1
5740497	NP_001096959.1
44835	NP_572747.1
32128	NP_572746.1
32130	NP_511130.2
32131	NP_572748.2
32132	NP_511131.3
32133	NP_511132.2
32135	NP_572749.2
32136	NP_572750.3
32137	NP_572751.1
32138	NP_572752.1
32139	NP_572753.2
32140	NP_572754.1
32141	NP_572755.1
32142	NP_572756.3
32143	NP_572757.2
32144	NP_572758.1
32145	NP_572759.1
32146	NP_572760.1
32147	NP_001259468.1
32148	NP_572762.2
32149	NP_572763.3
32150	NP_572764.1
32151	NP_572765.1
32152	NP_572766.1
32153	NP_572767.1
12797970	NP_001245634.1
32154	NP_572768.1
32156	NP_572770.1
32157	NP_572771.1
32158	NP_511133.2
32159	NP_001259478.1
32160	NP_511135.1
32161	NP_572772.1
32162	NP_511136.2
32163	NP_572773.1
32164	NP_572774.1
32165	NP_572775.1
32166	NP_572776.1
32167	NP_572777.2
32168	NP_572778.1
32169	NP_572779.2
32170	NP_572780.3
32172	NP_727590.1
32183	NP_511137.3
32173	NP_572781.1
32174	NP_001285150.1
5740207	NP_001096962.1
32176	NP_572784.1
32177	NP_572785.2
